model,subject,f1_macro,bal_acc,n_windows,xkey,norm_mode,aug_mode
CNN,1,0.5920772596096358,0.5947094262726743,690,X_env,global,timemask
CNN,2,0.7409486144286009,0.7572185591414133,520,X_env,global,timemask
CNN,3,0.7191234111641728,0.6910572204260084,594,X_env,global,timemask
CNN,4,0.5753172996744537,0.6151930753535048,556,X_env,global,timemask
CNN,5,0.5129416252117545,0.5366668281868792,708,X_env,global,timemask
CNN,6,0.6450618225759204,0.6600689056183267,583,X_env,global,timemask
CNN,7,0.6471526708463673,0.6659009129580747,600,X_env,global,timemask
CNN,8,0.5845352303360976,0.6019210440722068,574,X_env,global,timemask
CNN,9,0.7038875067128728,0.6989656745336641,591,X_env,global,timemask
CNN,10,0.37644804520337366,0.4424046348388454,509,X_env,global,timemask
CNN,11,0.7735771850274448,0.8120594100765945,518,X_env,global,timemask
CNN,12,0.6767218572310691,0.6656156343656343,507,X_env,global,timemask
CNN,13,0.7214747262442844,0.7489034217127456,752,X_env,global,timemask
CNN,14,0.684621031327891,0.6946798490734577,775,X_env,global,timemask
CNN,15,0.7692385249271982,0.7794335787171456,610,X_env,global,timemask
CNN,16,0.7477163190975169,0.7505473692973693,681,X_env,global,timemask
CNN,17,0.7591909052146822,0.7467673248161053,703,X_env,global,timemask
CNN,18,0.6841137962051816,0.681280783170318,640,X_env,global,timemask
CNN,19,0.6766848481134196,0.6724183506442236,716,X_env,global,timemask
CNN,20,0.7019249307755321,0.7270480262682663,599,X_env,global,timemask
CNN,21,0.7451835239542546,0.767784144229917,607,X_env,global,timemask
CNN,22,0.6210673463962937,0.6407217263019652,722,X_env,global,timemask
CNN,23,0.6036421056232377,0.6485846357769509,704,X_env,global,timemask
CNN,24,0.6080060863942016,0.6404380754517314,653,X_env,global,timemask
CNN,25,0.58524847050776,0.6375172613687915,616,X_env,global,timemask
CNN,26,0.527147085992904,0.5904703815176464,789,X_env,global,timemask
CNN,27,0.7965665993328814,0.7978870619845106,694,X_env,global,timemask
CNN,28,0.6890783700288047,0.6890205955561699,700,X_env,global,timemask
CNN,29,0.7261304014847495,0.7265734555536054,736,X_env,global,timemask
CNN,30,0.6078771947905423,0.6311364074521969,654,X_env,global,timemask
CNN,31,0.6215387598375939,0.6454984973260183,758,X_env,global,timemask
CNN,32,0.676376469946082,0.7112054334035365,686,X_env,global,timemask
CNN,33,0.7596811913937395,0.7701464869069224,692,X_env,global,timemask
CNN,34,0.7843119745104299,0.7957829064318035,632,X_env,global,timemask
CNN,35,0.5619603311749675,0.600291869083527,852,X_env,global,timemask
CNN,36,0.5988022173563274,0.6361562015977826,734,X_env,global,timemask
CNN,37,0.7774591356045235,0.7775686963820146,680,X_env,global,timemask
CNN,38,0.5518130683774857,0.6383343212114873,671,X_env,global,timemask
CNN,39,0.7121220611670037,0.7213816738816738,693,X_env,global,timemask
CNN,40,0.7090387465950835,0.7372331449844469,648,X_env,global,timemask
