model,subject,f1_macro,bal_acc,n_windows,xkey,norm_mode
CNN,1,0.5301317409205097,0.5474389852097526,690,X_env,none
CNN,2,0.6253560480696414,0.6157283229274426,520,X_env,none
CNN,3,0.79937887214481,0.7910202554427099,594,X_env,none
CNN,4,0.6528803127092713,0.6869211779605675,556,X_env,none
CNN,5,0.46636964760410904,0.49257568403809987,708,X_env,none
CNN,6,0.5897807548902235,0.5831927219821106,583,X_env,none
CNN,7,0.6270483486154346,0.6455932854823057,600,X_env,none
CNN,8,0.597689757940305,0.6034467470513982,574,X_env,none
CNN,9,0.5933976674797067,0.6136256920264728,591,X_env,none
CNN,10,0.4255242914257157,0.4846781507965718,509,X_env,none
CNN,11,0.6760992423557359,0.6935940464030352,518,X_env,none
CNN,12,0.7269137770860259,0.6982080419580419,507,X_env,none
CNN,13,0.7514508270413561,0.7670868097304784,752,X_env,none
CNN,14,0.692127202382915,0.6948947397525174,775,X_env,none
CNN,15,0.721752827270418,0.7321336406519644,610,X_env,none
CNN,16,0.7353841220495223,0.7311112498612499,681,X_env,none
CNN,17,0.689790549901213,0.7121352901840707,703,X_env,none
CNN,18,0.6035503406175442,0.6224374462746556,640,X_env,none
CNN,19,0.7076862306549118,0.7030224475640202,716,X_env,none
CNN,20,0.7391818816280745,0.72443060922152,599,X_env,none
CNN,21,0.6834507677541961,0.707332868086531,607,X_env,none
CNN,22,0.7428582227813167,0.7454839181747036,722,X_env,none
CNN,23,0.5389113787097085,0.6071747854441099,704,X_env,none
CNN,24,0.5139535546127114,0.5574208767764275,653,X_env,none
CNN,25,0.6746059297845012,0.7076935550900525,616,X_env,none
CNN,26,0.5312874595372539,0.5859406168809485,789,X_env,none
CNN,27,0.8198726838436793,0.804641211323239,694,X_env,none
CNN,28,0.642716106641858,0.6286480599470156,700,X_env,none
CNN,29,0.6895511035497508,0.6846548796972992,736,X_env,none
CNN,30,0.6835296352280364,0.6816491778897794,654,X_env,none
CNN,31,0.5183078287111278,0.5414804652382379,758,X_env,none
CNN,32,0.6983609729265594,0.7104637531183751,686,X_env,none
CNN,33,0.7774111106653829,0.7966891366346902,692,X_env,none
CNN,34,0.7048561622789091,0.7171278617216117,632,X_env,none
CNN,35,0.5785089271479426,0.5889111529020861,852,X_env,none
CNN,36,0.548361395892574,0.5631944444444444,734,X_env,none
CNN,37,0.6601481053268936,0.6949245315023981,680,X_env,none
CNN,38,0.5967926333376773,0.6608961507618284,671,X_env,none
CNN,39,0.5998813941335955,0.6143849206349206,693,X_env,none
CNN,40,0.6409901332034467,0.6272586350864919,648,X_env,none
