true,pred,count,rate_within_true,rate_overall
UPS,DNS,713,0.1567032967032967,0.027061904581166737
STDUP,DNS,660,0.044940759907394795,0.025050290355638213
DNS,WAK,515,0.12656672401081348,0.019546817474475273
UPS,WAK,513,0.11274725274725275,0.01947090750370061
DNS,UPS,465,0.11427869255345294,0.01764906820510874
DNS,STDUP,375,0.09216023593020398,0.014233119520248985
WAK,DNS,364,0.11965811965811966,0.013815614680988348
WAK,UPS,360,0.11834319526627218,0.013663794739439026
STDUP,WAK,259,0.01763584366062917,0.009830341215318632
STDUP,UPS,127,0.00864769167915021,0.00482028314419099
UPS,STDUP,96,0.0210989010989011,0.00364367859718374
WAK,STDUP,61,0.020052596975673898,0.002315254108627168
