model,subject,f1_macro,bal_acc,n_windows,xkey,norm_mode
CNN,1,0.5966603863209266,0.6072622594093751,690,X_env,per_subject
CNN,2,0.8374400004593266,0.8434155391180759,520,X_env,per_subject
CNN,3,0.8038988599274786,0.8360312851238108,594,X_env,per_subject
CNN,4,0.8123376571882527,0.8113117680438929,556,X_env,per_subject
CNN,5,0.5360809657301543,0.5719878351642896,708,X_env,per_subject
CNN,6,0.7136207592418446,0.7325118951431906,583,X_env,per_subject
CNN,7,0.663144511706513,0.6780313543652738,600,X_env,per_subject
CNN,8,0.693503163011092,0.721400692330925,574,X_env,per_subject
CNN,9,0.7430547743375353,0.7726007659657627,591,X_env,per_subject
CNN,10,0.7174879805895233,0.7262408643987591,509,X_env,per_subject
CNN,11,0.8327332883998884,0.8571781930341084,518,X_env,per_subject
CNN,12,0.780054252788084,0.8051323676323676,507,X_env,per_subject
CNN,13,0.8578592138508125,0.8694554462088376,752,X_env,per_subject
CNN,14,0.7489285264293841,0.7532916885114619,775,X_env,per_subject
CNN,15,0.8534829951416749,0.8591971300762824,610,X_env,per_subject
CNN,16,0.82103021606123,0.8638209013209014,681,X_env,per_subject
CNN,17,0.764768023977186,0.7728460563826418,703,X_env,per_subject
CNN,18,0.7254461170868682,0.7281687062937063,640,X_env,per_subject
CNN,19,0.8282101218859386,0.8443869790470792,716,X_env,per_subject
CNN,20,0.750970185588269,0.7610366828076427,599,X_env,per_subject
CNN,21,0.7659100885498386,0.7799684445930255,607,X_env,per_subject
CNN,22,0.7737151699858243,0.7838297071914604,722,X_env,per_subject
CNN,23,0.7304511159175057,0.7520754952692852,704,X_env,per_subject
CNN,24,0.6649900344753286,0.7175834205428941,653,X_env,per_subject
CNN,25,0.7544858912077033,0.8120429598263286,616,X_env,per_subject
CNN,26,0.6968328128313787,0.7210102223799246,789,X_env,per_subject
CNN,27,0.8352390768446106,0.8390348271487982,694,X_env,per_subject
CNN,28,0.7948198000835596,0.7960107143364323,700,X_env,per_subject
CNN,29,0.7533766769545222,0.7452229095756991,736,X_env,per_subject
CNN,30,0.8003918132467225,0.8099137704400863,654,X_env,per_subject
CNN,31,0.6860149461963938,0.7009643358651637,758,X_env,per_subject
CNN,32,0.7142434952306328,0.7275045994948146,686,X_env,per_subject
CNN,33,0.8902934484527416,0.8964285714285714,692,X_env,per_subject
CNN,34,0.8167870298176544,0.8232826707606119,632,X_env,per_subject
CNN,35,0.6855152317496623,0.7012671019762433,852,X_env,per_subject
CNN,36,0.6135309483986502,0.6261314837135636,734,X_env,per_subject
CNN,37,0.8220949733729096,0.8189309420580798,680,X_env,per_subject
CNN,38,0.7894532873241042,0.8109230268586636,671,X_env,per_subject
CNN,39,0.7473021304607261,0.7559650072150073,693,X_env,per_subject
CNN,40,0.732231711609082,0.7501613377942774,648,X_env,per_subject
