subject,arch,f1_macro,bal_acc
1,resnet,0.5355625029803062,0.5573549020967311
2,resnet,0.7780677453346476,0.8080702358763288
3,resnet,0.7017972153956109,0.7575501639709306
4,resnet,0.8128795876564583,0.8014535734885946
5,resnet,0.580868809947824,0.5941034814040335
6,resnet,0.6741437555059449,0.7030762607284288
7,resnet,0.7066065751060786,0.7194314430392952
8,resnet,0.7735434304312988,0.7927884131372503
9,resnet,0.7799623397809927,0.7822479355387618
10,resnet,0.7033281442896482,0.7100777511961723
11,resnet,0.8083104236482654,0.8386049619030451
12,resnet,0.7520436728007496,0.7915834165834167
13,resnet,0.8349657155840453,0.8445718893938376
14,resnet,0.7948623402163226,0.7928319451484747
15,resnet,0.8065240959803245,0.817198802108555
16,resnet,0.7947269798959804,0.8361104173604174
17,resnet,0.806754735435635,0.8064143173899272
18,resnet,0.7801406992850694,0.7766612021699231
19,resnet,0.8385690444075026,0.8625954616045789
20,resnet,0.7697904114034284,0.7725746715516247
21,resnet,0.7623154078534887,0.7750508692086525
22,resnet,0.7132992847942513,0.7130917434976956
23,resnet,0.7098081344665679,0.7215405501225411
24,resnet,0.6981774858834475,0.7481337482406506
25,resnet,0.749791152864411,0.7959875000546
26,resnet,0.703779001097192,0.7238539697854312
27,resnet,0.847031012155243,0.8489434640890188
28,resnet,0.7447606855754194,0.7702006979095752
29,resnet,0.8009067467397083,0.7945714572862802
30,resnet,0.8041518080484864,0.8026888525008826
31,resnet,0.6751342203548085,0.6817570504176175
32,resnet,0.7166038382558577,0.730132737675985
33,resnet,0.8675710827203899,0.8680885403163081
34,resnet,0.8581252388411242,0.8732339676255118
35,resnet,0.6836335538044189,0.7007538332453085
36,resnet,0.6889660992106315,0.6888408869906486
37,resnet,0.8470971016977085,0.8434933352630362
38,resnet,0.8155063708682051,0.8099191683228153
39,resnet,0.7766444888876833,0.7819047619047619
40,resnet,0.7549364000032023,0.7665417550580562
