subject,arch,f1_macro,bal_acc
1,simple,0.5660090068811735,0.5683327148313924
2,simple,0.8086691844117513,0.8125746635824245
3,simple,0.8388186408229937,0.860240274244827
4,simple,0.7889781926079567,0.798023173403283
5,simple,0.5493864892466659,0.5704120938718706
6,simple,0.7064968554443991,0.718564884283306
7,simple,0.689470594258556,0.6995565475332561
8,simple,0.7217635059458039,0.7484828156339783
9,simple,0.6958468197799623,0.7176218383654949
10,simple,0.7160401041544653,0.7228856669646143
11,simple,0.832797994941321,0.8586950612727215
12,simple,0.8290582086493133,0.84375
13,simple,0.871052420261836,0.8745622726690514
14,simple,0.7567701056969081,0.7606694126552466
15,simple,0.8454556117516834,0.856755060608139
16,simple,0.8442292123917634,0.8815719003219004
17,simple,0.8066666189163179,0.8110635976489635
18,simple,0.7049185868900203,0.7105898462003113
19,simple,0.8327606632072814,0.8462756584711895
20,simple,0.7970454881541997,0.8057466584884595
21,simple,0.7791268420329512,0.7911410947084946
22,simple,0.7403632432358533,0.7569708539692122
23,simple,0.7300040413509856,0.7486310776687046
24,simple,0.6922276300038731,0.7435799918833466
25,simple,0.7319531415483111,0.7826037928523426
26,simple,0.6388839459613884,0.6877234968888408
27,simple,0.8483895888106385,0.8505344230532497
28,simple,0.7690779014308426,0.7695287922115598
29,simple,0.7855484239649215,0.7798169362581596
30,simple,0.8469066987346434,0.8538519750925766
31,simple,0.6815960981436724,0.7008523676840093
32,simple,0.711316507809002,0.7316082553233569
33,simple,0.9036353427424791,0.9135251922910725
34,simple,0.843173358059451,0.8610880534906271
35,simple,0.6805737312273622,0.6906908778964334
36,simple,0.671723139746415,0.6752131517194797
37,simple,0.8315539886406698,0.8269411020470412
38,simple,0.7836346821820213,0.7955560010692329
39,simple,0.7608594461629674,0.7762896825396826
40,simple,0.775766912116017,0.793088298766658
