subject,arch,coral_lambda,f1_macro,bal_acc
1,resnet_se,1.0,0.677884460443429,0.6678793330181152
2,resnet_se,1.0,0.8191321400817398,0.8401220258048707
3,resnet_se,1.0,0.8148192253309019,0.8144627085171136
4,resnet_se,1.0,0.7315218124395737,0.76513768965171
5,resnet_se,1.0,0.6402046149384667,0.6634268404046357
6,resnet_se,1.0,0.6870946496708089,0.6922497566821564
7,resnet_se,1.0,0.7449456834023611,0.7610390371593565
8,resnet_se,1.0,0.7301987918477183,0.7432446429539452
9,resnet_se,1.0,0.7405015963735719,0.7504330900069353
10,resnet_se,1.0,0.597794731940192,0.6294347100268153
11,resnet_se,1.0,0.8517148336238538,0.8667364800874384
12,resnet_se,1.0,0.8297237773432957,0.8359453046953047
13,resnet_se,1.0,0.8424110693772056,0.863231694616337
14,resnet_se,1.0,0.7522242586334938,0.7590778205303939
15,resnet_se,1.0,0.8071832917590964,0.8279693034688348
16,resnet_se,1.0,0.8743575810979898,0.8898247585747585
17,resnet_se,1.0,0.7605071755446542,0.759860803153486
18,resnet_se,1.0,0.7144131671374386,0.7205054393281137
19,resnet_se,1.0,0.7757697365141184,0.8193658718788188
20,resnet_se,1.0,0.7488991127531388,0.7830182970488754
21,resnet_se,1.0,0.7301247794181125,0.738140106082709
22,resnet_se,1.0,0.8063711418835929,0.8131493712289733
23,resnet_se,1.0,0.753193053684666,0.7638210048874187
24,resnet_se,1.0,0.8013919210645072,0.8499482578500731
25,resnet_se,1.0,0.7231085299106027,0.7783752410975641
26,resnet_se,1.0,0.7152310385454266,0.7532007065547585
27,resnet_se,1.0,0.8631721446034533,0.8643296028088655
28,resnet_se,1.0,0.8098888697691562,0.8049807477842725
29,resnet_se,1.0,0.7843487390537085,0.7901359184892742
30,resnet_se,1.0,0.8258762223058497,0.822945538171102
31,resnet_se,1.0,0.7251835129927003,0.7511675618358267
32,resnet_se,1.0,0.7699156088371412,0.781512846346369
33,resnet_se,1.0,0.9031591884087911,0.9103193328147956
34,resnet_se,1.0,0.8386243157071784,0.8523234688106012
35,resnet_se,1.0,0.5900506692553442,0.6134519639975308
36,resnet_se,1.0,0.7133966604456885,0.7423932822089462
37,resnet_se,1.0,0.874982609806296,0.8702411168829283
38,resnet_se,1.0,0.7069272006939382,0.7654475088037377
39,resnet_se,1.0,0.6956338818480918,0.6889953102453102
40,resnet_se,1.0,0.7778048925639768,0.7812938665778991
