contrast,mean_delta_pp,cohen_dz,bca_lo_pp,bca_hi_pp,n_improved,n,W,p,nondet_multiple,clears_nondet_band,p_holm,sig_holm_0.05
lambda=0.1 vs per-subject norm,-0.741456370380516,-0.18572548919301263,-1.941428264097518,0.5024429647491417,16,40,326.0,0.26487403590545,-1.482912740761032,False,1.0,No
lambda=3.0 vs per-subject norm,-0.5836234552356936,-0.13030676543360692,-1.9619322683460994,0.7804679468024043,15,40,353.0,0.45173393898585346,-1.1672469104713872,False,1.0,No
lambda=10.0 vs per-subject norm,-0.7773518263410164,-0.15816735591200382,-2.265728516178439,0.7966573061203686,17,40,334.0,0.3138070678778604,-1.5547036526820328,False,1.0,No
lambda=30.0 vs per-subject norm,-0.47870158933649104,-0.09117573909549163,-2.2968842843900403,0.9679254611878775,19,40,364.0,0.5448004511072213,-0.9574031786729821,False,1.0,No
lambda=100.0 vs per-subject norm,-0.49604210216887357,-0.08533089156095716,-2.414506552561172,1.1244751563636342,16,40,359.0,0.5013747400735156,-0.9920842043377471,False,1.0,No
lambda=0.1 vs lambda=1,-0.08487122857531643,-0.030790025193848675,-0.8577741807744853,0.8116088680887084,19,40,368.0,0.5808067661073437,-0.16974245715063285,False,1.0,No
lambda=3.0 vs lambda=1,0.07296168656950597,0.021627215192052133,-0.8869572864961974,1.164871149614228,18,40,401.0,0.9100459608780511,0.14592337313901194,False,1.0,No
lambda=10.0 vs lambda=1,-0.12076668453581685,-0.03249603311568331,-1.1738651907531419,1.0977266923188571,19,40,396.0,0.8575823361643415,-0.2415333690716337,False,1.0,No
lambda=30.0 vs lambda=1,0.17788355246870863,0.04237378523625677,-1.435595576870925,1.2381947603342305,18,40,400.0,0.8995151304461615,0.35576710493741726,False,1.0,No
lambda=100.0 vs lambda=1,0.1605430396363261,0.03951834954959051,-1.5722990266752457,1.1141285884960948,23,40,325.0,0.259140549798758,0.3210860792726522,False,1.0,No
best lambda=30.0 vs AdaBN,1.6498917457384688,0.37267927801826606,0.20241852131283566,2.923555518430552,27,40,207.0,0.005576999594268273,3.2997834914769375,False,0.061346995536951,No
