subject,arch,coral_lambda,f1_macro,bal_acc
1,resnet_se,0.1,0.6754732398178376,0.6536348923370924
2,resnet_se,0.1,0.8715784732243869,0.8768345699887459
3,resnet_se,0.1,0.880047816439326,0.8799916459373632
4,resnet_se,0.1,0.8530343133754237,0.8657593576229707
5,resnet_se,0.1,0.7432664920665797,0.7577814003828685
6,resnet_se,0.1,0.793592938464049,0.8032055255594173
7,resnet_se,0.1,0.8446220701643593,0.8570086107141828
8,resnet_se,0.1,0.8373675384985061,0.8442164424722565
9,resnet_se,0.1,0.8466464965972661,0.8444949821377927
10,resnet_se,0.1,0.7348535476731428,0.7611155292076345
11,resnet_se,0.1,0.917982584130146,0.9381916607296648
12,resnet_se,0.1,0.911649315867189,0.9195492007992008
13,resnet_se,0.1,0.8929779140056711,0.904092066974963
14,resnet_se,0.1,0.7993032280171971,0.8200741022451794
15,resnet_se,0.1,0.9362719789711753,0.9534834005679437
16,resnet_se,0.1,0.8731470805071897,0.8894140581640582
17,resnet_se,0.1,0.7805684616398332,0.7832990180551156
18,resnet_se,0.1,0.8921043428783674,0.8951331372116256
19,resnet_se,0.1,0.8929561102663426,0.909479364633885
20,resnet_se,0.1,0.8750362185530284,0.8921883336353694
21,resnet_se,0.1,0.7816956247120276,0.7926784932517438
22,resnet_se,0.1,0.817935504090927,0.817195568993022
23,resnet_se,0.1,0.8522831444347732,0.8590843635526408
24,resnet_se,0.1,0.803341090443789,0.8477407721572916
25,resnet_se,0.1,0.8630577306058005,0.8857664297342951
26,resnet_se,0.1,0.7717060622050885,0.7884749966455548
27,resnet_se,0.1,0.9083648949166955,0.9080072469585789
28,resnet_se,0.1,0.7873459337570781,0.7814098388918885
29,resnet_se,0.1,0.8417356607198676,0.8447386298235233
30,resnet_se,0.1,0.8121251482499151,0.8149882698754879
31,resnet_se,0.1,0.7353302877006899,0.76477474537624
32,resnet_se,0.1,0.8448960810316444,0.8513182760778273
33,resnet_se,0.1,0.8591058795934541,0.856772534785239
34,resnet_se,0.1,0.8726404922728632,0.895275061947856
35,resnet_se,0.1,0.6846635925728128,0.7033928856792142
36,resnet_se,0.1,0.8321200120784186,0.8419536954547042
37,resnet_se,0.1,0.8826586669116894,0.881185203225716
38,resnet_se,0.1,0.8441362893410469,0.8558222342317214
39,resnet_se,0.1,0.8346405063446309,0.8403607503607503
40,resnet_se,0.1,0.8007570588678562,0.807926885745666
