subject,arch,coral_lambda,f1_macro,bal_acc
1,resnet_se,1.0,0.6793711416928039,0.6719292752028649
2,resnet_se,1.0,0.8695985942920818,0.8766448971186607
3,resnet_se,1.0,0.9255296478821771,0.9285145175216278
4,resnet_se,1.0,0.8957112341206726,0.904800459851115
5,resnet_se,1.0,0.7494901770720143,0.7614875670144735
6,resnet_se,1.0,0.8135819153571933,0.8262016980236748
7,resnet_se,1.0,0.8469572557512509,0.8574372796018179
8,resnet_se,1.0,0.8625075429283225,0.8774637184520906
9,resnet_se,1.0,0.8240958607405047,0.8195786830822616
10,resnet_se,1.0,0.6494666126874934,0.6970266575529733
11,resnet_se,1.0,0.9176602396595939,0.9306100376820801
12,resnet_se,1.0,0.9175630597066413,0.9155531968031968
13,resnet_se,1.0,0.8999219443562271,0.9132199690813066
14,resnet_se,1.0,0.7966813013036053,0.819600228980377
15,resnet_se,1.0,0.9214813793616742,0.938226504430695
16,resnet_se,1.0,0.8767015147876117,0.8924242424242425
17,resnet_se,1.0,0.8523223949927756,0.856076443881322
18,resnet_se,1.0,0.8873544718611637,0.8938313140348024
19,resnet_se,1.0,0.8840200035195319,0.9011498914762073
20,resnet_se,1.0,0.8601227213591289,0.8798068088643992
21,resnet_se,1.0,0.7974838472622132,0.800565457356353
22,resnet_se,1.0,0.8147295880439713,0.8108549411417695
23,resnet_se,1.0,0.8160075031442687,0.8248880630959281
24,resnet_se,1.0,0.7382809740207794,0.8026365405634608
25,resnet_se,1.0,0.8635632549450188,0.885441022122632
26,resnet_se,1.0,0.7861895030955363,0.8046194440288744
27,resnet_se,1.0,0.8982762476017639,0.8933720301653313
28,resnet_se,1.0,0.7870206214883164,0.7882800945790502
29,resnet_se,1.0,0.8401486820124804,0.8427271614219707
30,resnet_se,1.0,0.8216411293084682,0.8276713887616143
31,resnet_se,1.0,0.7745304159273543,0.7939579923622477
32,resnet_se,1.0,0.8018777146427918,0.8147939646069489
33,resnet_se,1.0,0.8667827242672863,0.8712049520352605
34,resnet_se,1.0,0.8703127807475776,0.8952226621417798
35,resnet_se,1.0,0.697343514268981,0.713793316850171
36,resnet_se,1.0,0.8220548108714109,0.825634614936706
37,resnet_se,1.0,0.8947603318748142,0.890180510209269
38,resnet_se,1.0,0.8443460833265714,0.8676278139999767
39,resnet_se,1.0,0.821716151106075,0.8419462481962482
40,resnet_se,1.0,0.8297634220500646,0.8410450354129758
