ensemble,method,models,f1_mean,f1_sd,p_vs_current
SVM+RF+RESNET_SE [weighted_soft],weighted_soft,SVM+RF+RESNET_SE,0.815075506334232,0.06217440218759479,4.5276301534613594e-06
SVM+RF+RESNET_SE [soft],soft,SVM+RF+RESNET_SE,0.8148958162373884,0.0622328936109594,4.9328082241117954e-06
SVM+RF+CNN+RESNET_SE [stacking],stacking,SVM+RF+CNN+RESNET_SE,0.8141617636450139,0.06239787418784442,1.4051875041332096e-06
SVM+RF+RESNET_SE [stacking],stacking,SVM+RF+RESNET_SE,0.8137903705446601,0.0611303035750147,4.9328082241117954e-06
SVM+RESNET_SE [weighted_soft],weighted_soft,SVM+RESNET_SE,0.8134093049848111,0.06408825616920719,5.078317190054804e-05
SVM+RESNET_SE [soft],soft,SVM+RESNET_SE,0.8134053548278402,0.06419746156759955,5.449729542306159e-05
SVM+RF+CNN+RESNET_SE [weighted_soft],weighted_soft,SVM+RF+CNN+RESNET_SE,0.8116357493553565,0.07009427553873249,1.1274605640210211e-05
SVM+RF+CNN+RESNET_SE [soft],soft,SVM+RF+CNN+RESNET_SE,0.8115733241590029,0.07066412945833032,9.59746103035286e-06
SVM+RESNET_SE [stacking],stacking,SVM+RESNET_SE,0.8105276674448743,0.06168974578648746,0.0004266080886736745
SVM+RF+CNN [stacking],stacking,SVM+RF+CNN,0.8046902141400498,0.06119469689671978,0.00028057557574356906
SVM+RF+CNN [soft],soft,SVM+RF+CNN,0.8045692391582845,0.061677112934373224,0.00010100967301696073
SVM+RF+CNN [weighted_soft],weighted_soft,SVM+RF+CNN,0.8042976050862667,0.06156689327608634,9.446514923183713e-05
RF+RESNET_SE [stacking],stacking,RF+RESNET_SE,0.8006971246581506,0.07096151735306762,0.08415465162215696
SVM+RF+RESNET_SE [hard],hard,SVM+RF+RESNET_SE,0.799065394690281,0.05816623445988914,0.01650634321049438
RF+RESNET_SE [weighted_soft],weighted_soft,RF+RESNET_SE,0.7978053123656854,0.07169599176104408,0.45981367328386114
RF+RESNET_SE [soft],soft,RF+RESNET_SE,0.7977468333433,0.0718636683254531,0.4679718594561564
SVM+RF+CNN+RESNET_SE [hard],hard,SVM+RF+CNN+RESNET_SE,0.7952056526518309,0.0634354703191786,0.8995151304461615
SVM+RF+CNN [hard],hard,SVM+RF+CNN,0.7948223761101112,0.05847319231730694,
SVM+RF [weighted_soft],weighted_soft,SVM+RF,0.7858533083006224,0.05278279872884427,0.001770566779669025
SVM+RF [soft],soft,SVM+RF,0.7858533083006224,0.05278279872884427,0.001770566779669025
SVM+RF [stacking],stacking,SVM+RF,0.7852192575246398,0.05118281018596814,0.0005381573264457984
SVM+RF [hard],hard,SVM+RF,0.7768055857933529,0.05565433709517259,8.831049490254372e-05
SVM+RESNET_SE [hard],hard,SVM+RESNET_SE,0.7768055857933529,0.05565433709517259,8.831049490254372e-05
RF+RESNET_SE [hard],hard,RF+RESNET_SE,0.7732421386023015,0.05913972817581137,1.9444996723905206e-09
