model,heldout_subject,n_test,acc,bal_acc,f1_macro,best_params,fit_time_sec,infer_ms_per_window,feat_sel,n_features_used
RF,1,690,0.7057971014492753,0.5858996333315906,0.6026753059144594,"{'clf__max_depth': None, 'clf__n_estimators': 500}",13.998564200002875,0.34362300000793766,none,72
RF,2,520,0.9057692307692308,0.8482055834945907,0.8502282632843694,"{'clf__max_depth': None, 'clf__n_estimators': 500}",14.807172500004526,0.3892305000044871,none,72
RF,3,594,0.8686868686868687,0.7944208013901893,0.7844170805503818,"{'clf__max_depth': None, 'clf__n_estimators': 400}",11.884478499996476,0.27965299999777926,none,72
RF,4,556,0.8615107913669064,0.7784850895149475,0.7922746997349666,"{'clf__max_depth': None, 'clf__n_estimators': 500}",15.407690600004571,0.38708100000803825,none,72
RF,5,708,0.731638418079096,0.6678595361139498,0.6582109311114686,"{'clf__max_depth': None, 'clf__n_estimators': 500}",14.67915229999926,0.39467799997510156,none,72
RF,6,583,0.7855917667238422,0.7184971079732728,0.7145014755448332,"{'clf__max_depth': None, 'clf__n_estimators': 500}",15.456987000005029,0.3829760000007809,none,72
RF,7,600,0.8216666666666667,0.7457770850405827,0.7481762662220409,"{'clf__max_depth': None, 'clf__n_estimators': 500}",15.812626300001284,0.3844445000140695,none,72
RF,8,574,0.8327526132404182,0.7506039503132526,0.7513695213612382,"{'clf__max_depth': None, 'clf__n_estimators': 500}",15.921193399997719,0.38591699998505646,none,72
RF,9,591,0.8138747884940778,0.7744936332372897,0.7752577572551006,"{'clf__max_depth': None, 'clf__n_estimators': 500}",16.370803400001023,0.3860250000070664,none,72
RF,10,509,0.8447937131630648,0.7250069009937431,0.7383121311281183,"{'clf__max_depth': None, 'clf__n_estimators': 500}",16.37272320000193,0.38980549998086644,none,72
RF,11,518,0.8976833976833977,0.8546465981694005,0.8568400332837391,"{'clf__max_depth': None, 'clf__n_estimators': 400}",13.509919300006004,0.3486279999924591,none,72
RF,12,507,0.873767258382643,0.7978583916083917,0.8149277876966663,"{'clf__max_depth': None, 'clf__n_estimators': 500}",17.21896779999952,0.39957349999895087,none,72
RF,13,752,0.9375,0.8915334495979647,0.8939836426295077,"{'clf__max_depth': None, 'clf__n_estimators': 400}",13.850905400002375,0.3396649999922374,none,72
RF,14,775,0.8464516129032258,0.7695019186779805,0.7711021683080721,"{'clf__max_depth': None, 'clf__n_estimators': 500}",17.522888200001034,0.3953605000060634,none,72
RF,15,610,0.8672131147540983,0.7839032687590106,0.780019128288689,"{'clf__max_depth': None, 'clf__n_estimators': 500}",17.845833700004732,0.3918990000238409,none,72
RF,16,681,0.8839941262848752,0.856528194028194,0.8355576483872889,"{'clf__max_depth': None, 'clf__n_estimators': 500}",18.250354899995727,0.3854424999735784,none,72
RF,17,703,0.8648648648648649,0.773703058459156,0.7829022437545126,"{'clf__max_depth': None, 'clf__n_estimators': 500}",18.311094099997717,0.4046414999902481,none,72
RF,18,640,0.8625,0.776673544478777,0.7703538754826219,"{'clf__max_depth': None, 'clf__n_estimators': 500}",19.56284389999928,0.45282299997779774,none,72
RF,19,716,0.8505586592178771,0.7858349660070988,0.7798201964221061,"{'clf__max_depth': None, 'clf__n_estimators': 500}",20.526684500000556,0.5147049999868614,none,72
RF,20,599,0.8080133555926544,0.707398183221411,0.6827689585011569,"{'clf__max_depth': None, 'clf__n_estimators': 400}",16.699659599995357,0.3420230000119773,none,72
RF,21,607,0.8797364085667215,0.7946776864073707,0.7942523900240688,"{'clf__max_depth': None, 'clf__n_estimators': 400}",16.255161200002476,0.3398074999859091,none,72
RF,22,722,0.8060941828254847,0.7401460079209292,0.7366067642150091,"{'clf__max_depth': None, 'clf__n_estimators': 400}",15.799597700002778,0.3387814999950933,none,72
RF,23,704,0.7926136363636364,0.7328140264579546,0.7305645669132046,"{'clf__max_depth': None, 'clf__n_estimators': 400}",16.42799499999819,0.2833979999923031,none,72
RF,24,653,0.8392036753445635,0.7475147927828075,0.7449661101196623,"{'clf__max_depth': None, 'clf__n_estimators': 500}",21.58748639999976,0.38693399998010136,none,72
RF,25,616,0.8538961038961039,0.784817857849313,0.779662855593143,"{'clf__max_depth': None, 'clf__n_estimators': 400}",17.761908300002688,0.3402049999931478,none,72
RF,26,789,0.8162230671736375,0.7361952324655893,0.7152486610417648,"{'clf__max_depth': None, 'clf__n_estimators': 200}",9.627298500003235,0.17580150000867434,none,72
RF,27,694,0.9005763688760807,0.8207302354458699,0.827541169893101,"{'clf__max_depth': None, 'clf__n_estimators': 500}",21.96346770000673,0.4561400000238791,none,72
RF,28,700,0.8528571428571429,0.7732003047358792,0.779837012094181,"{'clf__max_depth': None, 'clf__n_estimators': 400}",18.662938399997074,0.3375305000008666,none,72
RF,29,736,0.8383152173913043,0.7329817573592645,0.7418081158937451,"{'clf__max_depth': None, 'clf__n_estimators': 400}",18.317329000004975,0.2831499999956577,none,72
RF,30,654,0.8944954128440367,0.8160943066958104,0.815420191924198,"{'clf__max_depth': None, 'clf__n_estimators': 500}",23.11717089999729,0.39180650001071626,none,72
RF,31,758,0.8245382585751979,0.7103907096424702,0.706385129084563,"{'clf__max_depth': None, 'clf__n_estimators': 500}",24.139583900003345,0.3941904999737744,none,72
RF,32,686,0.8615160349854227,0.7720973812010414,0.7675591337772055,"{'clf__max_depth': None, 'clf__n_estimators': 500}",24.6821495999975,0.3877659999852767,none,72
RF,33,692,0.9147398843930635,0.8438157894736842,0.8483985123769411,"{'clf__max_depth': None, 'clf__n_estimators': 500}",25.526450899997144,0.40020250002271496,none,72
RF,34,632,0.8892405063291139,0.8543126144688645,0.8450584444471654,"{'clf__max_depth': None, 'clf__n_estimators': 500}",25.84283190000133,0.38894299999810755,none,72
RF,35,852,0.7852112676056338,0.720357997649743,0.7011606199497994,"{'clf__max_depth': None, 'clf__n_estimators': 500}",26.100837899997714,0.47864099997241283,none,72
RF,36,734,0.8433242506811989,0.755914969313722,0.7455897454602711,"{'clf__max_depth': None, 'clf__n_estimators': 400}",20.66849770000408,0.3416875000038999,none,72
RF,37,680,0.9279411764705883,0.8626779268974633,0.8694714899812868,"{'clf__max_depth': None, 'clf__n_estimators': 500}",27.319159300001047,0.38795199998276075,none,72
RF,38,671,0.9120715350223547,0.8309499320107387,0.838085497627845,"{'clf__max_depth': None, 'clf__n_estimators': 400}",22.845861500005412,0.2936240000053658,none,72
RF,39,693,0.8946608946608947,0.7519264069264069,0.7523619214748247,"{'clf__max_depth': None, 'clf__n_estimators': 400}",23.501523700004327,0.28476300001784693,none,72
RF,40,648,0.8966049382716049,0.801907302821378,0.8060080973387425,"{'clf__max_depth': None, 'clf__n_estimators': 500}",30.889820999997028,0.3910109999924316,none,72
