subject,SVM,RF,CNN,RESNET_SE,ENS
1,0.6611,0.6027,0.5636,0.5799,0.6201
2,0.8641,0.8502,0.8055,0.8082,0.9046
3,0.8027,0.7844,0.8388,0.7637,0.83
4,0.768,0.7923,0.7896,0.7994,0.8186
5,0.6955,0.6582,0.5492,0.5514,0.6496
6,0.756,0.7145,0.7077,0.674,0.7597
7,0.775,0.7482,0.6869,0.7139,0.7762
8,0.7544,0.7514,0.7231,0.7788,0.8167
9,0.7924,0.7753,0.6956,0.7997,0.8227
10,0.6979,0.7383,0.7183,0.7483,0.7648
11,0.8584,0.8568,0.8328,0.8987,0.9472
12,0.8167,0.8149,0.8291,0.8002,0.853
13,0.9,0.894,0.8711,0.784,0.9146
14,0.8077,0.7711,0.7568,0.7949,0.8297
15,0.8426,0.78,0.8465,0.8783,0.8922
16,0.8388,0.8356,0.8216,0.8463,0.8748
17,0.8043,0.7829,0.8047,0.796,0.8387
18,0.8234,0.7704,0.7021,0.7338,0.8323
19,0.7583,0.7798,0.8292,0.8197,0.8398
20,0.6926,0.6828,0.7942,0.801,0.7656
21,0.7785,0.7943,0.7779,0.7637,0.802
22,0.7299,0.7366,0.7359,0.7288,0.7993
23,0.6764,0.7306,0.7339,0.7738,0.7906
24,0.6853,0.745,0.6972,0.6532,0.7837
25,0.768,0.7797,0.732,0.7631,0.8072
26,0.7364,0.7152,0.6389,0.7119,0.7626
27,0.8292,0.8275,0.8484,0.7835,0.8305
28,0.8087,0.7798,0.7669,0.7772,0.8477
29,0.7889,0.7418,0.7829,0.8407,0.8264
30,0.8003,0.8154,0.8515,0.7969,0.8245
31,0.7378,0.7064,0.681,0.73,0.7701
32,0.7344,0.7676,0.7113,0.7711,0.7963
33,0.8478,0.8484,0.9036,0.8624,0.8948
34,0.8444,0.8451,0.8457,0.882,0.8904
35,0.7501,0.7012,0.6806,0.6961,0.746
36,0.7204,0.7456,0.6717,0.741,0.7672
37,0.7907,0.8695,0.8316,0.8554,0.8533
38,0.8076,0.8381,0.7938,0.813,0.856
39,0.7681,0.7524,0.7675,0.7438,0.8052
40,0.7594,0.806,0.7503,0.7198,0.7908
