model,heldout_subject,n_test,acc,bal_acc,f1_macro,best_params,fit_time_sec,infer_ms_per_window,feat_sel,n_features_used
SVM,1,690,0.7318840579710145,0.6802573564791345,0.6708429792681361,"{'clf__C': 1, 'clf__gamma': 'scale'}",167.26129899999796,2.0329149999815854,none,72
SVM,2,520,0.9173076923076923,0.8812819579354967,0.8729166904278644,"{'clf__C': 1, 'clf__gamma': 'scale'}",164.8288223000054,1.672087000006286,none,72
SVM,3,594,0.8838383838383839,0.8406808124660367,0.8123476884987733,"{'clf__C': 1, 'clf__gamma': 'scale'}",164.72544720000587,1.577511499999673,none,72
SVM,4,556,0.8597122302158273,0.7772810769168189,0.7809203568641745,"{'clf__C': 1, 'clf__gamma': 'scale'}",156.63712340000347,1.7141234999871813,none,72
SVM,5,708,0.7570621468926554,0.7226378030046962,0.698487429709867,"{'clf__C': 1, 'clf__gamma': 'scale'}",151.5661395999996,1.526823999993212,none,72
SVM,6,583,0.8113207547169812,0.7544841911088882,0.7460078974475345,"{'clf__C': 1, 'clf__gamma': 'scale'}",157.91103640000074,1.3555470000210335,none,72
SVM,7,600,0.8283333333333334,0.7866963573645421,0.7732346983942175,"{'clf__C': 1, 'clf__gamma': 'scale'}",158.6874353000021,1.6287970000121277,none,72
SVM,8,574,0.8397212543554007,0.7491808579017881,0.74807780287718,"{'clf__C': 1, 'clf__gamma': 'scale'}",125.49871300000086,1.9457675000012387,none,72
SVM,9,591,0.8274111675126904,0.7963274730041158,0.7909824919648527,"{'clf__C': 1, 'clf__gamma': 'scale'}",72.96027520000644,0.9140685000238591,none,72
SVM,10,509,0.831041257367387,0.7153225064409274,0.7102313419474202,"{'clf__C': 1, 'clf__gamma': 'scale'}",88.16383399999904,1.0591139999814914,none,72
SVM,11,518,0.9073359073359073,0.8765893282747215,0.8682620835916856,"{'clf__C': 1, 'clf__gamma': 'scale'}",95.74563679999846,1.051085500002955,none,72
SVM,12,507,0.8757396449704142,0.8389110889110889,0.8270668452343122,"{'clf__C': 1, 'clf__gamma': 'scale'}",79.58336799999961,0.8008900000277208,none,72
SVM,13,752,0.9321808510638298,0.9049237531750098,0.8935695131978626,"{'clf__C': 1, 'clf__gamma': 'scale'}",63.31293609999557,0.763267000002088,none,72
SVM,14,775,0.8709677419354839,0.8178568397510961,0.8058885232414644,"{'clf__C': 1, 'clf__gamma': 'scale'}",68.51789629999985,0.7845775000168942,none,72
SVM,15,610,0.8967213114754098,0.8563732418028159,0.834115365692586,"{'clf__C': 1, 'clf__gamma': 'scale'}",93.89069819999713,0.8604170000035083,none,72
SVM,16,681,0.869309838472834,0.8449585137085138,0.8171264214191113,"{'clf__C': 1, 'clf__gamma': 'scale'}",109.95569940000132,2.4598285000320175,none,72
SVM,17,703,0.8819345661450925,0.8103816914792525,0.8099535441017278,"{'clf__C': 1, 'clf__gamma': 'scale'}",106.10669570000027,0.8140629999979865,none,72
SVM,18,640,0.8828125,0.8258821846757893,0.8119286933746366,"{'clf__C': 1, 'clf__gamma': 'scale'}",68.50344469999982,0.7704075000219746,none,72
SVM,19,716,0.8156424581005587,0.7673968570517483,0.7493323266051085,"{'clf__C': 1, 'clf__gamma': 'scale'}",65.79127729999891,0.7495605000076466,none,72
SVM,20,599,0.8263772954924875,0.7457574810952884,0.721121202384184,"{'clf__C': 1, 'clf__gamma': 'scale'}",67.1229983000012,0.8891149999908521,none,72
SVM,21,607,0.8467874794069192,0.779032497545951,0.7627346519666744,"{'clf__C': 1, 'clf__gamma': 'scale'}",69.00874019999901,0.7475059999705991,none,72
SVM,22,722,0.8102493074792244,0.7520429668667642,0.7409953852292037,"{'clf__C': 1, 'clf__gamma': 'scale'}",67.14777669999603,0.8295800000269082,none,72
SVM,23,704,0.7727272727272727,0.6912363015992978,0.6963617112667909,"{'clf__C': 1, 'clf__gamma': 'scale'}",65.02940839999792,0.7823095000276226,none,72
SVM,24,653,0.7993874425727412,0.7278892310238867,0.7011497642333242,"{'clf__C': 1, 'clf__gamma': 'scale'}",65.77470259999973,0.7739520000177436,none,72
SVM,25,616,0.8116883116883117,0.7847903004991367,0.7520582218447945,"{'clf__C': 1, 'clf__gamma': 'scale'}",133.86565880000126,0.7677135000267299,none,72
SVM,26,789,0.8174904942965779,0.7550797033432197,0.7276029762323566,"{'clf__C': 1, 'clf__gamma': 'scale'}",67.84610059999977,0.7824574999904144,none,72
SVM,27,694,0.9149855907780979,0.8466518944320451,0.8471334964401774,"{'clf__C': 1, 'clf__gamma': 'scale'}",101.41334240000288,0.7794840000133263,none,72
SVM,28,700,0.8671428571428571,0.805626601604082,0.802751648625109,"{'clf__C': 1, 'clf__gamma': 'scale'}",65.41917910000484,0.7891709999967134,none,72
SVM,29,736,0.873641304347826,0.8008691114618671,0.8037798587399274,"{'clf__C': 1, 'clf__gamma': 'scale'}",64.2497233000031,0.7793849999870872,none,72
SVM,30,654,0.8899082568807339,0.8123890520507061,0.8040059719751332,"{'clf__C': 1, 'clf__gamma': 'scale'}",66.56063549999817,0.7229999999981374,none,72
SVM,31,758,0.8390501319261213,0.7546827216023911,0.7340918274538094,"{'clf__C': 1, 'clf__gamma': 'scale'}",59.08901779999724,0.7645755000339705,none,72
SVM,32,686,0.8454810495626822,0.7478261188562083,0.7357707426793634,"{'clf__C': 1, 'clf__gamma': 'scale'}",92.6069439999992,0.7866715000272961,none,72
