ensemble,method,models,f1_mean,f1_sd,p_vs_current
SVM+RESNET_SE [stacking],stacking,SVM+RESNET_SE,0.8603751800063973,0.06282766527677422,1.8189894035458565e-12
SVM+RF+CNN+RESNET_SE [stacking],stacking,SVM+RF+CNN+RESNET_SE,0.8603570861369132,0.06214741037856484,1.8189894035458565e-12
SVM+RF+RESNET_SE [stacking],stacking,SVM+RF+RESNET_SE,0.8600005621496342,0.06146647461362582,1.8189894035458565e-12
SVM+RESNET_SE [weighted_soft],weighted_soft,SVM+RESNET_SE,0.8588631992879524,0.06555207268900334,1.8189894035458565e-12
SVM+RESNET_SE [soft],soft,SVM+RESNET_SE,0.8579340556847527,0.06485377370354428,1.8189894035458565e-12
RF+RESNET_SE [stacking],stacking,RF+RESNET_SE,0.8555121835109685,0.0643345561746261,1.8189894035458565e-12
RF+RESNET_SE [soft],soft,RF+RESNET_SE,0.8545012804518015,0.06565130322518911,3.637978807091713e-12
RF+RESNET_SE [weighted_soft],weighted_soft,RF+RESNET_SE,0.853748927308436,0.06529160814791314,3.637978807091713e-12
SVM+RF+RESNET_SE [weighted_soft],weighted_soft,SVM+RF+RESNET_SE,0.8497199100676752,0.06155406927561711,1.8189894035458565e-12
SVM+RF+RESNET_SE [soft],soft,SVM+RF+RESNET_SE,0.8467192234225317,0.06095873222260243,1.8189894035458565e-12
SVM+RF+CNN+RESNET_SE [weighted_soft],weighted_soft,SVM+RF+CNN+RESNET_SE,0.8434257581665865,0.06606001001039079,3.637978807091713e-12
SVM+RESNET_SE [hard],hard,SVM+RESNET_SE,0.8415664782435744,0.06676393521110678,7.839844329282641e-09
RF+RESNET_SE [hard],hard,RF+RESNET_SE,0.8415664782435744,0.06676393521110678,7.839844329282641e-09
SVM+RF+CNN+RESNET_SE [soft],soft,SVM+RF+CNN+RESNET_SE,0.8413861250489288,0.06572956046414284,5.4569682106375694e-12
SVM+RF+RESNET_SE [hard],hard,SVM+RF+RESNET_SE,0.8183197771619785,0.05544953699777748,5.4569682106375694e-12
SVM+RF+CNN+RESNET_SE [hard],hard,SVM+RF+CNN+RESNET_SE,0.8164676717014178,0.0602767762003808,4.547473508864641e-11
SVM+RF+CNN [stacking],stacking,SVM+RF+CNN,0.8046902141400498,0.06119469689671978,0.00028057557574356906
SVM+RF+CNN [soft],soft,SVM+RF+CNN,0.8045692391582845,0.061677112934373224,0.00010100967301696073
SVM+RF+CNN [weighted_soft],weighted_soft,SVM+RF+CNN,0.8042976050862667,0.06156689327608634,9.446514923183713e-05
SVM+RF+CNN [hard],hard,SVM+RF+CNN,0.7948223761101112,0.05847319231730694,
SVM+RF [weighted_soft],weighted_soft,SVM+RF,0.7858533083006224,0.05278279872884427,0.001770566779669025
SVM+RF [soft],soft,SVM+RF,0.7858533083006224,0.05278279872884427,0.001770566779669025
SVM+RF [stacking],stacking,SVM+RF,0.7852192575246398,0.05118281018596814,0.0005381573264457984
SVM+RF [hard],hard,SVM+RF,0.7768055857933529,0.05565433709517259,8.831049490254372e-05
