model,subject,f1_macro,bal_acc,n_windows,xkey,norm_mode,aug_mode
CNN,156,0.5257268110483536,0.6264626828498148,4677,X_env,global,none
CNN,185,0.3823589689987539,0.5211565002705414,4914,X_env,global,none
CNN,186,0.6405927817402433,0.6526347402626069,4165,X_env,global,none
CNN,188,0.09016795010760899,0.2577028516547279,4273,X_env,global,none
CNN,189,0.25382007177634724,0.4466632229563571,4918,X_env,global,none
CNN,190,0.2950003676884298,0.40347261261030054,4498,X_env,global,none
CNN,191,0.38522734465447384,0.5931553096264642,3768,X_env,global,none
CNN,192,0.3736921162050414,0.5039793391364463,4365,X_env,global,none
CNN,193,0.4908754371948972,0.5953430670646013,4597,X_env,global,none
CNN,194,0.42946295359810105,0.5482952930842957,5350,X_env,global,none
