model,subject,f1_macro,bal_acc,n_windows,xkey,norm_mode,aug_mode
CNN,156,0.578157753696544,0.6839218215503409,4677,X_env,per_subject,none
CNN,185,0.5579112157944478,0.6692445446763436,4914,X_env,per_subject,none
CNN,186,0.6530352011136764,0.7412142055215243,4165,X_env,per_subject,none
CNN,188,0.5639256665708345,0.608130149992792,4273,X_env,per_subject,none
CNN,189,0.6402436162300033,0.7082033979906134,4918,X_env,per_subject,none
CNN,190,0.5095128283526954,0.6005146395290744,4498,X_env,per_subject,none
CNN,191,0.5387541946587197,0.623870764712414,3768,X_env,per_subject,none
CNN,192,0.3912643277404188,0.4573896065048866,4365,X_env,per_subject,none
CNN,193,0.4790950714079226,0.4987905426883193,4597,X_env,per_subject,none
CNN,194,0.6441366366296792,0.7607658763988687,5350,X_env,per_subject,none
