ensemble,method,models,f1_mean,f1_sd
SVM+RF+RESNET_SE [weighted_soft],weighted_soft,SVM+RF+RESNET_SE,0.6749016427161395,0.0736344363087219
SVM+RF+RESNET_SE [weighted_soft],weighted_soft,SVM+RF+RESNET_SE,0.6749016427161395,0.0736344363087219
SVM+RF+RESNET_SE [soft],soft,SVM+RF+RESNET_SE,0.6731924082939064,0.07499695628199504
SVM+RF+RESNET_SE [soft],soft,SVM+RF+RESNET_SE,0.6731924082939064,0.07499695628199504
SVM+RF+RESNET_SE [hard],hard,SVM+RF+RESNET_SE,0.6673380705178071,0.07719334948816442
SVM+RF+RESNET_SE [hard],hard,SVM+RF+RESNET_SE,0.6673380705178071,0.07719334948816442
SVM+RESNET_SE [weighted_soft],weighted_soft,SVM+RESNET_SE,0.6630157432795605,0.0685167929202157
SVM+RF [weighted_soft],weighted_soft,SVM+RF,0.6627932852488067,0.06536712617081032
SVM+RF [weighted_soft],weighted_soft,SVM+RF,0.6627932852488067,0.06536712617081032
SVM+RF [soft],soft,SVM+RF,0.6627323944366785,0.06533505362460686
SVM+RF [soft],soft,SVM+RF,0.6627323944366785,0.06533505362460686
SVM+RESNET_SE [soft],soft,SVM+RESNET_SE,0.659438215509794,0.07098074793705313
SVM+RF+RESNET_SE [stacking],stacking,SVM+RF+RESNET_SE,0.6411305282336612,0.07363107936892083
SVM+RF+RESNET_SE [stacking],stacking,SVM+RF+RESNET_SE,0.6411305282336612,0.07363107936892083
SVM+RESNET_SE [hard],hard,SVM+RESNET_SE,0.6387387226752317,0.05983663988385569
SVM+RF [hard],hard,SVM+RF,0.6387387226752317,0.05983663988385569
SVM+RF [hard],hard,SVM+RF,0.6387387226752317,0.05983663988385569
SVM+RF [stacking],stacking,SVM+RF,0.6378921006531322,0.07164170553128908
SVM+RF [stacking],stacking,SVM+RF,0.6378921006531322,0.07164170553128908
RF+RESNET_SE [hard],hard,RF+RESNET_SE,0.6355562372236678,0.0852050780119082
SVM+RESNET_SE [stacking],stacking,SVM+RESNET_SE,0.6349569994142559,0.06260032377348278
RF+RESNET_SE [weighted_soft],weighted_soft,RF+RESNET_SE,0.6172468930081124,0.07775745074543235
RF+RESNET_SE [soft],soft,RF+RESNET_SE,0.6118734260838636,0.07731162913175252
RF+RESNET_SE [stacking],stacking,RF+RESNET_SE,0.5976042004076605,0.0859473122344482
