ensemble,method,models,f1_mean,f1_sd
SVM+RESNET_SE [soft],soft,SVM+RESNET_SE,0.7059764363727277,0.08406570945023481
SVM+RESNET_SE [weighted_soft],weighted_soft,SVM+RESNET_SE,0.7059392664532304,0.08399138719840946
SVM+RF+RESNET_SE [weighted_soft],weighted_soft,SVM+RF+RESNET_SE,0.7037796972661265,0.08363232890151293
SVM+RF+RESNET_SE [weighted_soft],weighted_soft,SVM+RF+RESNET_SE,0.7037796972661265,0.08363232890151293
SVM+RF+RESNET_SE [soft],soft,SVM+RF+RESNET_SE,0.703697406898525,0.08361059674336968
SVM+RF+RESNET_SE [soft],soft,SVM+RF+RESNET_SE,0.703697406898525,0.08361059674336968
SVM+RF+RESNET_SE [hard],hard,SVM+RF+RESNET_SE,0.6848144394678797,0.08037262139996293
SVM+RF+RESNET_SE [hard],hard,SVM+RF+RESNET_SE,0.6848144394678797,0.08037262139996293
RF+RESNET_SE [soft],soft,RF+RESNET_SE,0.6734638297783179,0.0828720301636656
RF+RESNET_SE [weighted_soft],weighted_soft,RF+RESNET_SE,0.6733945289220957,0.08291555671497139
SVM+RF+RESNET_SE [stacking],stacking,SVM+RF+RESNET_SE,0.6688147807539814,0.08103119931112227
SVM+RF+RESNET_SE [stacking],stacking,SVM+RF+RESNET_SE,0.6688147807539814,0.08103119931112227
SVM+RESNET_SE [stacking],stacking,SVM+RESNET_SE,0.6677331705818308,0.07679972695110572
SVM+RF [weighted_soft],weighted_soft,SVM+RF,0.6627932852488067,0.06536712617081032
SVM+RF [weighted_soft],weighted_soft,SVM+RF,0.6627932852488067,0.06536712617081032
SVM+RF [soft],soft,SVM+RF,0.6627323944366785,0.06533505362460686
SVM+RF [soft],soft,SVM+RF,0.6627323944366785,0.06533505362460686
RF+RESNET_SE [stacking],stacking,RF+RESNET_SE,0.6411441593433048,0.08982603300231329
SVM+RESNET_SE [hard],hard,SVM+RESNET_SE,0.6387387226752317,0.05983663988385569
SVM+RF [hard],hard,SVM+RF,0.6387387226752317,0.05983663988385569
SVM+RF [hard],hard,SVM+RF,0.6387387226752317,0.05983663988385569
SVM+RF [stacking],stacking,SVM+RF,0.6378921006531322,0.07164170553128908
SVM+RF [stacking],stacking,SVM+RF,0.6378921006531322,0.07164170553128908
RF+RESNET_SE [hard],hard,RF+RESNET_SE,0.6367321275682943,0.08416642926729527
