model,heldout_subject,n_test,acc,bal_acc,f1_macro,best_params,fit_time_sec,infer_ms_per_window,feat_sel,n_features_used
SVM,156,4677,0.6457130639298696,0.6558348181175727,0.5658415557460306,"{'clf__C': 5, 'clf__gamma': 'scale'}",702.6796707999893,1.4743124999222346,none,56
SVM,185,4914,0.7368742368742369,0.5839647170789156,0.5938243742869126,"{'clf__C': 5, 'clf__gamma': 'scale'}",686.7363143000402,1.5744629999971949,none,56
SVM,186,4165,0.7771908763505402,0.6716443617807335,0.6616351578103097,"{'clf__C': 5, 'clf__gamma': 'scale'}",723.880200799962,1.4664900000207126,none,56
SVM,188,4273,0.4153990170840159,0.3757944617717998,0.35213637025914524,"{'clf__C': 5, 'clf__gamma': 'scale'}",687.7646150999935,1.3950585000566207,none,56
SVM,189,4918,0.4910532736884913,0.6823774230539288,0.4727933465463797,"{'clf__C': 1, 'clf__gamma': 'scale'}",767.9708849999588,2.4118949999683537,none,56
SVM,190,4498,0.5622498888394842,0.5311695766522607,0.47024097822103794,"{'clf__C': 5, 'clf__gamma': 'scale'}",674.253897400049,1.5051355000468902,none,56
SVM,191,3768,0.6955944798301487,0.7060536596657448,0.6003900463154326,"{'clf__C': 5, 'clf__gamma': 'scale'}",722.4371678000316,1.6297900001518428,none,56
SVM,192,4365,0.6950744558991981,0.6433401949035409,0.602778597317763,"{'clf__C': 5, 'clf__gamma': 'scale'}",690.6550266999984,1.5696319998824038,none,56
SVM,193,4597,0.6623885142484229,0.7160871287056078,0.615806944066752,"{'clf__C': 5, 'clf__gamma': 'scale'}",678.0867922999896,1.4839560000109486,none,56
SVM,194,5350,0.7209345794392523,0.6887402677364314,0.6049900357397016,"{'clf__C': 5, 'clf__gamma': 'scale'}",705.8695186999976,1.7700730002252385,none,56
