model,heldout_subject,n_test,acc,bal_acc,f1_macro,best_params,fit_time_sec,infer_ms_per_window,feat_sel,n_features_used
SVM,156,4677,0.7395766516998076,0.7194810535148916,0.6561651700831552,"{'clf__C': 1, 'clf__gamma': 'scale'}",788.9212749999715,2.338929499965161,none,56
SVM,185,4914,0.7633292633292633,0.7182125065032627,0.6771447585828255,"{'clf__C': 1, 'clf__gamma': 'scale'}",668.292949100025,2.1441559999948367,none,56
SVM,186,4165,0.7908763505402161,0.7080150842139041,0.6838536525987609,"{'clf__C': 1, 'clf__gamma': 'scale'}",691.166190799966,2.246617999917362,none,56
SVM,188,4273,0.7432717060613152,0.6348034267237597,0.6070129302960319,"{'clf__C': 1, 'clf__gamma': 'scale'}",734.6172967999591,1.957109000068158,none,56
SVM,189,4918,0.7714518096787312,0.7607531301610369,0.6830030728485847,"{'clf__C': 1, 'clf__gamma': 'scale'}",728.2876169999945,2.420987499936018,none,56
SVM,190,4498,0.7781236104935527,0.7070603204047087,0.6728014006002649,"{'clf__C': 1, 'clf__gamma': 'scale'}",791.9467044000048,2.245247999962885,none,56
SVM,191,3768,0.7773354564755839,0.7627724790111207,0.6788594622108437,"{'clf__C': 1, 'clf__gamma': 'scale'}",766.8235519000445,2.0163379999576136,none,56
SVM,192,4365,0.6068728522336769,0.5902850764119988,0.5211131755956281,"{'clf__C': 1, 'clf__gamma': 'scale'}",718.2130976000335,1.550046999764163,none,56
SVM,193,4597,0.7574505112029585,0.6964363132799228,0.6620927438216081,"{'clf__C': 1, 'clf__gamma': 'scale'}",675.8364194000023,2.0246010000118986,none,56
SVM,194,5350,0.805981308411215,0.8302253444197178,0.7295608877829013,"{'clf__C': 1, 'clf__gamma': 'scale'}",797.0659067999804,2.2908725001616403,none,56
