model,heldout_subject,n_test,acc,bal_acc,f1_macro,best_params,fit_time_sec,infer_ms_per_window,feat_sel,n_features_used
SVM,1,690,0.7318840579710145,0.6835128741226365,0.6744004658875427,"{'clf__C': 1, 'clf__gamma': 'scale'}",415.9537246999971,2.042799500050023,none,81
SVM,2,520,0.9076923076923077,0.870261249619526,0.8596691893540331,"{'clf__C': 1, 'clf__gamma': 'scale'}",269.6018233000068,1.049254999961704,none,81
SVM,3,594,0.8838383838383839,0.8359543442439932,0.8105407187234236,"{'clf__C': 1, 'clf__gamma': 'scale'}",724.3381239000009,3.256062500004191,none,81
SVM,4,556,0.8525179856115108,0.7671129954434484,0.7695236396277517,"{'clf__C': 1, 'clf__gamma': 'scale'}",787.3651703999785,4.370774999988498,none,81
SVM,5,708,0.748587570621469,0.7088391017059948,0.6854921457139704,"{'clf__C': 1, 'clf__gamma': 'scale'}",169.47248739999486,0.9133394999662414,none,81
SVM,6,583,0.8061749571183533,0.7513656792878446,0.741339051571063,"{'clf__C': 1, 'clf__gamma': 'scale'}",130.7782197999768,0.7624419999774545,none,81
SVM,7,600,0.8366666666666667,0.7946240482298826,0.7825961542334009,"{'clf__C': 1, 'clf__gamma': 'scale'}",130.56364629999734,0.7593454999732785,none,81
SVM,8,574,0.8362369337979094,0.7467286589379614,0.7453632466282948,"{'clf__C': 1, 'clf__gamma': 'scale'}",130.17692490003537,0.782181000104174,none,81
SVM,9,591,0.8274111675126904,0.8006556919549762,0.7943892281904007,"{'clf__C': 1, 'clf__gamma': 'scale'}",128.87620080000488,0.7709765000618063,none,81
SVM,10,509,0.8290766208251473,0.7125752536936747,0.7076513911620295,"{'clf__C': 1, 'clf__gamma': 'scale'}",130.213869899977,0.7609389998833649,none,81
SVM,11,518,0.9034749034749034,0.8743201059790617,0.8649231661524479,"{'clf__C': 1, 'clf__gamma': 'scale'}",131.0063160000136,0.7850155001506209,none,81
SVM,12,507,0.8796844181459567,0.8497440059940059,0.8349315489632931,"{'clf__C': 1, 'clf__gamma': 'scale'}",130.00934549997328,0.7739469999796711,none,81
SVM,13,752,0.9321808510638298,0.9066529970708824,0.8946853880446223,"{'clf__C': 1, 'clf__gamma': 'scale'}",129.5658107000054,0.7609180000144988,none,81
SVM,14,775,0.8709677419354839,0.8181339975628565,0.8066967779476792,"{'clf__C': 1, 'clf__gamma': 'scale'}",127.35571290005464,0.7625509999343194,none,81
SVM,15,610,0.898360655737705,0.8614050128407368,0.8379500100177575,"{'clf__C': 1, 'clf__gamma': 'scale'}",131.12168069998734,0.7673115000943653,none,81
SVM,16,681,0.8707782672540382,0.8516552891552891,0.8214845066674487,"{'clf__C': 1, 'clf__gamma': 'scale'}",127.8336641000351,0.7925830001477152,none,81
SVM,17,703,0.8819345661450925,0.8096848273677542,0.8100757832085019,"{'clf__C': 1, 'clf__gamma': 'scale'}",129.7850010000402,0.7411875002435409,none,81
SVM,18,640,0.8796875,0.8237749169435216,0.8080799981323542,"{'clf__C': 1, 'clf__gamma': 'scale'}",129.62154819996795,0.7731374999275431,none,81
SVM,19,716,0.8058659217877095,0.7567627529152009,0.7370974623692015,"{'clf__C': 1, 'clf__gamma': 'scale'}",126.32666409999365,0.7475374999921769,none,81
SVM,20,599,0.8163606010016694,0.7249346715009334,0.7014988019389974,"{'clf__C': 1, 'clf__gamma': 'scale'}",129.41789640003117,0.7444850000320002,none,81
SVM,21,607,0.8484349258649094,0.7834708043429852,0.7662655900781226,"{'clf__C': 1, 'clf__gamma': 'scale'}",129.83078770001885,0.7390724998549558,none,81
SVM,22,722,0.8060941828254847,0.7505873370259525,0.739389882076128,"{'clf__C': 1, 'clf__gamma': 'scale'}",127.95738149998942,0.7407274999422953,none,81
SVM,23,704,0.7627840909090909,0.6850203984684772,0.686075058048428,"{'clf__C': 1, 'clf__gamma': 'scale'}",125.76571110001532,0.7755555000039749,none,81
SVM,24,653,0.7947932618683001,0.7217477275997747,0.6941090704332007,"{'clf__C': 1, 'clf__gamma': 'scale'}",128.35737359995255,0.8065255000838079,none,81
SVM,25,616,0.8181818181818182,0.7941532397709425,0.7607179198510468,"{'clf__C': 1, 'clf__gamma': 'scale'}",128.23435809998773,0.7429170000250451,none,81
SVM,26,789,0.8073510773130546,0.7443946916336178,0.7152382637296424,"{'clf__C': 1, 'clf__gamma': 'scale'}",127.92972230003215,0.7300619999296032,none,81
SVM,27,694,0.9048991354466859,0.8279718417658172,0.829077252365469,"{'clf__C': 1, 'clf__gamma': 'scale'}",129.3173386999988,0.77436099993065,none,81
SVM,28,700,0.8585714285714285,0.7947837809130238,0.7908827242030942,"{'clf__C': 1, 'clf__gamma': 'scale'}",128.8508400999708,0.7489379998878576,none,81
SVM,29,736,0.875,0.8047002573160927,0.8067998021250053,"{'clf__C': 1, 'clf__gamma': 'scale'}",127.94875520002097,0.7523109999601729,none,81
SVM,30,654,0.8883792048929664,0.8152768284347232,0.8033221790382628,"{'clf__C': 1, 'clf__gamma': 'scale'}",129.37339389999397,0.7440685000619851,none,81
SVM,31,758,0.8403693931398417,0.753626947857357,0.7354661170666231,"{'clf__C': 1, 'clf__gamma': 'scale'}",127.06767750001745,0.7710905000567436,none,81
SVM,32,686,0.8513119533527697,0.7582321054135106,0.7446841350250849,"{'clf__C': 1, 'clf__gamma': 'scale'}",128.45691230002558,0.7620710000628605,none,81
SVM,33,692,0.903179190751445,0.8463198945639963,0.8375196950226822,"{'clf__C': 1, 'clf__gamma': 'scale'}",130.5474376999773,0.8041799999773502,none,81
SVM,34,632,0.8955696202531646,0.8650314452704159,0.8427297983969362,"{'clf__C': 1, 'clf__gamma': 'scale'}",269.36414479999803,2.1453399999882095,none,81
SVM,35,852,0.8098591549295775,0.7650164215511848,0.735834612387965,"{'clf__C': 1, 'clf__gamma': 'scale'}",345.3732703999849,2.049801500106696,none,81
SVM,36,734,0.8079019073569482,0.7249689934667924,0.6992196115245757,"{'clf__C': 1, 'clf__gamma': 'scale'}",351.58872210001573,2.0757445000344887,none,81
SVM,37,680,0.8926470588235295,0.8084518388718915,0.802880415146323,"{'clf__C': 1, 'clf__gamma': 'scale'}",361.57200159999775,2.028223999950569,none,81
SVM,38,671,0.9031296572280179,0.8454204583754634,0.8334331088384468,"{'clf__C': 1, 'clf__gamma': 'scale'}",357.41766279999865,2.0154639999964274,none,81
SVM,39,693,0.8556998556998557,0.7528156565656565,0.7317703196432005,"{'clf__C': 1, 'clf__gamma': 'scale'}",347.20030109997606,2.3614560000714846,none,81
SVM,40,648,0.8657407407407407,0.7696714684818873,0.7552584352952161,"{'clf__C': 1, 'clf__gamma': 'scale'}",4602.326667300018,1.0400449999724515,none,81
