model,heldout_subject,n_test,acc,bal_acc,f1_macro,best_params,fit_time_sec,infer_ms_per_window,feat_sel,n_features_used
RF,1,690,0.6927536231884058,0.5643459772936855,0.577661201375218,"{'clf__max_depth': None, 'clf__n_estimators': 400}",911.0526106000179,1.064374499983387,none,54
RF,2,520,0.9,0.8347195875285762,0.8370973112908596,"{'clf__max_depth': None, 'clf__n_estimators': 500}",498.1437994999869,0.56237950004288,none,54
RF,3,594,0.8737373737373737,0.8040442579643962,0.7950726486359019,"{'clf__max_depth': None, 'clf__n_estimators': 500}",1654.4175851999898,1.3505260000238195,none,54
RF,4,556,0.8363309352517986,0.7549938975409866,0.7637953484155395,"{'clf__max_depth': None, 'clf__n_estimators': 500}",2172.121158300026,1.1192130000563338,none,54
RF,5,708,0.7288135593220338,0.6632599690143827,0.6522716260972148,"{'clf__max_depth': None, 'clf__n_estimators': 500}",285.9899229000148,0.5829430000449065,none,54
RF,6,583,0.79073756432247,0.725738076000667,0.7236746436897229,"{'clf__max_depth': None, 'clf__n_estimators': 500}",358.37097950000316,0.4959840000083205,none,54
RF,7,600,0.82,0.7255345492381035,0.733156602059695,"{'clf__max_depth': None, 'clf__n_estimators': 500}",421.0711559000192,0.4713439999613911,none,54
RF,8,574,0.8362369337979094,0.7647861828094387,0.7584052299501163,"{'clf__max_depth': None, 'clf__n_estimators': 400}",515.3642507999903,0.43423299997812137,none,54
RF,9,591,0.8003384094754653,0.7580414417506154,0.7568064213926916,"{'clf__max_depth': None, 'clf__n_estimators': 500}",623.0313241999829,0.6027344999893103,none,54
RF,10,509,0.8644400785854617,0.7512881854987119,0.7696227791470038,"{'clf__max_depth': None, 'clf__n_estimators': 500}",739.2331998000154,0.5544484998972621,none,54
RF,11,518,0.916988416988417,0.8801702703553332,0.8849554237851003,"{'clf__max_depth': None, 'clf__n_estimators': 400}",897.7511203000031,0.5744795000646263,none,54
RF,12,507,0.883629191321499,0.8301386113886114,0.8404806099614298,"{'clf__max_depth': None, 'clf__n_estimators': 500}",1033.0510369999975,0.6626989999494981,none,54
RF,13,752,0.9361702127659575,0.8892221629852178,0.8931933147572833,"{'clf__max_depth': None, 'clf__n_estimators': 200}",363.15418139999383,0.1831415000197012,none,54
RF,14,775,0.8296774193548387,0.7578427738300859,0.7550553810661054,"{'clf__max_depth': None, 'clf__n_estimators': 500}",375.8297118000046,0.3983354999218136,none,54
RF,15,610,0.8639344262295082,0.7752116972287979,0.771299512318796,"{'clf__max_depth': None, 'clf__n_estimators': 200}",362.2999764000124,0.18590149993542582,none,54
RF,16,681,0.8619676945668135,0.8424221611721612,0.814693779901691,"{'clf__max_depth': None, 'clf__n_estimators': 500}",379.31774150001,0.34264150002854876,none,54
RF,17,703,0.8634423897581792,0.7708768873403019,0.7781519238269623,"{'clf__max_depth': None, 'clf__n_estimators': 500}",373.7483127999876,0.4054879999603145,none,54
RF,18,640,0.8484375,0.7583403515089562,0.7507315907979912,"{'clf__max_depth': None, 'clf__n_estimators': 500}",374.8018369000056,0.40250099991681054,none,54
RF,19,716,0.8435754189944135,0.7917266416782076,0.7784991105750193,"{'clf__max_depth': None, 'clf__n_estimators': 500}",371.84810289999587,0.4018125000584405,none,54
RF,20,599,0.8196994991652755,0.7314117292219254,0.715054451906957,"{'clf__max_depth': None, 'clf__n_estimators': 200}",361.9515659000026,0.1835915000992827,none,54
RF,21,607,0.8764415156507414,0.795083148900942,0.7931928806513728,"{'clf__max_depth': None, 'clf__n_estimators': 500}",375.83463339999435,0.4039675000240095,none,54
RF,22,722,0.8088642659279779,0.7415272233905424,0.7388355085837133,"{'clf__max_depth': None, 'clf__n_estimators': 500}",374.5974171999842,0.4057924999506213,none,54
RF,23,704,0.7982954545454546,0.7407052978544642,0.7339797805806627,"{'clf__max_depth': None, 'clf__n_estimators': 400}",368.10586340000737,0.34765099990181625,none,54
RF,24,653,0.8514548238897397,0.7607159253146618,0.7566104909764775,"{'clf__max_depth': None, 'clf__n_estimators': 500}",380.16594540001824,0.4654405001201667,none,54
RF,25,616,0.8327922077922078,0.7837457263877267,0.7691400075691801,"{'clf__max_depth': None, 'clf__n_estimators': 400}",677.8259607000218,0.7731115000206046,none,54
RF,26,789,0.8149556400506971,0.7308084096194729,0.7138102198896308,"{'clf__max_depth': None, 'clf__n_estimators': 500}",670.4530733999854,1.019458999944618,none,54
RF,27,694,0.8976945244956772,0.8134126270492461,0.8224346682545118,"{'clf__max_depth': None, 'clf__n_estimators': 500}",675.0013639999961,0.9405935001268517,none,54
RF,28,700,0.8514285714285714,0.7717480155469711,0.7798447027405898,"{'clf__max_depth': None, 'clf__n_estimators': 200}",644.2082268999948,0.43820149992825463,none,54
RF,29,736,0.842391304347826,0.7382359319200297,0.7494703432369048,"{'clf__max_depth': None, 'clf__n_estimators': 400}",665.2357894000015,0.6922694999957457,none,54
RF,30,654,0.8975535168195719,0.8241219932949255,0.8251078457869704,"{'clf__max_depth': None, 'clf__n_estimators': 200}",647.8356830000121,0.46289350008009933,none,54
RF,31,758,0.8271767810026385,0.7096908664891697,0.7134205741734192,"{'clf__max_depth': None, 'clf__n_estimators': 500}",675.9561289999983,0.9791880000557284,none,54
RF,32,686,0.8644314868804664,0.7700955745096474,0.7670690485250299,"{'clf__max_depth': None, 'clf__n_estimators': 400}",663.8220247999998,0.7677124999463558,none,54
RF,33,692,0.9089595375722543,0.8360327542995419,0.8427076047042875,"{'clf__max_depth': None, 'clf__n_estimators': 500}",901.6975658999872,1.0060845001135021,none,54
