feature_set,subject,SVM,RF
Base-36,1,0.6491766698624868,0.59622286615941
Base-36,2,0.8456655358489223,0.8442533730106478
Base-36,3,0.8395836670849687,0.7900584672412928
Base-36,4,0.7942734621931876,0.7830203897434467
Base-36,5,0.6964645971135253,0.6431081434254795
Base-36,6,0.7400009407765413,0.7217195200426907
Base-36,7,0.7605072917572917,0.7258268045064993
Base-36,8,0.765925817612437,0.7628854911841823
Base-36,9,0.7888105738753888,0.7640247810158375
Base-36,10,0.733306312062961,0.7268759373257319
Base-36,11,0.8965633601727467,0.8838958327035769
Base-36,12,0.8717794852747729,0.8347722237217986
Base-36,13,0.8884220620838937,0.8988833509002547
Base-36,14,0.7961769474512531,0.7604130406035675
Base-36,15,0.8269600674628608,0.801823908908057
Base-36,16,0.7841968364561721,0.8167916805167224
Base-36,17,0.820006662509452,0.7702531211632047
Base-36,18,0.7916798763126274,0.759131865354352
Base-36,19,0.7592598283982379,0.7836946475645106
Base-36,20,0.7152996476568279,0.6886004071818004
Base-36,21,0.7710365879019634,0.7946100177819545
Base-36,22,0.7240676974107549,0.7331388633007268
Base-36,23,0.7074689077356734,0.6976525350033921
Base-36,24,0.6981196631269233,0.7375715726363499
Base-36,25,0.768774219812327,0.7751950819500394
Base-36,26,0.6955943982531284,0.7158287357316246
Base-36,27,0.8446905450564264,0.8229231428707481
Base-36,28,0.8293974619402837,0.7826499235008522
Base-36,29,0.7714830268851098,0.7483469194129265
Base-36,30,0.8205893255229764,0.8271649500687436
Base-36,31,0.7480240320204828,0.707419712070875
Base-36,32,0.7404759733354139,0.7668641184361891
Base-36,33,0.8332706992689293,0.8625511547164463
Base-36,34,0.8242123969349305,0.8403823627100432
Base-36,35,0.7162166428297428,0.7024048217026617
Base-36,36,0.703948982255008,0.7198390080495976
Base-36,37,0.8460554083016604,0.8745093943348435
Base-36,38,0.7886341257443457,0.8104400457022058
Base-36,39,0.7290745205224787,0.7601239167123343
Base-36,40,0.7496606557892447,0.8095418695069121
Extended-54,1,0.6640529934139086,0.577661201375218
Extended-54,2,0.8537047094169009,0.8370973112908596
Extended-54,3,0.8023174973174974,0.7950726486359019
Extended-54,4,0.7832934044519447,0.7637953484155395
Extended-54,5,0.6716859271789278,0.6522716260972148
Extended-54,6,0.7314004568617114,0.7236746436897229
Extended-54,7,0.7610191428175588,0.733156602059695
Extended-54,8,0.7419964667858772,0.7584052299501163
Extended-54,9,0.7847655313697712,0.7568064213926916
Extended-54,10,0.7347877254103135,0.7696227791470038
Extended-54,11,0.888641660769254,0.8849554237851003
Extended-54,12,0.8565622997389774,0.8404806099614298
Extended-54,13,0.8770210643666022,0.8931933147572833
Extended-54,14,0.80075220193917,0.7550553810661054
Extended-54,15,0.8341719845761832,0.771299512318796
Extended-54,16,0.7669650631074457,0.814693779901691
Extended-54,17,0.8024053102992297,0.7781519238269623
Extended-54,18,0.7747532824736054,0.7507315907979912
Extended-54,19,0.7550071505107245,0.7784991105750193
Extended-54,20,0.7208228749203283,0.715054451906957
Extended-54,21,0.7831955849164557,0.7931928806513728
Extended-54,22,0.720054390669307,0.7388355085837133
Extended-54,23,0.6965986537347786,0.7339797805806627
Extended-54,24,0.6711472754210912,0.7566104909764775
Extended-54,25,0.7784306920624497,0.7691400075691801
Extended-54,26,0.6899431933979658,0.7138102198896308
Extended-54,27,0.8190225845628171,0.8224346682545118
Extended-54,28,0.8206357721677455,0.7798447027405898
Extended-54,29,0.777800907744037,0.7494703432369048
Extended-54,30,0.8143763403506799,0.8251078457869704
Extended-54,31,0.7402867543772977,0.7134205741734192
Extended-54,32,0.7399968938749659,0.7670690485250299
Extended-54,33,0.8286575653514876,0.8427076047042875
Extended-54,34,0.8415664802603298,0.8382547559966915
Extended-54,35,0.7292971282576761,0.7017771705373945
Extended-54,36,0.6791986359761296,0.725789693115127
Extended-54,37,0.8289173789173789,0.8703432100083046
Extended-54,38,0.8217503801948577,0.8094432624316019
Extended-54,39,0.7109554382354256,0.7420066317245233
Extended-54,40,0.7549159998664172,0.8218870061080877
Freq-72,1,0.6708429792681361,0.6026753059144594
