model,contrast,mean_delta_pp,cohen_dz,bca_lo_pp,bca_hi_pp,n_better,W,p,p_holm,sig_holm_0.05
SVM,Freq-72 vs Base-36,-0.017123140823492866,-0.00849566891572115,-0.6682855135602865,0.5777391589322999,23,392.0,0.8160389817658142,1.0,No
SVM,Freq-72 vs Extended-54,0.53782714554934,0.26678293326644037,-0.0742568178191296,1.1565218022563568,24,291.0,0.11185002994352544,0.5592501497176272,No
SVM,Freq-72 vs Combined-81,0.17235747863823536,0.1947259602029007,-0.098575656424554,0.4510814467619246,21,334.0,0.3138070678778604,1.0,No
SVM,Combined-81 vs Base-36,-0.18948061946172823,-0.08760654698668974,-0.8352253062071765,0.49118627909066936,20,368.0,0.5808067661073437,1.0,No
SVM,Combined-81 vs Extended-54,0.3654696669111046,0.1949449447620486,-0.2124920513902818,0.9474109654121319,27,331.0,0.2948169606661395,1.0,No
SVM,Extended-54 vs Base-36,-0.5549502863728328,-0.3840480746614931,-0.9822697062639073,-0.11164169536096716,14,240.0,0.021546060141190537,0.12927636084714322,No
RF,Freq-72 vs Base-36,0.21067886404882663,0.1602094466078555,-0.1812546139990067,0.6190575847200227,20,349.0,0.42021225081225566,1.0,No
RF,Freq-72 vs Extended-54,0.16220306886569863,0.10593377663061143,-0.3167241351580501,0.6179164607143398,23,347.0,0.40493773964954016,1.0,No
RF,Freq-72 vs Combined-81,-0.37766303403955703,-0.31404655367730755,-0.7660608755281301,-0.024814773420198315,12,289.0,0.1058129653429205,0.423251861371682,No
RF,Combined-81 vs Base-36,0.5883418980883837,0.3940899836615716,0.14030066965981236,1.0568158369234035,28,230.0,0.014677642795504653,0.07338821397752326,No
RF,Combined-81 vs Extended-54,0.5398661029052556,0.4249786597897568,0.1572091725802253,0.9231957657403401,27,214.0,0.00758486291852023,0.04550917751112138,Yes
RF,Extended-54 vs Base-36,0.048475795183128,0.035066768439579996,-0.3349684658902562,0.5059130874517174,17,388.0,0.7749952346202917,1.0,No
