model,heldout_subject,n_test,acc,bal_acc,f1_macro,best_params,fit_time_sec,infer_ms_per_window,feat_sel,n_features_used
SVM,1,690,0.7434782608695653,0.6807459114464346,0.6746053893607223,"{'clf__C': 1, 'clf__gamma': 'scale'}",60.567786300031,0.8395969998673536,none,72
SVM,2,520,0.9076923076923077,0.8669374822508149,0.8586803998843693,"{'clf__C': 1, 'clf__gamma': 'scale'}",63.46780420001596,0.8501705000526272,none,72
SVM,3,594,0.8855218855218855,0.8336971955407348,0.8114352520873476,"{'clf__C': 1, 'clf__gamma': 'scale'}",61.46244109998224,0.8257219998631626,none,72
SVM,4,556,0.8687050359712231,0.7969843765689026,0.8027188861000236,"{'clf__C': 1, 'clf__gamma': 'scale'}",60.800274799985345,0.8125844999449328,none,72
SVM,5,708,0.7542372881355932,0.7209872108821026,0.7054643228334601,"{'clf__C': 1, 'clf__gamma': 'scale'}",56.769760700000916,0.8065399999031797,none,72
SVM,6,583,0.8301886792452831,0.7779369140599951,0.7728191861500471,"{'clf__C': 1, 'clf__gamma': 'scale'}",58.71458709996659,0.8380570000736043,none,72
SVM,7,600,0.8266666666666667,0.7791098555821394,0.7674457932157059,"{'clf__C': 1, 'clf__gamma': 'scale'}",58.55989249999402,0.8463080000365153,none,72
SVM,8,574,0.8240418118466899,0.7233993719458836,0.7226956948306282,"{'clf__C': 1, 'clf__gamma': 'scale'}",62.17758740001591,0.9766515000956134,none,72
SVM,9,591,0.8307952622673435,0.8000230862176211,0.7966191952872099,"{'clf__C': 1, 'clf__gamma': 'scale'}",63.66284479998285,0.8636149999802001,none,72
SVM,10,509,0.8388998035363457,0.7319308980493191,0.726009827245681,"{'clf__C': 1, 'clf__gamma': 'scale'}",60.058636499976274,0.857947499898728,none,72
SVM,11,518,0.9073359073359073,0.8802024589202382,0.8712127635746199,"{'clf__C': 1, 'clf__gamma': 'scale'}",60.95025809999788,0.8605299997725524,none,72
SVM,12,507,0.8757396449704142,0.8503683816183816,0.8345372379463288,"{'clf__C': 1, 'clf__gamma': 'scale'}",61.33935129997553,0.8954220000305213,none,72
