model,heldout_subject,n_test,acc,bal_acc,f1_macro,best_params,fit_time_sec,infer_ms_per_window,feat_sel,n_features_used
RF,1,690,0.6927536231884058,0.5657321983207056,0.5811619506347635,"{'clf__max_depth': None, 'clf__n_estimators': 500}",77.05380009999499,0.2509949999512173,none,72
RF,2,520,0.9,0.8371763505552455,0.8398001919075859,"{'clf__max_depth': None, 'clf__n_estimators': 500}",82.0284224000061,0.2583374999812804,none,72
RF,3,594,0.8686868686868687,0.7959962907975371,0.7847380046009158,"{'clf__max_depth': None, 'clf__n_estimators': 400}",65.39718979998725,0.21289650001563132,none,72
RF,4,556,0.8525179856115108,0.76339218802793,0.7768333937416938,"{'clf__max_depth': None, 'clf__n_estimators': 500}",83.54809170000954,0.25512499996693805,none,72
RF,5,708,0.7344632768361582,0.668686884007214,0.6634413866791491,"{'clf__max_depth': None, 'clf__n_estimators': 500}",81.08194190001814,0.2938724998966791,none,72
RF,6,583,0.7821612349914236,0.7123040988547318,0.7086708146104935,"{'clf__max_depth': None, 'clf__n_estimators': 500}",83.86600789998192,0.2693014999385923,none,72
RF,7,600,0.8266666666666667,0.7553314088599898,0.7567286571653427,"{'clf__max_depth': None, 'clf__n_estimators': 500}",83.71359369996935,0.24878700001863763,none,72
RF,8,574,0.8432055749128919,0.7639936613773822,0.7645677765647959,"{'clf__max_depth': None, 'clf__n_estimators': 500}",84.31107719999272,0.25320099986856803,none,72
RF,9,591,0.8071065989847716,0.7649030888868235,0.7659487112883011,"{'clf__max_depth': None, 'clf__n_estimators': 500}",85.25735520001035,0.25560849986504763,none,72
RF,10,509,0.8487229862475442,0.7278395946159104,0.7413836322343408,"{'clf__max_depth': None, 'clf__n_estimators': 500}",84.95497009996325,0.2563965000445023,none,72
RF,11,518,0.9034749034749034,0.8611597039224269,0.8645187839763311,"{'clf__max_depth': None, 'clf__n_estimators': 400}",69.28544710000278,0.20706650015199557,none,72
RF,12,507,0.873767258382643,0.7955482017982017,0.8098093713681052,"{'clf__max_depth': None, 'clf__n_estimators': 500}",87.77098690002458,0.2931615000125021,none,72
RF,13,752,0.9401595744680851,0.8977081636378471,0.8986749110222637,"{'clf__max_depth': None, 'clf__n_estimators': 400}",68.81644359999336,0.21482599986484274,none,72
RF,14,775,0.8361290322580646,0.7504585490546306,0.7559812511665444,"{'clf__max_depth': None, 'clf__n_estimators': 500}",88.45804590004263,0.24563750019297004,none,72
