model,heldout_subject,n_test,acc,bal_acc,f1_macro,best_params,fit_time_sec,infer_ms_per_window,feat_sel,n_features_used
SVM,1,690,0.7318840579710145,0.6802573564791345,0.6708429792681361,"{'clf__C': 1, 'clf__gamma': 'scale'}",54.91960530000506,0.7080335001228377,none,72
SVM,2,520,0.9173076923076923,0.8812819579354967,0.8729166904278644,"{'clf__C': 1, 'clf__gamma': 'scale'}",57.493561700044665,0.7379505000426434,none,72
SVM,3,594,0.8838383838383839,0.8406808124660367,0.8123476884987733,"{'clf__C': 1, 'clf__gamma': 'scale'}",56.86279189999914,0.7299655000679195,none,72
SVM,4,556,0.8597122302158273,0.7772810769168189,0.7809203568641745,"{'clf__C': 1, 'clf__gamma': 'scale'}",57.316853099968284,0.7924899997306056,none,72
SVM,5,708,0.7570621468926554,0.7226378030046962,0.698487429709867,"{'clf__C': 1, 'clf__gamma': 'scale'}",54.82329369999934,0.7241530000464991,none,72
SVM,6,583,0.8113207547169812,0.7544841911088882,0.7460078974475345,"{'clf__C': 1, 'clf__gamma': 'scale'}",56.89183920004871,0.7418284998857416,none,72
SVM,7,600,0.8283333333333334,0.7866963573645421,0.7732346983942175,"{'clf__C': 1, 'clf__gamma': 'scale'}",56.388317100005224,0.7295659999363124,none,72
SVM,8,574,0.8397212543554007,0.7491808579017881,0.74807780287718,"{'clf__C': 1, 'clf__gamma': 'scale'}",56.75239390000934,0.8014919998822734,none,72
SVM,9,591,0.8274111675126904,0.7963274730041158,0.7909824919648527,"{'clf__C': 1, 'clf__gamma': 'scale'}",55.456255300028715,0.7444699999177828,none,72
SVM,10,509,0.831041257367387,0.7153225064409274,0.7102313419474202,"{'clf__C': 1, 'clf__gamma': 'scale'}",56.361764499975834,0.7675720000406727,none,72
SVM,11,518,0.9073359073359073,0.8765893282747215,0.8682620835916856,"{'clf__C': 1, 'clf__gamma': 'scale'}",55.691703199991025,0.7499874997301959,none,72
SVM,12,507,0.8757396449704142,0.8389110889110889,0.8270668452343122,"{'clf__C': 1, 'clf__gamma': 'scale'}",56.61845429998357,0.7672315000672825,none,72
SVM,13,752,0.9321808510638298,0.9049237531750098,0.8935695131978626,"{'clf__C': 1, 'clf__gamma': 'scale'}",55.933564300008584,0.7626659999368712,none,72
SVM,14,775,0.8709677419354839,0.8178568397510961,0.8058885232414644,"{'clf__C': 1, 'clf__gamma': 'scale'}",55.38547079998534,0.7807540000067092,none,72
SVM,15,610,0.8967213114754098,0.8563732418028159,0.834115365692586,"{'clf__C': 1, 'clf__gamma': 'scale'}",56.623111699998844,0.7235195001703687,none,72
SVM,16,681,0.869309838472834,0.8449585137085138,0.8171264214191113,"{'clf__C': 1, 'clf__gamma': 'scale'}",56.10141120001208,0.8481215001665987,none,72
SVM,17,703,0.8819345661450925,0.8103816914792525,0.8099535441017278,"{'clf__C': 1, 'clf__gamma': 'scale'}",57.023280400026124,0.744602000049781,none,72
SVM,18,640,0.8828125,0.8258821846757893,0.8119286933746366,"{'clf__C': 1, 'clf__gamma': 'scale'}",56.84403999999631,0.7456315000308678,none,72
SVM,19,716,0.8156424581005587,0.7673968570517483,0.7493323266051085,"{'clf__C': 1, 'clf__gamma': 'scale'}",54.590589399973396,0.7077859999844804,none,72
SVM,20,599,0.8263772954924875,0.7457574810952884,0.721121202384184,"{'clf__C': 1, 'clf__gamma': 'scale'}",56.02282169996761,0.7470139997894876,none,72
