model,heldout_subject,n_test,acc,bal_acc,f1_macro,best_params,fit_time_sec,infer_ms_per_window,feat_sel,n_features_used
RF,1,690,0.7057971014492753,0.5858996333315906,0.6026753059144594,"{'clf__max_depth': None, 'clf__n_estimators': 500}",77.9284005999798,0.2618495002388954,none,72
RF,2,520,0.9057692307692308,0.8482055834945907,0.8502282632843694,"{'clf__max_depth': None, 'clf__n_estimators': 500}",80.99271260004025,0.2594880000106059,none,72
RF,3,594,0.8686868686868687,0.7944208013901893,0.7844170805503818,"{'clf__max_depth': None, 'clf__n_estimators': 400}",64.4027281999588,0.2202269999543205,none,72
RF,4,556,0.8615107913669064,0.7784850895149475,0.7922746997349666,"{'clf__max_depth': None, 'clf__n_estimators': 500}",82.50575210002717,0.2679554998758249,none,72
RF,5,708,0.731638418079096,0.6678595361139498,0.6582109311114686,"{'clf__max_depth': None, 'clf__n_estimators': 500}",78.76830469997367,0.2573195000877604,none,72
RF,6,583,0.7855917667238422,0.7184971079732728,0.7145014755448332,"{'clf__max_depth': None, 'clf__n_estimators': 500}",81.87265839998145,0.26966550009092316,none,72
RF,7,600,0.8216666666666667,0.7457770850405827,0.7481762662220409,"{'clf__max_depth': None, 'clf__n_estimators': 500}",82.0180158999865,0.24814550008159134,none,72
RF,8,574,0.8327526132404182,0.7506039503132526,0.7513695213612382,"{'clf__max_depth': None, 'clf__n_estimators': 500}",83.81257479998749,0.2588895001099445,none,72
RF,9,591,0.817258883248731,0.7784936332372897,0.7799636207658348,"{'clf__max_depth': None, 'clf__n_estimators': 500}",85.14740310003981,0.27448149980045855,none,72
RF,10,509,0.8447937131630648,0.7250069009937431,0.7382876780464355,"{'clf__max_depth': None, 'clf__n_estimators': 500}",86.5998768999707,0.2594965000753291,none,72
RF,11,518,0.8976833976833977,0.8546465981694005,0.8568400332837391,"{'clf__max_depth': None, 'clf__n_estimators': 400}",68.73146830004407,0.2059805000317283,none,72
RF,12,507,0.873767258382643,0.7978583916083917,0.8149277876966663,"{'clf__max_depth': None, 'clf__n_estimators': 500}",86.60431630001403,0.253394499886781,none,72
RF,13,752,0.9388297872340425,0.8943424383620096,0.8965762190762191,"{'clf__max_depth': None, 'clf__n_estimators': 400}",96.76834209996741,0.38797450019046664,none,72
RF,14,775,0.8464516129032258,0.7695019186779805,0.7711021683080721,"{'clf__max_depth': None, 'clf__n_estimators': 500}",174.43866650003474,0.630115499952808,none,72
RF,15,610,0.8688524590163934,0.7869153169517815,0.7835793712706154,"{'clf__max_depth': None, 'clf__n_estimators': 500}",176.12711420003325,0.5156500000157394,none,72
RF,16,681,0.8839941262848752,0.856528194028194,0.8355576483872889,"{'clf__max_depth': None, 'clf__n_estimators': 500}",180.28318380005658,0.5325334996450692,none,72
RF,17,703,0.8648648648648649,0.773703058459156,0.7829022437545126,"{'clf__max_depth': None, 'clf__n_estimators': 500}",183.07480359997135,0.6802485004300252,none,72
RF,18,640,0.8625,0.776673544478777,0.7703538754826219,"{'clf__max_depth': None, 'clf__n_estimators': 500}",186.71001549996436,0.47445799980778247,none,72
RF,19,716,0.8505586592178771,0.7858349660070988,0.7799199284590528,"{'clf__max_depth': None, 'clf__n_estimators': 500}",180.9296029000543,0.4977019998477772,none,72
RF,20,599,0.8080133555926544,0.707398183221411,0.6827689585011569,"{'clf__max_depth': None, 'clf__n_estimators': 400}",149.8894557999447,0.42054800025653094,none,72
RF,21,607,0.8797364085667215,0.7946776864073707,0.7942523900240688,"{'clf__max_depth': None, 'clf__n_estimators': 400}",153.11722519993782,0.5328365002060309,none,72
RF,22,722,0.8060941828254847,0.7401460079209292,0.7366067642150091,"{'clf__max_depth': None, 'clf__n_estimators': 400}",152.92195560003165,0.49279499973636126,none,72
RF,23,704,0.7926136363636364,0.7328140264579546,0.7305645669132046,"{'clf__max_depth': None, 'clf__n_estimators': 400}",153.27686240000185,0.38483450014609843,none,72
RF,24,653,0.8392036753445635,0.7475147927828075,0.7449661101196623,"{'clf__max_depth': None, 'clf__n_estimators': 500}",192.62231790006626,0.6543999997666106,none,72
RF,25,616,0.8538961038961039,0.784817857849313,0.779662855593143,"{'clf__max_depth': None, 'clf__n_estimators': 400}",160.42041590006556,0.4899265000130981,none,72
RF,26,789,0.8162230671736375,0.7361952324655893,0.7152486610417648,"{'clf__max_depth': None, 'clf__n_estimators': 200}",80.65255050000269,0.12624349968973547,none,72
RF,27,694,0.9005763688760807,0.8207302354458699,0.827541169893101,"{'clf__max_depth': None, 'clf__n_estimators': 500}",196.80602500005625,0.5989394994685426,none,72
RF,28,700,0.8542857142857143,0.7753370568726313,0.7821384123692944,"{'clf__max_depth': None, 'clf__n_estimators': 400}",158.41487029998098,0.507126500015147,none,72
RF,29,736,0.8383152173913043,0.7329817573592645,0.7418081158937451,"{'clf__max_depth': None, 'clf__n_estimators': 400}",166.59086679993197,0.37980100023560226,none,72
RF,30,654,0.8944954128440367,0.8160943066958104,0.815420191924198,"{'clf__max_depth': None, 'clf__n_estimators': 500}",204.87586710008327,0.4813559999456629,none,72
RF,31,758,0.8245382585751979,0.7103907096424702,0.706385129084563,"{'clf__max_depth': None, 'clf__n_estimators': 500}",205.87064989993814,0.68416950001847,none,72
RF,32,686,0.8615160349854227,0.7720973812010414,0.7675591337772055,"{'clf__max_depth': None, 'clf__n_estimators': 500}",214.03382600005716,0.6434904999332502,none,72
RF,33,692,0.9147398843930635,0.8438157894736842,0.8483985123769411,"{'clf__max_depth': None, 'clf__n_estimators': 500}",217.22836239996832,0.576813499792479,none,72
RF,34,632,0.8892405063291139,0.8543126144688645,0.8450584444471654,"{'clf__max_depth': None, 'clf__n_estimators': 500}",227.78299209999386,0.4760649998206645,none,72
