model,heldout_subject,n_test,acc,bal_acc,f1_macro,best_params,fit_time_sec,infer_ms_per_window,feat_sel,n_features_used
SVM,1,690,0.7434782608695653,0.6807459114464346,0.6746053893607223,"{'clf__C': 1, 'clf__gamma': 'scale'}",143.87451420002617,1.5862960001686588,none,72
SVM,2,520,0.9076923076923077,0.8669374822508149,0.8586803998843693,"{'clf__C': 1, 'clf__gamma': 'scale'}",121.73352399992291,0.7334434997756034,none,72
SVM,3,594,0.8855218855218855,0.8336971955407348,0.8114352520873476,"{'clf__C': 1, 'clf__gamma': 'scale'}",58.613206800073385,0.7653099996969104,none,72
SVM,4,556,0.8687050359712231,0.7969843765689026,0.8027188861000236,"{'clf__C': 1, 'clf__gamma': 'scale'}",60.219855200033635,0.7839749997947365,none,72
SVM,5,708,0.7542372881355932,0.7209872108821026,0.7054643228334601,"{'clf__C': 1, 'clf__gamma': 'scale'}",56.36527650000062,0.7561035000253469,none,72
SVM,6,583,0.8301886792452831,0.7779369140599951,0.7728191861500471,"{'clf__C': 1, 'clf__gamma': 'scale'}",58.35358220001217,0.7468895002966747,none,72
SVM,7,600,0.8266666666666667,0.7791098555821394,0.7674457932157059,"{'clf__C': 1, 'clf__gamma': 'scale'}",62.408012999920174,0.8001065003918484,none,72
SVM,8,574,0.8240418118466899,0.7233993719458836,0.7226956948306282,"{'clf__C': 1, 'clf__gamma': 'scale'}",60.54522960004397,0.7438760000513867,none,72
SVM,9,591,0.8307952622673435,0.8000230862176211,0.7966191952872099,"{'clf__C': 1, 'clf__gamma': 'scale'}",56.036710700020194,0.7177695003338158,none,72
SVM,10,509,0.8388998035363457,0.7319308980493191,0.726009827245681,"{'clf__C': 1, 'clf__gamma': 'scale'}",56.855608500074595,0.742483000503853,none,72
SVM,11,518,0.9073359073359073,0.8802024589202382,0.8712127635746199,"{'clf__C': 1, 'clf__gamma': 'scale'}",57.43783730000723,0.7757965003838763,none,72
SVM,12,507,0.8757396449704142,0.8503683816183816,0.8345372379463288,"{'clf__C': 1, 'clf__gamma': 'scale'}",57.387948799994774,0.733893999713473,none,72
SVM,13,752,0.9348404255319149,0.910665707891297,0.899100290223278,"{'clf__C': 1, 'clf__gamma': 'scale'}",56.5703191999346,0.7328340003732592,none,72
SVM,14,775,0.8774193548387097,0.8310727585072123,0.8187298468479336,"{'clf__C': 1, 'clf__gamma': 'scale'}",56.863038799958304,0.7588730001589283,none,72
SVM,15,610,0.9016393442622951,0.8569344568198618,0.8381924409307342,"{'clf__C': 1, 'clf__gamma': 'scale'}",58.222903400077485,0.760992499999702,none,72
SVM,16,681,0.8722466960352423,0.852660533910534,0.8222473932018043,"{'clf__C': 1, 'clf__gamma': 'scale'}",57.38610520004295,0.7768285000929609,none,72
SVM,17,703,0.8762446657183499,0.8003053179882449,0.8030243239796075,"{'clf__C': 1, 'clf__gamma': 'scale'}",56.383427100023255,0.731367000262253,none,72
SVM,18,640,0.8828125,0.825981576562972,0.8129152800618702,"{'clf__C': 1, 'clf__gamma': 'scale'}",57.170922200079076,0.7550040003843606,none,72
SVM,19,716,0.797486033519553,0.7579346899987465,0.7351738958164346,"{'clf__C': 1, 'clf__gamma': 'scale'}",55.03096790006384,0.7226490002358332,none,72
SVM,20,599,0.8313856427378965,0.7488818751750436,0.7232801259170037,"{'clf__C': 1, 'clf__gamma': 'scale'}",56.21893600001931,0.7723000005353242,none,72
SVM,21,607,0.8451400329489291,0.7720256880331782,0.7572383651270338,"{'clf__C': 1, 'clf__gamma': 'scale'}",56.8308441999834,0.7740949996514246,none,72
SVM,22,722,0.7908587257617729,0.7315127524948657,0.7211642659131585,"{'clf__C': 1, 'clf__gamma': 'scale'}",55.0773765000049,0.7689204998314381,none,72
SVM,23,704,0.7855113636363636,0.7144749426298451,0.7191577570410268,"{'clf__C': 1, 'clf__gamma': 'scale'}",54.841390699963085,0.7284465001430362,none,72
SVM,24,653,0.781010719754977,0.7039504213141379,0.6763889476029331,"{'clf__C': 1, 'clf__gamma': 'scale'}",55.503250299952924,0.731807499541901,none,72
SVM,25,616,0.810064935064935,0.8070581370388882,0.7590913536776213,"{'clf__C': 1, 'clf__gamma': 'scale'}",56.67118039994966,0.8074360003229231,none,72
SVM,26,789,0.8149556400506971,0.7393216109091226,0.7220802432008936,"{'clf__C': 1, 'clf__gamma': 'scale'}",137.0150698000798,2.1700274996692315,none,72
SVM,27,694,0.9250720461095101,0.8613122668422208,0.8627096932715743,"{'clf__C': 1, 'clf__gamma': 'scale'}",77.36207420006394,0.7745005004107952,none,72
SVM,28,700,0.8714285714285714,0.8073940447063815,0.8066897008847846,"{'clf__C': 1, 'clf__gamma': 'scale'}",56.53314349998254,0.7576610002433881,none,72
SVM,29,736,0.875,0.7969149719833328,0.8008951610486599,"{'clf__C': 1, 'clf__gamma': 'scale'}",55.86678649997339,0.7306930003687739,none,72
SVM,30,654,0.8929663608562691,0.8116003670514949,0.8043936111658946,"{'clf__C': 1, 'clf__gamma': 'scale'}",56.5030667000683,0.7558820000849664,none,72
SVM,31,758,0.8443271767810027,0.7537389160385115,0.7383108983622557,"{'clf__C': 1, 'clf__gamma': 'scale'}",55.908070700010285,0.7287355000153184,none,72
SVM,32,686,0.8498542274052479,0.7512517052032481,0.7414328605746913,"{'clf__C': 1, 'clf__gamma': 'scale'}",56.277145600062795,0.7326174998888746,none,72
SVM,33,692,0.911849710982659,0.8574654308184254,0.8478260743173811,"{'clf__C': 1, 'clf__gamma': 'scale'}",56.70055519999005,0.785249499604106,none,72
SVM,34,632,0.8955696202531646,0.8713862044817927,0.8440734656865296,"{'clf__C': 1, 'clf__gamma': 'scale'}",56.630526799941435,0.7294250000268221,none,72
SVM,35,852,0.8039906103286385,0.7554672257576032,0.7284656896040501,"{'clf__C': 1, 'clf__gamma': 'scale'}",54.46404220000841,0.727669500047341,none,72
SVM,36,734,0.8065395095367848,0.7242353905367479,0.6918973174271129,"{'clf__C': 1, 'clf__gamma': 'scale'}",56.794212999986485,0.7365420000860468,none,72
SVM,37,680,0.8985294117647059,0.8129784184529386,0.8075977904272554,"{'clf__C': 1, 'clf__gamma': 'scale'}",59.932555299950764,0.743476000498049,none,72
SVM,38,671,0.8882265275707899,0.8122348709366246,0.8037136624345411,"{'clf__C': 1, 'clf__gamma': 'scale'}",56.998897499986924,0.7687285001156852,none,72
