arm,model,subject,mode,f1,crit_err
A,SVM,1,unsmoothed,0.6610942948088491,0.06666666666666667
A,SVM,1,smoothed,0.7924680929766147,0.016666666666666666
A,SVM,2,unsmoothed,0.8641173938134359,0.012987012987012988
A,SVM,2,smoothed,0.9407031396879113,0.0
A,SVM,3,unsmoothed,0.8026899482277057,0.13274336283185842
A,SVM,3,smoothed,0.8922563078813079,0.09734513274336283
A,SVM,4,unsmoothed,0.7679634527580891,0.0379746835443038
A,SVM,4,smoothed,0.8895787428598096,0.0
A,SVM,5,unsmoothed,0.6954911174105827,0.15584415584415584
A,SVM,5,smoothed,0.7727628519043835,0.1038961038961039
A,SVM,6,unsmoothed,0.7559901477531702,0.1276595744680851
A,SVM,6,smoothed,0.8850386277505655,0.0851063829787234
A,SVM,7,unsmoothed,0.774968415788696,0.01904761904761905
A,SVM,7,smoothed,0.8960332634192669,0.0
A,SVM,8,unsmoothed,0.7543530055835337,0.10465116279069768
A,SVM,8,smoothed,0.8805565779249991,0.011627906976744186
A,SVM,9,unsmoothed,0.7924311503784587,0.16
A,SVM,9,smoothed,0.920730602667784,0.056
A,SVM,10,unsmoothed,0.6979028659134293,0.0
A,SVM,10,smoothed,0.786918493467802,0.0
A,SVM,11,unsmoothed,0.858444922684521,0.012987012987012988
A,SVM,11,smoothed,0.9869848431579359,0.0
A,SVM,12,unsmoothed,0.8166930173542191,0.05194805194805195
A,SVM,12,smoothed,0.940218142363156,0.012987012987012988
A,SVM,13,unsmoothed,0.9000335687796831,0.05405405405405406
A,SVM,13,smoothed,1.0,0.0
A,SVM,14,unsmoothed,0.8077138410107172,0.11278195488721804
A,SVM,14,smoothed,0.9345592719949827,0.03759398496240601
A,SVM,15,unsmoothed,0.8426218181543597,0.060240963855421686
A,SVM,15,smoothed,0.9965622612681436,0.0
A,SVM,16,unsmoothed,0.8388107682115974,0.08791208791208792
A,SVM,16,smoothed,0.9592098483649736,0.0
A,SVM,17,unsmoothed,0.8042652517120371,0.09523809523809523
A,SVM,17,smoothed,0.9469283976344438,0.01904761904761905
A,SVM,18,unsmoothed,0.8234392881774706,0.20930232558139536
A,SVM,18,smoothed,0.9500015671033661,0.09302325581395349
A,SVM,19,unsmoothed,0.7582753072081415,0.1308411214953271
A,SVM,19,smoothed,0.934148603044905,0.056074766355140186
A,SVM,20,unsmoothed,0.6926349754468984,0.0
A,SVM,20,smoothed,0.7752376286553785,0.0
A,SVM,21,unsmoothed,0.7784542053178383,0.0
A,SVM,21,smoothed,0.930293574066895,0.0
A,SVM,22,unsmoothed,0.7298605455735194,0.1349206349206349
A,SVM,22,smoothed,0.8859961478069388,0.07142857142857142
A,SVM,23,unsmoothed,0.6764175957441693,0.1111111111111111
A,SVM,23,smoothed,0.8424806023932504,0.027777777777777776
A,SVM,24,unsmoothed,0.6852724367396084,0.0641025641025641
A,SVM,24,smoothed,0.8936648943403801,0.01282051282051282
A,SVM,25,unsmoothed,0.7680174319261338,0.1511627906976744
A,SVM,25,smoothed,0.9242649038153363,0.023255813953488372
A,SVM,26,unsmoothed,0.7363611427329986,0.28776978417266186
A,SVM,26,smoothed,0.845098519274449,0.2446043165467626
A,SVM,27,unsmoothed,0.8291525086155735,0.0
A,SVM,27,smoothed,0.9391497522393749,0.0
A,SVM,28,unsmoothed,0.8087149984189221,0.09821428571428571
A,SVM,28,smoothed,0.9513538899273632,0.03571428571428571
A,SVM,29,unsmoothed,0.7889011178336834,0.08490566037735849
A,SVM,29,smoothed,0.9279454530649038,0.009433962264150943
A,SVM,30,unsmoothed,0.8003173741104742,0.14285714285714285
A,SVM,30,smoothed,0.9538258971659208,0.054945054945054944
A,SVM,31,unsmoothed,0.7377602508887344,0.11702127659574468
A,SVM,31,smoothed,0.8686577985956415,0.031914893617021274
A,SVM,32,unsmoothed,0.7344483912664599,0.19642857142857142
A,SVM,32,smoothed,0.9083857683819819,0.08928571428571429
A,SVM,33,unsmoothed,0.8477766212286448,0.042105263157894736
A,SVM,33,smoothed,0.9751642075202285,0.010526315789473684
A,SVM,34,unsmoothed,0.844441056815531,0.08791208791208792
A,SVM,34,smoothed,0.9529229084714099,0.02197802197802198
A,SVM,35,unsmoothed,0.7501497150169296,0.14136125654450263
A,SVM,35,smoothed,0.836232052495566,0.1256544502617801
A,SVM,36,unsmoothed,0.7203683413360833,0.20212765957446807
A,SVM,36,smoothed,0.8405370469708049,0.06382978723404255
A,SVM,37,unsmoothed,0.7907394434391044,0.1686746987951807
A,SVM,37,smoothed,0.8659564506103059,0.14457831325301204
A,SVM,38,unsmoothed,0.80764422807116,0.011627906976744186
A,SVM,38,smoothed,0.9536669476952307,0.0
A,SVM,39,unsmoothed,0.7681083234921882,0.09090909090909091
A,SVM,39,smoothed,0.9263513537786175,0.022727272727272728
A,SVM,40,unsmoothed,0.7593831519907634,0.0625
A,SVM,40,smoothed,0.9214406329827026,0.0
A,RF,1,unsmoothed,0.6026753059144594,0.025
A,RF,1,smoothed,0.5896111706051735,0.0
A,RF,2,unsmoothed,0.8502282632843694,0.025974025974025976
A,RF,2,smoothed,0.9005053611444546,0.0
A,RF,3,unsmoothed,0.7844170805503818,0.12389380530973451
A,RF,3,smoothed,0.8893721904910805,0.02654867256637168
A,RF,4,unsmoothed,0.7922746997349666,0.02531645569620253
A,RF,4,smoothed,0.9341692789968652,0.0
A,RF,5,unsmoothed,0.6582109311114686,0.12987012987012986
A,RF,5,smoothed,0.7480288277108452,0.07142857142857142
A,RF,6,unsmoothed,0.7145014755448332,0.11702127659574468
A,RF,6,smoothed,0.8565235497329189,0.06382978723404255
A,RF,7,unsmoothed,0.7481762662220409,0.06666666666666667
A,RF,7,smoothed,0.8982199216197829,0.0
A,RF,8,unsmoothed,0.7513695213612382,0.05813953488372093
A,RF,8,smoothed,0.9035106806107337,0.0
A,RF,9,unsmoothed,0.7799636207658348,0.096
A,RF,9,smoothed,0.8891341841655019,0.008
A,RF,10,unsmoothed,0.7382876780464355,0.0
A,RF,10,smoothed,0.8459067858005312,0.0
A,RF,11,unsmoothed,0.8568400332837391,0.0
A,RF,11,smoothed,0.9921640853682553,0.0
A,RF,12,unsmoothed,0.8149277876966663,0.025974025974025976
A,RF,12,smoothed,0.9627318761186489,0.0
A,RF,13,unsmoothed,0.8965762190762191,0.09009009009009009
A,RF,13,smoothed,0.9954545454545455,0.0
A,RF,14,unsmoothed,0.7711021683080721,0.11278195488721804
A,RF,14,smoothed,0.9020379970874169,0.015037593984962405
A,RF,15,unsmoothed,0.7835793712706154,0.03614457831325301
A,RF,15,smoothed,0.9755035757269788,0.0
A,RF,16,unsmoothed,0.8355576483872889,0.12087912087912088
A,RF,16,smoothed,0.9487028475521916,0.06593406593406594
A,RF,17,unsmoothed,0.7829022437545126,0.0380952380952381
A,RF,17,smoothed,0.9336985799830696,0.009523809523809525
A,RF,18,unsmoothed,0.7703538754826219,0.19767441860465115
A,RF,18,smoothed,0.9207248895992658,0.09302325581395349
A,RF,19,unsmoothed,0.7799199284590528,0.11214953271028037
A,RF,19,smoothed,0.9461890914178358,0.0
A,RF,20,unsmoothed,0.6827689585011569,0.0
A,RF,20,smoothed,0.8385109948833241,0.0
A,RF,21,unsmoothed,0.7942523900240688,0.020833333333333332
A,RF,21,smoothed,0.9364469814910914,0.0
A,RF,22,unsmoothed,0.7366067642150091,0.0873015873015873
A,RF,22,smoothed,0.8713108536583495,0.007936507936507936
A,RF,23,unsmoothed,0.7305645669132046,0.1111111111111111
A,RF,23,smoothed,0.831723235445122,0.027777777777777776
A,RF,24,unsmoothed,0.7449661101196623,0.11538461538461539
A,RF,24,smoothed,0.9311532344846938,0.0
A,RF,25,unsmoothed,0.779662855593143,0.16279069767441862
A,RF,25,smoothed,0.9368313291164126,0.023255813953488372
A,RF,26,unsmoothed,0.7152486610417648,0.30935251798561153
A,RF,26,smoothed,0.8233219703189485,0.19424460431654678
A,RF,27,unsmoothed,0.827541169893101,0.03225806451612903
A,RF,27,smoothed,0.9123581054720253,0.0
A,RF,28,unsmoothed,0.7821384123692944,0.08928571428571429
A,RF,28,smoothed,0.919796135263435,0.026785714285714284
A,RF,29,unsmoothed,0.7418081158937451,0.11320754716981132
A,RF,29,smoothed,0.8964547225951681,0.03773584905660377
A,RF,30,unsmoothed,0.815420191924198,0.0989010989010989
A,RF,30,smoothed,0.9661341467684099,0.01098901098901099
A,RF,31,unsmoothed,0.706385129084563,0.09574468085106383
A,RF,31,smoothed,0.8836030839364728,0.010638297872340425
A,RF,32,unsmoothed,0.7675591337772055,0.13392857142857142
A,RF,32,smoothed,0.9095651732195469,0.05357142857142857
A,RF,33,unsmoothed,0.8483985123769411,0.031578947368421054
A,RF,33,smoothed,0.9760960144927535,0.010526315789473684
A,RF,34,unsmoothed,0.8450584444471654,0.054945054945054944
A,RF,34,smoothed,0.9520962690191682,0.01098901098901099
A,RF,35,unsmoothed,0.7011606199497994,0.19895287958115182
A,RF,35,smoothed,0.8075872645922506,0.15706806282722513
A,RF,36,unsmoothed,0.7455897454602711,0.09574468085106383
A,RF,36,smoothed,0.8758045979339959,0.010638297872340425
A,RF,37,unsmoothed,0.8694714899812868,0.07228915662650602
A,RF,37,smoothed,0.976668626016007,0.03614457831325301
A,RF,38,unsmoothed,0.838085497627845,0.0
A,RF,38,smoothed,0.9581684842103553,0.0
A,RF,39,unsmoothed,0.7523619214748247,0.125
A,RF,39,smoothed,0.8458641975308642,0.022727272727272728
