arm,model,mode,macro_f1_mean,crit_err_pooled,n_dns
A,SVM,unsmoothed,0.7768055857933529,0.10272794298353403,4069
A,SVM,smoothed,0.9056071516431258,0.045957237650528386,4069
A,RF,unsmoothed,0.7735730226565453,0.09314327844679282,4069
A,RF,smoothed,0.9004102233872586,0.030720078643401327,4069
B,SVM,unsmoothed,0.7816801186356027,0.10002457606291472,4069
B,SVM,smoothed,0.9052735012048597,0.04276234947161465,4069
B,RF,unsmoothed,0.7737046803222091,0.09191447530105677,4069
B,RF,smoothed,0.9001928326651989,0.026296387318751537,4069
C,SVM,unsmoothed,0.7768055857933529,0.10272794298353403,4069
C,SVM,smoothed,0.9056071516431258,0.045957237650528386,4069
C,RF,unsmoothed,0.7735730226565453,0.09314327844679282,4069
C,RF,smoothed,0.9004102233872586,0.030720078643401327,4069
D,SVM,unsmoothed,0.7816801186356027,0.10002457606291472,4069
D,SVM,smoothed,0.9052735012048597,0.04276234947161465,4069
D,RF,unsmoothed,0.7737046803222091,0.09191447530105677,4069
D,RF,smoothed,0.9001928326651989,0.026296387318751537,4069
