model,mode,metric,contrast,mean_delta_pp,cohen_dz,bca_lo_pp,bca_hi_pp,nondet_multiple,clears_nondet_band,n,W,p,p_holm,sig_holm_0.05
SVM,unsmoothed,f1,B vs A,0.48745328422499046,0.37692199500521495,0.07529971873759496,0.8662229898657703,0.9749065684499809,False,40,229.0,0.0141080951798358,0.0564323807193432,No
SVM,unsmoothed,f1,C vs A,0.0,,0.0,0.0,0.0,False,40,,1.0,1.0,No
SVM,unsmoothed,f1,D vs A,0.48745328422499046,0.37692199500521495,0.07529971873759496,0.8662229898657703,0.9749065684499809,False,40,229.0,0.0141080951798358,0.0564323807193432,No
SVM,unsmoothed,f1,D vs B (best of B/C),0.0,,0.0,0.0,0.0,False,40,,1.0,1.0,No
SVM,unsmoothed,crit_err,B vs A,-0.18182783451809234,-0.08759433871948125,-0.8752814730876796,0.3907447164756846,-0.3636556690361847,False,40,260.5,0.7208088617487631,1.0,No
SVM,unsmoothed,crit_err,C vs A,0.0,,0.0,0.0,0.0,False,40,,1.0,1.0,No
SVM,unsmoothed,crit_err,D vs A,-0.18182783451809234,-0.08759433871948125,-0.8752814730876796,0.3907447164756846,-0.3636556690361847,False,40,260.5,0.7208088617487631,1.0,No
SVM,unsmoothed,crit_err,D vs C (best of B/C),-0.18182783451809234,-0.08759433871948125,-0.8752814730876796,0.3907447164756846,-0.3636556690361847,False,40,260.5,0.7208088617487631,1.0,No
SVM,smoothed,f1,B vs A,-0.03336504382661504,-0.018178633951342258,-0.5697962918432067,0.5387971159279886,-0.06673008765323007,False,40,403.0,0.9311522501084255,1.0,No
SVM,smoothed,f1,C vs A,0.0,,0.0,0.0,0.0,False,40,,1.0,1.0,No
SVM,smoothed,f1,D vs A,-0.03336504382661504,-0.018178633951342258,-0.5697962918432067,0.5387971159279886,-0.06673008765323007,False,40,403.0,0.9311522501084255,1.0,No
SVM,smoothed,f1,D vs C (best of B/C),-0.03336504382661504,-0.018178633951342258,-0.5697962918432067,0.5387971159279886,-0.06673008765323007,False,40,403.0,0.9311522501084255,1.0,No
SVM,smoothed,crit_err,B vs A,-0.11212550454998894,-0.03611958805989034,-1.2473985505347835,0.6845303413775146,-0.2242510090999779,False,40,159.0,0.6751674415281835,1.0,No
SVM,smoothed,crit_err,C vs A,0.0,,0.0,0.0,0.0,False,40,,1.0,1.0,No
SVM,smoothed,crit_err,D vs A,-0.11212550454998894,-0.03611958805989034,-1.2473985505347835,0.6845303413775146,-0.2242510090999779,False,40,159.0,0.6751674415281835,1.0,No
SVM,smoothed,crit_err,D vs C (best of B/C),-0.11212550454998894,-0.03611958805989034,-1.2473985505347835,0.6845303413775146,-0.2242510090999779,False,40,159.0,0.6751674415281835,1.0,No
RF,unsmoothed,f1,B vs A,0.013165766566385073,0.011693443980206896,-0.323280076915927,0.3641778691381198,0.026331533132770146,False,40,408.0,0.9840937587196095,1.0,No
RF,unsmoothed,f1,C vs A,0.0,,0.0,0.0,0.0,False,40,,1.0,1.0,No
RF,unsmoothed,f1,D vs A,0.013165766566385073,0.011693443980206896,-0.323280076915927,0.3641778691381198,0.026331533132770146,False,40,408.0,0.9840937587196095,1.0,No
RF,unsmoothed,f1,D vs B (best of B/C),0.0,,0.0,0.0,0.0,False,40,,1.0,1.0,No
RF,unsmoothed,crit_err,B vs A,0.01786865397339077,0.011336148609895305,-0.4408643786738047,0.5258618486818548,0.03573730794678154,False,40,171.5,0.9190773505350966,1.0,No
RF,unsmoothed,crit_err,C vs A,0.0,,0.0,0.0,0.0,False,40,,1.0,1.0,No
RF,unsmoothed,crit_err,D vs A,0.01786865397339077,0.011336148609895305,-0.4408643786738047,0.5258618486818548,0.03573730794678154,False,40,171.5,0.9190773505350966,1.0,No
RF,unsmoothed,crit_err,D vs B (best of B/C),0.0,,0.0,0.0,0.0,False,40,,1.0,1.0,No
RF,smoothed,f1,B vs A,-0.02173907220599708,-0.019543514083604857,-0.3746913942117227,0.3030371653638272,-0.04347814441199416,False,40,389.0,0.9888658839962353,1.0,No
RF,smoothed,f1,C vs A,0.0,,0.0,0.0,0.0,False,40,,1.0,1.0,No
RF,smoothed,f1,D vs A,-0.02173907220599708,-0.019543514083604857,-0.3746913942117227,0.3030371653638272,-0.04347814441199416,False,40,389.0,0.9888658839962353,1.0,No
RF,smoothed,f1,D vs C (best of B/C),-0.02173907220599708,-0.019543514083604857,-0.3746913942117227,0.3030371653638272,-0.04347814441199416,False,40,389.0,0.9888658839962353,1.0,No
RF,smoothed,crit_err,B vs A,-0.3477194828379752,-0.27756247860805194,-0.7374108159232861,0.029571239016881263,-0.6954389656759504,False,40,32.5,0.06636236908678253,0.2654494763471301,No
RF,smoothed,crit_err,C vs A,0.0,,0.0,0.0,0.0,False,40,,1.0,1.0,No
RF,smoothed,crit_err,D vs A,-0.3477194828379752,-0.27756247860805194,-0.7374108159232861,0.029571239016881263,-0.6954389656759504,False,40,32.5,0.06636236908678253,0.2654494763471301,No
RF,smoothed,crit_err,D vs C (best of B/C),-0.3477194828379752,-0.27756247860805194,-0.7374108159232861,0.029571239016881263,-0.6954389656759504,False,40,32.5,0.06636236908678253,0.2654494763471301,No
