subject,arch,f1_macro,bal_acc
1,resnet,0.5521147922170776,0.5543770709869738
2,resnet,0.7899778719795082,0.7823587181573975
3,resnet,0.8028438030560272,0.8339562823487832
4,resnet,0.7914536651313786,0.7926890988149446
5,resnet,0.5566864654904182,0.5612278970094599
6,resnet,0.641555928897454,0.6734349461423256
7,resnet,0.7528109239001355,0.7594805431901509
8,resnet,0.8029828560763612,0.819324280370792
9,resnet,0.8078389636946879,0.8236720670351119
10,resnet,0.6674608964120379,0.6802802460697197
11,resnet,0.7987032085561497,0.8174663736791958
12,resnet,0.8719174618284775,0.8786838161838162
13,resnet,0.8807747920479195,0.8893680110403248
14,resnet,0.7694434616831918,0.7597211464092116
15,resnet,0.8005994077844552,0.8189818961892075
16,resnet,0.7924567247826672,0.8237935675435676
17,resnet,0.7947550777821304,0.7916561081195228
18,resnet,0.8154384766439934,0.816011386868945
19,resnet,0.7912767893664904,0.8188810070850332
20,resnet,0.7802283480052515,0.7905321516330858
21,resnet,0.7687651671232749,0.7728179934437504
22,resnet,0.7658595139306069,0.7654103613984683
23,resnet,0.7851586223075696,0.8011427154587157
24,resnet,0.6606567905428247,0.6932007945063838
25,resnet,0.7538380018699465,0.8011459427281356
26,resnet,0.6966340637736466,0.7331081025532555
27,resnet,0.8421130092140757,0.8457678350647891
28,resnet,0.8062738089656343,0.8070763775316647
29,resnet,0.8104327849966126,0.8107013421568265
30,resnet,0.7563283880939693,0.7585991702533056
31,resnet,0.741544201294234,0.7330080421152118
32,resnet,0.7165840114845345,0.7524574913576049
33,resnet,0.8935386380662877,0.9008249070953245
34,resnet,0.8838052610057193,0.9000137362637363
35,resnet,0.6967681189911802,0.7229628307455738
36,resnet,0.6918719232745385,0.6925177450535118
37,resnet,0.8518925286628907,0.8484611657687323
38,resnet,0.8206448230111495,0.8183502725381495
39,resnet,0.7733568966075105,0.7791396103896104
40,resnet,0.757231539456072,0.7689927354502131
