,sil_rung0,sil_rung1,sil_rung2,sil_rung3,sil_rung4,within_subject_spearman_sil_f1,f1_rung0,f1_rung1,f1_rung2,f1_rung3,f1_rung4
1,0.05601,0.05601,0.08698,0.08698,0.02606,-0.0513,0.47669,0.68917,0.4176,0.67084,0.57835
2,0.07222,0.07222,0.0779,0.0779,0.02953,0.56429,0.7332,0.84523,0.72988,0.87292,0.71052
3,0.05343,0.05343,0.05777,0.05777,0.00943,0.8,0.78157,0.76796,0.80906,0.81235,0.64867
4,0.06025,0.06025,0.0672,0.0672,0.03019,0.3,0.63523,0.73993,0.71292,0.78092,0.68467
5,0.01183,0.01183,0.0251,0.0251,0.00188,0.7,0.61733,0.68192,0.65637,0.69849,0.56143
6,-0.00395,-0.00395,0.02861,0.02861,0.01277,0.46169,0.68501,0.71096,0.68698,0.74601,0.69533
7,0.07705,0.07705,0.09656,0.09656,0.04882,0.35909,0.65864,0.75888,0.52619,0.77323,0.64041
8,0.07465,0.07465,0.07275,0.07275,0.02299,0.4,0.66113,0.75601,0.69935,0.74808,0.5715
9,0.0329,0.0329,0.04275,0.04275,0.02676,0.35909,0.7288,0.75852,0.7159,0.79098,0.64618
10,0.08388,0.08388,0.07551,0.07551,0.02673,0.46169,0.64209,0.73862,0.67102,0.71023,0.60838
11,0.0216,0.0216,0.02077,0.02077,0.01647,0.3,0.7984,0.85213,0.82176,0.86826,0.71294
12,0.05914,0.05914,0.07504,0.07504,0.02824,0.9,0.72021,0.72649,0.75217,0.82707,0.67315
13,0.03555,0.03555,0.04537,0.04537,0.00936,0.61559,0.8253,0.87267,0.83796,0.89357,0.77244
14,0.05514,0.05514,0.05993,0.05993,0.03129,-0.1,0.69411,0.76385,0.70915,0.80589,0.72557
15,0.0545,0.0545,0.06725,0.06725,0.03103,0.6,0.75932,0.80717,0.75387,0.83412,0.7076
16,0.03829,0.03829,0.04218,0.04218,0.02729,0.9,0.78307,0.80076,0.8203,0.81713,0.73427
17,0.04842,0.04842,0.05935,0.05935,0.02395,0.6,0.74148,0.7878,0.77468,0.80995,0.75348
18,0.01658,0.01658,0.02642,0.02642,0.01903,0.3,0.75145,0.74305,0.71886,0.81193,0.74504
19,0.03211,0.03211,0.03719,0.03719,0.00211,0.9,0.73539,0.7426,0.76624,0.74933,0.63383
20,0.04124,0.04124,0.04731,0.04731,0.00285,0.6,0.63236,0.648,0.67817,0.72112,0.65491
21,0.06805,0.06805,0.06927,0.06927,0.03105,0.2,0.76332,0.77935,0.73705,0.76273,0.62224
22,0.03888,0.03888,0.04272,0.04272,0.00747,0.5,0.65412,0.70975,0.69221,0.741,0.61662
23,0.0526,0.0526,0.05845,0.05845,0.02758,0.61559,0.65906,0.65163,0.65354,0.69636,0.51847
24,0.10454,0.10454,0.1056,0.1056,0.02862,0.61559,0.73148,0.62788,0.77464,0.70115,0.60119
25,0.06016,0.06016,0.05249,0.05249,0.02837,-0.9,0.66604,0.70114,0.7048,0.75206,0.70688
26,0.03024,0.03024,0.04171,0.04171,0.02593,0.3,0.63548,0.72614,0.68203,0.7276,0.68015
27,0.0661,0.0661,0.07177,0.07177,0.0317,0.3,0.82932,0.8696,0.83288,0.84713,0.78654
28,0.03973,0.03973,0.05044,0.05044,0.03913,0.35909,0.70176,0.75078,0.70875,0.80275,0.73204
29,0.03192,0.03192,0.03832,0.03832,0.02626,0.3,0.78268,0.81712,0.78232,0.80378,0.72199
30,0.10784,0.10784,0.11263,0.11263,0.02688,0.4,0.73928,0.74184,0.70278,0.80401,0.69833
31,0.06596,0.06596,0.06464,0.06464,0.02462,0.2052,0.64392,0.73265,0.66353,0.73409,0.61713
32,0.02294,0.02294,0.02574,0.02574,0.0149,0.9,0.76369,0.72706,0.78722,0.73577,0.63456
33,0.08848,0.08848,0.10566,0.10566,0.03084,0.82078,0.7665,0.83358,0.79252,0.83821,0.75289
34,0.05302,0.05302,0.07601,0.07601,0.03211,-0.1026,0.74628,0.77909,0.77715,0.84232,0.78434
35,0.06417,0.06417,0.05711,0.05711,0.00976,0.7,0.71783,0.75318,0.70789,0.73094,0.68939
36,0.03656,0.03656,0.03971,0.03971,0.01915,0.0,0.6933,0.65793,0.7094,0.70409,0.72997
37,0.09741,0.09741,0.09197,0.09197,0.03299,0.2,0.75277,0.77923,0.79446,0.79619,0.66551
38,0.07665,0.07665,0.07654,0.07654,0.03245,0.56429,0.71169,0.77126,0.6154,0.81087,0.70278
39,0.07151,0.07151,0.0778,0.0778,0.02685,0.7,0.65565,0.67424,0.70034,0.74786,0.67008
40,0.10184,0.10184,0.10968,0.10968,0.03543,0.82078,0.7012,0.65399,0.66586,0.74668,0.61863
