,consensus_agreement_score,ch0_TFL,ch1_RF,ch2_VM,ch3_SMB,ch4_UpperTA,ch5_LowerTA,ch6_LateralGC,ch7_MedialGC,ch8_SOL
1,0.4,0.42455,0.46151,0.3996,0.60806,0.41757,0.5695,0.65524,0.47745,0.58958
2,0.3,0.62412,0.49701,0.41594,0.50651,0.63734,0.54424,0.63258,0.68168,0.64967
3,0.4,0.52581,0.45149,0.6526,0.52709,0.59364,0.60137,0.60603,0.55869,0.57237
4,0.56667,0.57916,0.49162,0.47731,0.55865,0.63818,0.62453,0.54313,0.5832,0.46571
5,0.43333,0.4364,0.41317,0.43868,0.42445,0.57249,0.5921,0.39488,0.35024,0.37147
6,0.0,0.56994,0.42624,0.35869,0.42166,0.38702,0.47167,0.56662,0.52355,0.5729
7,0.66667,0.47112,0.52122,0.48735,0.59931,0.53494,0.58826,0.62241,0.50497,0.56284
8,0.65,0.49263,0.42695,0.42166,0.63099,0.54942,0.64607,0.57713,0.55837,0.66653
9,-0.35,0.56325,0.52719,0.39605,0.45939,0.43064,0.42393,0.52057,0.50317,0.47622
10,0.86667,0.49127,0.45471,0.40018,0.68358,0.65361,0.65345,0.63785,0.47517,0.59851
11,0.48333,0.44164,0.46049,0.399,0.49255,0.49931,0.61419,0.39644,0.49505,0.47093
12,0.31667,0.50006,0.37953,0.4047,0.47344,0.46683,0.48343,0.56609,0.56149,0.53163
13,0.7,0.46202,0.39322,0.3792,0.44824,0.55199,0.59551,0.42107,0.50071,0.41205
14,0.66667,0.51103,0.46437,0.37263,0.48116,0.52945,0.55185,0.48285,0.4894,0.45861
15,-0.31667,0.54965,0.60091,0.45127,0.52759,0.48633,0.51961,0.4748,0.52945,0.4816
16,0.8,0.44788,0.38703,0.37107,0.40685,0.50077,0.55586,0.48848,0.44225,0.50578
17,0.66667,0.4672,0.45354,0.43416,0.60044,0.55113,0.52623,0.52109,0.43174,0.56584
18,0.46667,0.46386,0.52388,0.52746,0.43922,0.62261,0.54547,0.54799,0.461,0.57572
19,0.21667,0.47774,0.35239,0.32627,0.61038,0.44323,0.43234,0.44707,0.46135,0.50037
20,0.9,0.4819,0.45266,0.44504,0.52113,0.57989,0.61124,0.50486,0.49437,0.46319
21,-0.05,0.52788,0.55981,0.54578,0.56763,0.52169,0.57217,0.50282,0.54117,0.46001
22,0.45,0.49654,0.36065,0.3761,0.4356,0.40883,0.50966,0.51606,0.53403,0.3851
23,-0.28333,0.59499,0.51862,0.53469,0.5763,0.4522,0.50577,0.56549,0.47177,0.48463
24,0.15,0.47499,0.50663,0.57559,0.50017,0.54073,0.63588,0.57332,0.6915,0.52043
25,0.63333,0.43287,0.46009,0.49559,0.50477,0.61022,0.51635,0.4631,0.42643,0.59589
26,0.75,0.41274,0.40789,0.42563,0.41878,0.54338,0.55274,0.50956,0.40115,0.54587
27,0.71667,0.48439,0.48496,0.45622,0.59248,0.64543,0.60802,0.53569,0.52537,0.69119
28,0.68333,0.45698,0.35835,0.44598,0.47462,0.49959,0.56408,0.41684,0.45417,0.51469
29,0.55,0.39056,0.41983,0.42932,0.44212,0.59348,0.57172,0.41537,0.4365,0.43269
30,-0.51667,0.63717,0.62496,0.66235,0.61042,0.57652,0.55034,0.51841,0.48785,0.52667
31,0.15,0.49638,0.49849,0.54735,0.46367,0.50359,0.60082,0.43376,0.41635,0.46907
32,0.93333,0.46134,0.41207,0.41517,0.52598,0.60315,0.6321,0.5107,0.4502,0.44836
33,0.1,0.56099,0.62159,0.58807,0.68693,0.59068,0.61883,0.58888,0.54386,0.48217
34,0.85,0.54317,0.45195,0.4958,0.53303,0.62033,0.6208,0.6097,0.55691,0.54672
35,0.61667,0.4059,0.40947,0.53533,0.50665,0.56151,0.55289,0.46196,0.46027,0.49011
36,0.2,0.61638,0.47062,0.53396,0.44733,0.55381,0.54674,0.5429,0.5507,0.46182
37,0.46667,0.57251,0.55555,0.60053,0.57446,0.65859,0.67064,0.55032,0.50336,0.52627
38,0.85,0.48159,0.49991,0.44465,0.51001,0.64528,0.61661,0.55213,0.50391,0.55501
39,0.3,0.56552,0.41635,0.61806,0.53043,0.53279,0.56651,0.59794,0.52931,0.54181
40,-0.06667,0.55662,0.60104,0.77742,0.555,0.59912,0.62687,0.5381,0.48307,0.59455
