backbone,arm,subject,channel,threshold,censored
resnet,noaug,1,0,0.7705026923423859,False
resnet,noaug,1,1,0.17975014473023032,False
resnet,noaug,1,2,0.8419465336886569,False
resnet,noaug,1,3,0.8418252700962431,False
resnet,noaug,1,4,0.3902541608025134,False
resnet,noaug,1,5,0.7514291140178224,False
resnet,noaug,1,6,,True
resnet,noaug,1,7,0.4479436761228296,False
resnet,noaug,1,8,0.6431963249840082,False
resnet,noaug,2,0,0.863611350631323,False
resnet,noaug,2,1,0.9356321609291647,False
resnet,noaug,2,2,0.8535029042454447,False
resnet,noaug,2,3,0.45845715859253156,False
resnet,noaug,2,4,0.6589227317586626,False
resnet,noaug,2,5,0.745982820383808,False
resnet,noaug,2,6,0.5060001921576159,False
resnet,noaug,2,7,0.8800924146231499,False
resnet,noaug,2,8,0.7469732946127158,False
resnet,noaug,3,0,0.6660952624227141,False
resnet,noaug,3,1,0.6012006003259179,False
resnet,noaug,3,2,0.8614649763948454,False
resnet,noaug,3,3,0.7557704648450074,False
resnet,noaug,3,4,0.951037055455963,False
resnet,noaug,3,5,0.9533697434540327,False
resnet,noaug,3,6,,True
resnet,noaug,3,7,0.724200594408325,False
resnet,noaug,3,8,0.3802303026485313,False
resnet,noaug,4,0,0.31621327392705456,False
resnet,noaug,4,1,0.916144893339715,False
resnet,noaug,4,2,0.7885334983503346,False
resnet,noaug,4,3,0.9156992917181028,False
resnet,noaug,4,4,0.13823585659911214,False
resnet,noaug,4,5,0.9411391171902128,False
resnet,noaug,4,6,0.9400974632695784,False
resnet,noaug,4,7,0.8132676988909197,False
resnet,noaug,4,8,,True
resnet,noaug,5,0,0.3287611065397571,False
resnet,noaug,5,1,0.8529182320859654,False
resnet,noaug,5,2,0.7369988336496467,False
resnet,noaug,5,3,,True
resnet,noaug,5,4,0.8301109870766399,False
resnet,noaug,5,5,0.6852958301401864,False
resnet,noaug,5,6,0.33958172579802337,False
resnet,noaug,5,7,0.6837179799064367,False
resnet,noaug,5,8,0.480437266139933,False
resnet,noaug,6,0,0.9624706518575995,False
resnet,noaug,6,1,0.9614605809774793,False
resnet,noaug,6,2,0.003356793401090019,False
resnet,noaug,6,3,0.21185052690214579,False
resnet,noaug,6,4,0.47583625396092666,False
resnet,noaug,6,5,0.945603570875982,False
resnet,noaug,6,6,0.9181668578828112,False
resnet,noaug,6,7,0.9686796841316547,False
resnet,noaug,6,8,0.34876995169827396,False
resnet,noaug,7,0,0.4910828918096725,False
resnet,noaug,7,1,0.8787701030264737,False
resnet,noaug,7,2,0.23487366070056628,False
resnet,noaug,7,3,0.42319231021257486,False
resnet,noaug,7,4,0.8409809126619631,False
resnet,noaug,7,5,0.49961951606181737,False
resnet,noaug,7,6,0.6141246042520209,False
resnet,noaug,7,7,0.4836611221265909,False
resnet,noaug,7,8,0.4025195457142619,False
resnet,noaug,8,0,0.5129392633271618,False
resnet,noaug,8,1,0.24159231593195366,False
resnet,noaug,8,2,,True
resnet,noaug,8,3,0.6538677960936823,False
resnet,noaug,8,4,0.49726603685894716,False
resnet,noaug,8,5,0.7404664770490829,False
resnet,noaug,8,6,0.18069763367970035,False
resnet,noaug,8,7,0.39510661064310365,False
resnet,noaug,8,8,0.8637967391527107,False
resnet,noaug,9,0,0.4086003546386086,False
resnet,noaug,9,1,0.817883084820422,False
resnet,noaug,9,2,0.41687446578926324,False
resnet,noaug,9,3,0.39011336882551445,False
resnet,noaug,9,4,0.8881860826607042,False
resnet,noaug,9,5,0.6658517797210443,False
resnet,noaug,9,6,0.6564667011244112,False
resnet,noaug,9,7,0.729899887617309,False
resnet,noaug,9,8,0.8907400255361767,False
resnet,noaug,10,0,0.45873192989777806,False
