true,pred,count,rate_within_true,rate_overall
DNS,UPS,729,0.17915949864831654,0.027669184347364026
UPS,DNS,692,0.15208791208791209,0.026264849888032793
DNS,STDUP,572,0.14057507987220447,0.02171025164155312
WAK,DNS,486,0.15976331360946747,0.018446122898242684
WAK,UPS,456,0.14990138067061143,0.017307473336622765
UPS,WAK,410,0.09010989010989011,0.015561544008805557
STDUP,DNS,377,0.025670706795587635,0.014309029491023646
DNS,WAK,367,0.0901941508970263,0.01392947963715034
UPS,STDUP,294,0.06461538461538462,0.011158765703875204
WAK,STDUP,144,0.047337278106508875,0.00546551789577561
STDUP,UPS,141,0.009600980525670707,0.005351652939613618
STDUP,WAK,139,0.009464796404739207,0.005275742968838957
