true,pred,count,rate_within_true,rate_overall
UPS,DNS,816,0.17934065934065935,0.030971268076061792
DNS,UPS,767,0.18849840255591055,0.02911147379208259
STDUP,DNS,667,0.045417404330655047,0.025315975253349526
UPS,WAK,565,0.12417582417582418,0.021444566743841802
DNS,WAK,530,0.13025313344802164,0.02011614225528523
WAK,DNS,508,0.16699539776462854,0.01928113257676396
WAK,UPS,379,0.12458908612754767,0.014384939461798307
STDUP,WAK,341,0.023219392618820646,0.012942650017079744
STDUP,UPS,288,0.019610513414135913,0.01093103579155122
DNS,STDUP,254,0.0624231998033915,0.00964056628838198
UPS,STDUP,144,0.03164835164835165,0.00546551789577561
WAK,STDUP,41,0.013477975016436555,0.0015561544008805557
