model,heldout_subject,n_test,acc,bal_acc,f1_macro,best_params,fit_time_sec,infer_ms_per_window,feat_sel,n_features_used
SVM,1,690,0.6869565217391305,0.6081439135620332,0.6027503350462281,"{'clf__C': 1, 'clf__gamma': 'scale'}",36.98510930000339,0.76052600001276,mi,27
SVM,2,520,0.7923076923076923,0.7080079977682202,0.6883779216822654,"{'clf__C': 1, 'clf__gamma': 'scale'}",39.63483749999432,0.8332715000142343,mi,27
SVM,3,594,0.7626262626262627,0.6517036663588694,0.6320690421445864,"{'clf__C': 1, 'clf__gamma': 'scale'}",32.99816940000164,0.7842884999990929,mi,27
SVM,4,556,0.8345323741007195,0.7787835016846122,0.770452075713278,"{'clf__C': 5, 'clf__gamma': 'scale'}",40.85346329999447,0.7308219999686116,mi,27
SVM,5,708,0.6949152542372882,0.6745130855009215,0.6424383159367795,"{'clf__C': 1, 'clf__gamma': 'scale'}",32.584337500011316,0.8278080000309274,mi,27
SVM,6,583,0.7427101200686106,0.7052880840518869,0.6873487078327771,"{'clf__C': 1, 'clf__gamma': 'scale'}",37.980880599992815,0.8110660000238568,mi,27
SVM,7,600,0.735,0.6535689509149485,0.6361076525294571,"{'clf__C': 5, 'clf__gamma': 'scale'}",33.975367999999435,0.7557095000083791,mi,27
SVM,8,574,0.8013937282229965,0.7356458464016603,0.7210761489100296,"{'clf__C': 1, 'clf__gamma': 'scale'}",40.37107219999598,0.8289864999824204,mi,27
SVM,9,591,0.7191201353637902,0.6886734350013465,0.6681072966173073,"{'clf__C': 5, 'clf__gamma': 'scale'}",34.161133500005235,0.7166960000176914,mi,27
SVM,10,509,0.8192534381139489,0.7475238577212262,0.7314466372067725,"{'clf__C': 5, 'clf__gamma': 'scale'}",37.814180000001215,0.7368015000247397,mi,27
SVM,11,518,0.7683397683397684,0.7280801595408337,0.7033199049051935,"{'clf__C': 1, 'clf__gamma': 'scale'}",34.53666019999946,0.8589229999779491,mi,27
SVM,12,507,0.7495069033530573,0.6947115384615384,0.6628931028321272,"{'clf__C': 1, 'clf__gamma': 'scale'}",39.05466580000939,0.8385494999674847,mi,27
SVM,13,752,0.8218085106382979,0.7495023015172552,0.7288119481946804,"{'clf__C': 5, 'clf__gamma': 'scale'}",34.610601299995324,0.7827214999997523,mi,27
SVM,14,775,0.7393548387096774,0.6727337077363073,0.6455943170764494,"{'clf__C': 1, 'clf__gamma': 'scale'}",34.56680139999662,0.8291179999650922,mi,27
SVM,15,610,0.8098360655737705,0.707637380642113,0.6877939380880558,"{'clf__C': 1, 'clf__gamma': 'scale'}",32.43380330000946,0.8070684999984223,mi,27
SVM,16,681,0.8311306901615272,0.812458374958375,0.7747190746238255,"{'clf__C': 1, 'clf__gamma': 'scale'}",39.237947200002964,0.8398075000150129,mi,27
SVM,17,703,0.7795163584637269,0.6822616407982262,0.6738201166220498,"{'clf__C': 1, 'clf__gamma': 'scale'}",33.92493110000214,0.7954070000414504,mi,27
SVM,18,640,0.771875,0.7139608211555886,0.6792157647793163,"{'clf__C': 1, 'clf__gamma': 'scale'}",36.13528570000199,0.8323899999959394,mi,27
SVM,19,716,0.7486033519553073,0.6706348353226094,0.6526702440752196,"{'clf__C': 1, 'clf__gamma': 'scale'}",33.82167330000084,0.7901644999947166,mi,27
SVM,20,599,0.7595993322203672,0.6842709440886896,0.6498551219947101,"{'clf__C': 1, 'clf__gamma': 'scale'}",39.42660249999608,0.8272275000490481,mi,27
SVM,21,607,0.8023064250411862,0.7094115645736809,0.6959735609751252,"{'clf__C': 1, 'clf__gamma': 'scale'}",34.61251039999479,0.839803499984555,mi,27
SVM,22,722,0.7188365650969529,0.6501710619937526,0.6338180721830506,"{'clf__C': 5, 'clf__gamma': 'scale'}",38.14128640000126,0.7786639999540057,mi,27
SVM,23,704,0.7017045454545454,0.6289843062054294,0.6197832872083705,"{'clf__C': 5, 'clf__gamma': 'scale'}",33.68385010000202,0.7265904999803752,mi,27
SVM,24,653,0.7381316998468607,0.6581933053979788,0.6185470686040002,"{'clf__C': 1, 'clf__gamma': 'scale'}",37.8891433999961,0.7814769999822602,mi,27
SVM,25,616,0.7077922077922078,0.676195589638374,0.6321885998695321,"{'clf__C': 1, 'clf__gamma': 'scale'}",34.23260940000182,0.7990240000071935,mi,27
SVM,26,789,0.7667934093789607,0.6988751215669207,0.6751125563625563,"{'clf__C': 1, 'clf__gamma': 'scale'}",38.54860519999056,0.7956169999670237,mi,27
SVM,27,694,0.8674351585014409,0.7981178781504733,0.7853655554849215,"{'clf__C': 1, 'clf__gamma': 'scale'}",34.38419680000516,0.8196419999876525,mi,27
SVM,28,700,0.81,0.7324601212900821,0.7215563226366727,"{'clf__C': 1, 'clf__gamma': 'scale'}",38.33791019998898,0.8287469999777386,mi,27
SVM,29,736,0.751358695652174,0.6785870954661039,0.6565213669514515,"{'clf__C': 1, 'clf__gamma': 'scale'}",35.5008996000106,0.834215499999118,mi,27
SVM,30,654,0.8073394495412844,0.7268120350827119,0.6977655188613223,"{'clf__C': 1, 'clf__gamma': 'scale'}",35.352664799997,0.8087840000371216,mi,27
SVM,31,758,0.7546174142480211,0.6390694274759303,0.6184242129202165,"{'clf__C': 1, 'clf__gamma': 'scale'}",33.64117360000091,0.8181725000031292,mi,27
SVM,32,686,0.8046647230320699,0.7383528437788056,0.7104012967761888,"{'clf__C': 1, 'clf__gamma': 'scale'}",39.11461019999115,0.8888795000530081,mi,27
SVM,33,692,0.8511560693641619,0.8189011321406966,0.7836236356727719,"{'clf__C': 1, 'clf__gamma': 'scale'}",35.591803100003744,0.793580999961705,mi,27
SVM,34,632,0.8291139240506329,0.7875702434820082,0.7595915143184191,"{'clf__C': 1, 'clf__gamma': 'scale'}",39.25636939999822,0.8459610000136308,mi,27
SVM,35,852,0.7370892018779343,0.6793974210615031,0.6498944020182653,"{'clf__C': 1, 'clf__gamma': 'scale'}",34.219433000005665,0.7996380000258796,mi,27
SVM,36,734,0.7520435967302452,0.6599660893337526,0.6396526020265612,"{'clf__C': 1, 'clf__gamma': 'scale'}",36.47621730000537,0.8236915000452427,mi,27
SVM,37,680,0.8279411764705882,0.7288716996635469,0.706929628690848,"{'clf__C': 1, 'clf__gamma': 'scale'}",34.379876299994066,0.8232325000426499,mi,27
SVM,38,671,0.8584202682563339,0.7843595644038446,0.7622983802635968,"{'clf__C': 1, 'clf__gamma': 'scale'}",42.27148510000552,0.8706024999992223,mi,27
SVM,39,693,0.8253968253968254,0.6993217893217893,0.6799586670805955,"{'clf__C': 1, 'clf__gamma': 'scale'}",35.73196530000132,0.8258859999477863,mi,27
SVM,40,648,0.8379629629629629,0.7376216321940248,0.7186161716116984,"{'clf__C': 1, 'clf__gamma': 'scale'}",37.33984670000791,0.8085920000303304,mi,27
