model,heldout_subject,n_test,acc,bal_acc,f1_macro,best_params,fit_time_sec,infer_ms_per_window,feat_sel,n_features_used
SVM,1,690,0.6695652173913044,0.595174330407715,0.5931333857665987,"{'clf__C': 1, 'clf__gamma': 'scale'}",32.31901950000611,0.6436850000318373,mi,36
SVM,2,520,0.8673076923076923,0.8286153303818079,0.8113822339463371,"{'clf__C': 1, 'clf__gamma': 'scale'}",32.176048499997705,0.6905855000513839,mi,36
SVM,3,594,0.8501683501683501,0.8091498956946872,0.774366327174326,"{'clf__C': 1, 'clf__gamma': 'scale'}",29.648845699994126,0.7223779999912949,mi,36
SVM,4,556,0.8111510791366906,0.7248172102353473,0.7194676139528071,"{'clf__C': 1, 'clf__gamma': 'scale'}",30.38155389999156,0.7061769999563694,mi,36
SVM,5,708,0.7344632768361582,0.7035143187011779,0.6870678965011554,"{'clf__C': 1, 'clf__gamma': 'scale'}",27.962342599988915,0.661714000016218,mi,36
SVM,6,583,0.7873070325900514,0.7430643192729107,0.7306227153143531,"{'clf__C': 1, 'clf__gamma': 'scale'}",31.04836559999967,0.6818360000033863,mi,36
SVM,7,600,0.7483333333333333,0.6792262711201341,0.663356681295131,"{'clf__C': 1, 'clf__gamma': 'scale'}",28.411975600000005,0.65971449999779,mi,36
SVM,8,574,0.8344947735191638,0.7580516382841964,0.7519718259940239,"{'clf__C': 1, 'clf__gamma': 'scale'}",29.64045900000201,0.6915390000358457,mi,36
SVM,9,591,0.7715736040609137,0.7531991820801189,0.7345608901181723,"{'clf__C': 1, 'clf__gamma': 'scale'}",28.448938700006693,0.6574499999987893,mi,36
SVM,10,509,0.8408644400785854,0.7506654529680846,0.7457655997794852,"{'clf__C': 1, 'clf__gamma': 'scale'}",30.047455599997193,0.7861520000005839,mi,36
SVM,11,518,0.8494208494208494,0.8195752253914845,0.8046226232158393,"{'clf__C': 1, 'clf__gamma': 'scale'}",28.953511600004276,0.6955689999449532,mi,36
SVM,12,507,0.814595660749507,0.7961413586413586,0.7644854975700078,"{'clf__C': 1, 'clf__gamma': 'scale'}",29.250704799997038,0.6637559999944642,mi,36
SVM,13,752,0.9095744680851063,0.8752167415383816,0.8590069300667127,"{'clf__C': 1, 'clf__gamma': 'scale'}",27.866352299999562,0.6638954999652924,mi,36
SVM,14,775,0.863225806451613,0.8117513002228529,0.7970974694799097,"{'clf__C': 1, 'clf__gamma': 'scale'}",31.981732000000193,0.6735665000451263,mi,36
SVM,15,610,0.8622950819672132,0.8069953957627993,0.780870385402198,"{'clf__C': 1, 'clf__gamma': 'scale'}",29.060531600000104,0.690314000021317,mi,36
SVM,16,681,0.8678414096916299,0.8442661505161505,0.8142382458186265,"{'clf__C': 1, 'clf__gamma': 'scale'}",31.794264700001804,0.693126000041957,mi,36
SVM,17,703,0.8691322901849218,0.792115404920283,0.7924086990235715,"{'clf__C': 1, 'clf__gamma': 'scale'}",29.207903400005307,0.6645735000347486,mi,36
SVM,18,640,0.8734375,0.8146840078526125,0.7990137513764121,"{'clf__C': 1, 'clf__gamma': 'scale'}",30.432960599995567,0.6952679999812972,mi,36
SVM,19,716,0.8128491620111732,0.7479865958766723,0.7339583869983656,"{'clf__C': 1, 'clf__gamma': 'scale'}",29.06497799999488,0.6807544999901438,mi,36
SVM,20,599,0.8180300500834724,0.7478994448028042,0.7145414345682863,"{'clf__C': 1, 'clf__gamma': 'scale'}",31.82701029999589,0.6494260000181384,mi,36
SVM,21,607,0.85667215815486,0.7756180721872925,0.7657658936096683,"{'clf__C': 1, 'clf__gamma': 'scale'}",29.41725340000994,0.6750645000283839,mi,36
SVM,22,722,0.8060941828254847,0.7629991655437915,0.7441588080367422,"{'clf__C': 1, 'clf__gamma': 'scale'}",28.15610600000946,0.6903774999955203,mi,36
SVM,23,704,0.7826704545454546,0.7109765505084503,0.7114493985753707,"{'clf__C': 1, 'clf__gamma': 'scale'}",27.055354099997203,0.6397080000169808,mi,36
SVM,24,653,0.8208269525267994,0.7448352209201083,0.7193095589714478,"{'clf__C': 1, 'clf__gamma': 'scale'}",31.48688029999903,0.7194790000357898,mi,36
SVM,25,616,0.7597402597402597,0.7563508499176632,0.712285918965747,"{'clf__C': 1, 'clf__gamma': 'scale'}",29.325426399998832,0.675056499967468,mi,36
SVM,26,789,0.8136882129277566,0.7484440271489814,0.7265629268613236,"{'clf__C': 1, 'clf__gamma': 'scale'}",28.940485200000694,0.6915730000037001,mi,36
SVM,27,694,0.909221902017291,0.8361735095296969,0.8370607740126255,"{'clf__C': 1, 'clf__gamma': 'scale'}",29.608998299998348,0.7074195000313921,mi,36
SVM,28,700,0.8657142857142858,0.8011865971640776,0.7984466166276358,"{'clf__C': 1, 'clf__gamma': 'scale'}",29.3137512000103,0.6941160000133095,mi,36
SVM,29,736,0.8573369565217391,0.780961450788849,0.7812850989621235,"{'clf__C': 1, 'clf__gamma': 'scale'}",42.36476759999641,0.9815399999934015,mi,36
SVM,30,654,0.8868501529051988,0.8177730790512745,0.8024650223457953,"{'clf__C': 1, 'clf__gamma': 'scale'}",35.26188469999761,0.8010825000383193,mi,36
SVM,31,758,0.7981530343007915,0.6921943554397855,0.6717977522157579,"{'clf__C': 1, 'clf__gamma': 'scale'}",33.095446300008916,0.9256674999778625,mi,36
SVM,32,686,0.8177842565597667,0.7296147433361901,0.7124078413964968,"{'clf__C': 1, 'clf__gamma': 'scale'}",33.980833900001016,1.0061694999603787,mi,36
SVM,33,692,0.903179190751445,0.8505768732175265,0.8370182033440381,"{'clf__C': 1, 'clf__gamma': 'scale'}",34.39333999999508,0.8906759999808855,mi,36
SVM,34,632,0.8813291139240507,0.8449141146843353,0.8221527438123829,"{'clf__C': 1, 'clf__gamma': 'scale'}",34.36313620000146,0.7093259999965085,mi,36
SVM,35,852,0.7875586854460094,0.7419987189828434,0.7073724250582891,"{'clf__C': 1, 'clf__gamma': 'scale'}",30.609155700003612,0.7018809999863151,mi,36
SVM,36,734,0.7874659400544959,0.7108396583749665,0.6841980747676617,"{'clf__C': 1, 'clf__gamma': 'scale'}",29.370501199999126,0.7420404999720631,mi,36
SVM,37,680,0.9058823529411765,0.8374825574579382,0.8300399201596806,"{'clf__C': 1, 'clf__gamma': 'scale'}",31.619932699992205,0.671104000066407,mi,36
SVM,38,671,0.8837555886736215,0.7986788582452959,0.7892454487338406,"{'clf__C': 1, 'clf__gamma': 'scale'}",29.085691899992526,0.710728999983985,mi,36
SVM,39,693,0.8787878787878788,0.7776082251082251,0.7619311524655452,"{'clf__C': 1, 'clf__gamma': 'scale'}",29.781770700006746,0.7330155000090599,mi,36
SVM,40,648,0.8904320987654321,0.8103354453233432,0.7968395425997339,"{'clf__C': 1, 'clf__gamma': 'scale'}",28.36150970000017,0.7398174999980256,mi,36
