model,heldout_subject,n_test,acc,bal_acc,f1_macro,best_params,fit_time_sec,infer_ms_per_window,feat_sel,n_features_used
RF,1,690,0.6463768115942029,0.5021823599457764,0.5211033575097475,"{'clf__max_depth': None, 'clf__n_estimators': 500}",174.033153100012,0.6609420000313548,mi,36
RF,2,520,0.8788461538461538,0.8213090595518489,0.8216598270253446,"{'clf__max_depth': None, 'clf__n_estimators': 500}",178.37021449999884,0.9650369999872055,mi,36
RF,3,594,0.8333333333333334,0.7698669051673875,0.746182045884542,"{'clf__max_depth': None, 'clf__n_estimators': 400}",176.69483779999427,0.5570379999699071,mi,36
RF,4,556,0.8219424460431655,0.7082377562373159,0.7204728460066454,"{'clf__max_depth': None, 'clf__n_estimators': 500}",180.14905530000397,0.6814329999906477,mi,36
RF,5,708,0.711864406779661,0.6470146468629754,0.6458408622730154,"{'clf__max_depth': None, 'clf__n_estimators': 500}",174.79805379999743,0.7321189999493072,mi,36
RF,6,583,0.8027444253859348,0.7376392041689644,0.7400587909787468,"{'clf__max_depth': None, 'clf__n_estimators': 500}",179.57204329999513,0.6547354999929667,mi,36
RF,7,600,0.7916666666666666,0.6956390363357587,0.6979548695748747,"{'clf__max_depth': None, 'clf__n_estimators': 500}",179.644380800004,0.6044639999890933,mi,36
RF,8,574,0.8362369337979094,0.7618655569236964,0.7588835032324289,"{'clf__max_depth': None, 'clf__n_estimators': 500}",177.9521332000004,0.7598600000346778,mi,36
RF,9,591,0.754653130287648,0.7141536864783449,0.7106755357239446,"{'clf__max_depth': None, 'clf__n_estimators': 400}",178.99087439999857,0.7446755000273697,mi,36
RF,10,509,0.8565815324165029,0.7536410957463588,0.7673224300224103,"{'clf__max_depth': None, 'clf__n_estimators': 500}",179.59472609999648,0.659746500023175,mi,36
RF,11,518,0.8455598455598455,0.7947325201786536,0.7986366657321148,"{'clf__max_depth': None, 'clf__n_estimators': 400}",178.36716680000245,0.5421325000497745,mi,36
RF,12,507,0.8106508875739645,0.7618006993006992,0.7573619114207875,"{'clf__max_depth': None, 'clf__n_estimators': 400}",176.72125869999581,0.5268079999950714,mi,36
RF,13,752,0.9308510638297872,0.881627707269475,0.8830466064819108,"{'clf__max_depth': None, 'clf__n_estimators': 400}",176.45527079999738,0.4605755000375211,mi,36
RF,14,775,0.8348387096774194,0.7521482390477892,0.7529404307710845,"{'clf__max_depth': None, 'clf__n_estimators': 400}",172.75183940000716,0.5036390000168467,mi,36
RF,15,610,0.8278688524590164,0.7193613855109934,0.7073625682038918,"{'clf__max_depth': None, 'clf__n_estimators': 400}",173.5557323999965,0.5594134999410016,mi,36
RF,16,681,0.8678414096916299,0.8423659673659674,0.8183636802330284,"{'clf__max_depth': None, 'clf__n_estimators': 200}",171.7114803000004,0.3049480000481708,mi,36
RF,17,703,0.844950213371266,0.7428457044310703,0.7498604818423864,"{'clf__max_depth': None, 'clf__n_estimators': 500}",175.03254759999982,0.45512450000387616,mi,36
RF,18,640,0.8609375,0.773786388030574,0.7710939302388079,"{'clf__max_depth': None, 'clf__n_estimators': 500}",173.99094990000594,0.6804215000011027,mi,36
RF,19,716,0.8184357541899442,0.7272977477112261,0.7281714631909438,"{'clf__max_depth': None, 'clf__n_estimators': 500}",174.41298449999886,0.6430125000042608,mi,36
RF,20,599,0.8146911519198664,0.7153679432864988,0.6876654383139092,"{'clf__max_depth': None, 'clf__n_estimators': 200}",167.88750290000462,0.3550010000617476,mi,36
RF,21,607,0.8764415156507414,0.7848290736362418,0.7880550370994994,"{'clf__max_depth': None, 'clf__n_estimators': 400}",173.40057559999696,0.4523124999832362,mi,36
RF,22,722,0.7867036011080333,0.7112547225909643,0.7114980364980366,"{'clf__max_depth': None, 'clf__n_estimators': 500}",173.64833060000092,0.8112450000044191,mi,36
RF,23,704,0.7599431818181818,0.6863274881393715,0.6810415035137579,"{'clf__max_depth': None, 'clf__n_estimators': 200}",170.747314799999,0.3151110000180779,mi,36
RF,24,653,0.8300153139356815,0.7184196419981842,0.7182163794401457,"{'clf__max_depth': None, 'clf__n_estimators': 500}",176.7895858999982,0.39776949997758493,mi,36
RF,25,616,0.8311688311688312,0.7761253975652812,0.7608441540981046,"{'clf__max_depth': None, 'clf__n_estimators': 200}",172.10190010000952,0.30884749998222105,mi,36
RF,26,789,0.8187579214195184,0.7373123692857457,0.7282951281527473,"{'clf__max_depth': None, 'clf__n_estimators': 400}",169.47645770000236,0.7590815000003204,mi,36
RF,27,694,0.8933717579250721,0.8095049428111134,0.8173513125400599,"{'clf__max_depth': None, 'clf__n_estimators': 500}",174.28491020000365,0.6610935000207974,mi,36
RF,28,700,0.8428571428571429,0.7595558497565679,0.7697041229631213,"{'clf__max_depth': None, 'clf__n_estimators': 500}",198.3751512000017,1.6353664999769535,mi,36
RF,29,736,0.8464673913043478,0.74350508234978,0.7567863299622428,"{'clf__max_depth': None, 'clf__n_estimators': 200}",203.7969224999979,0.31471100002818275,mi,36
RF,30,654,0.8761467889908257,0.7763342547177133,0.7813003466023392,"{'clf__max_depth': None, 'clf__n_estimators': 400}",187.69169249999686,0.6238149999990128,mi,36
RF,31,758,0.8007915567282322,0.663953941529702,0.6631486989407294,"{'clf__max_depth': None, 'clf__n_estimators': 500}",188.57615619999706,0.5511380000098143,mi,36
RF,32,686,0.8236151603498543,0.7194583207557426,0.7163813846329681,"{'clf__max_depth': None, 'clf__n_estimators': 400}",184.73715570000059,0.5546969999704743,mi,36
