model,heldout_subject,n_test,acc,bal_acc,f1_macro,best_params,fit_time_sec,infer_ms_per_window,feat_sel,n_features_used
SVM,1,690,0.7130434782608696,0.6209064122265237,0.610547218006944,"{'clf__C': 5, 'clf__gamma': 'scale'}",32.421154300001945,0.6791334999979881,mi,36
SVM,2,520,0.8673076923076923,0.8173341613918469,0.8053284941811886,"{'clf__C': 1, 'clf__gamma': 'scale'}",32.494896100000915,0.7052945000032196,mi,36
SVM,3,594,0.8686868686868687,0.7573458279323919,0.7795669410416822,"{'clf__C': 1, 'clf__gamma': 'scale'}",29.614335700000083,0.7008300000052259,mi,36
SVM,4,556,0.6726618705035972,0.6378726750922927,0.5995299147655132,"{'clf__C': 5, 'clf__gamma': 'scale'}",30.773475099998905,0.6319334999898274,mi,36
SVM,5,708,0.6483050847457628,0.6520503677802106,0.616209729127248,"{'clf__C': 5, 'clf__gamma': 'scale'}",26.94537610000043,0.5703455000002577,mi,36
SVM,6,583,0.7221269296740995,0.6479814059567628,0.6266938966988893,"{'clf__C': 5, 'clf__gamma': 'scale'}",31.466524300001765,0.6458664999991015,mi,36
SVM,7,600,0.7416666666666667,0.6940715926046416,0.674600996253238,"{'clf__C': 1, 'clf__gamma': 'scale'}",29.94765009999901,0.7320590000017546,mi,36
SVM,8,574,0.7926829268292683,0.6966864530818019,0.6844085839339401,"{'clf__C': 5, 'clf__gamma': 'scale'}",32.4695083000006,0.614437000003818,mi,36
SVM,9,591,0.7918781725888325,0.7608650289203315,0.7563512458341359,"{'clf__C': 1, 'clf__gamma': 'scale'}",28.96334950000164,0.7271874999969441,mi,36
SVM,10,509,0.7013752455795678,0.6362864109574636,0.6055808498087794,"{'clf__C': 5, 'clf__gamma': 'scale'}",29.161593200002244,0.596940999985236,mi,36
SVM,11,518,0.8552123552123552,0.8363165695287307,0.8137458351692333,"{'clf__C': 5, 'clf__gamma': 'scale'}",28.888172099999792,0.604478500008554,mi,36
SVM,12,507,0.8402366863905325,0.7389485514485515,0.756183935685823,"{'clf__C': 5, 'clf__gamma': 'scale'}",31.131143800001155,0.6130814999960421,mi,36
SVM,13,752,0.898936170212766,0.8453555641880458,0.8390987003371764,"{'clf__C': 5, 'clf__gamma': 'scale'}",28.485789400001522,0.8145379999950819,mi,36
SVM,14,775,0.8374193548387097,0.7585369442169201,0.7387552142352726,"{'clf__C': 5, 'clf__gamma': 'scale'}",29.98538489999919,0.5796865000047546,mi,36
SVM,15,610,0.8475409836065574,0.7707213102885926,0.7468236219774913,"{'clf__C': 1, 'clf__gamma': 'scale'}",29.070329299996956,0.7553805000134162,mi,36
SVM,16,681,0.8869309838472834,0.8439178876678877,0.8300430432085746,"{'clf__C': 5, 'clf__gamma': 'scale'}",29.59450949999882,0.5879934999938996,mi,36
SVM,17,703,0.8677098150782361,0.7851406046527998,0.7877127126300018,"{'clf__C': 5, 'clf__gamma': 'scale'}",29.02307209999708,0.6055689999993774,mi,36
SVM,18,640,0.84375,0.7605019254001812,0.7520652581156924,"{'clf__C': 1, 'clf__gamma': 'scale'}",73.0787459000021,2.029150500002288,mi,36
SVM,19,716,0.8254189944134078,0.7893720388759886,0.759544055882914,"{'clf__C': 1, 'clf__gamma': 'scale'}",110.8447038000013,1.3887534999958007,mi,36
SVM,20,599,0.8297161936560935,0.7433438433433999,0.7273829289780428,"{'clf__C': 1, 'clf__gamma': 'scale'}",38.59430449999854,0.9986255000148958,mi,36
SVM,21,607,0.8550247116968699,0.7709073074802294,0.7637264093907451,"{'clf__C': 5, 'clf__gamma': 'scale'}",43.66699399999925,0.7851475000097707,mi,36
SVM,22,722,0.7313019390581718,0.6416348016113408,0.6375282696945962,"{'clf__C': 5, 'clf__gamma': 'scale'}",31.650547400000505,0.631088499994803,mi,36
SVM,23,704,0.7514204545454546,0.7175038109109064,0.6915691377131745,"{'clf__C': 5, 'clf__gamma': 'scale'}",33.68305799999871,0.9486140000080923,mi,36
SVM,24,653,0.8024502297090352,0.7610802627079386,0.7021211266819296,"{'clf__C': 5, 'clf__gamma': 'scale'}",30.850881799997296,0.8973534999859112,mi,36
SVM,25,616,0.7045454545454546,0.6982176486224914,0.6428926699158712,"{'clf__C': 1, 'clf__gamma': 'scale'}",35.76170540000021,0.845174499991117,mi,36
SVM,26,789,0.623574144486692,0.6433658462468478,0.5855994531790181,"{'clf__C': 5, 'clf__gamma': 'scale'}",31.52718129999994,0.8942179999939981,mi,36
SVM,27,694,0.8904899135446686,0.799950625411455,0.8104428414108865,"{'clf__C': 5, 'clf__gamma': 'scale'}",36.95249020000119,0.7652980000057141,mi,36
SVM,28,700,0.8371428571428572,0.7471823034812591,0.7448098261367755,"{'clf__C': 5, 'clf__gamma': 'scale'}",30.81267360000129,0.6307314999867231,mi,36
SVM,29,736,0.84375,0.7549692214174772,0.753125369826577,"{'clf__C': 5, 'clf__gamma': 'scale'}",33.4390956999996,0.6190054999933636,mi,36
SVM,30,654,0.8363914373088684,0.6911024439219928,0.6861809425230199,"{'clf__C': 5, 'clf__gamma': 'scale'}",26.701100600002974,0.6337114999951154,mi,36
