model,heldout_subject,n_test,acc,bal_acc,f1_macro,best_params,fit_time_sec,infer_ms_per_window
RF,1,690,0.6,0.4296210430083328,0.4349001175442116,"{'clf__max_depth': None, 'clf__n_estimators': 500}",150.4415356999998,0.5349799999930838
RF,2,520,0.8807692307692307,0.8118474379913045,0.8120187340021607,"{'clf__max_depth': None, 'clf__n_estimators': 400}",214.54800669999892,0.5332280000038736
RF,3,594,0.8383838383838383,0.7118938519477188,0.7377391158816702,"{'clf__max_depth': None, 'clf__n_estimators': 500}",335.1577214999997,0.5515604999891366
RF,4,556,0.7266187050359713,0.6906499902155439,0.6579241266748407,"{'clf__max_depth': None, 'clf__n_estimators': 500}",465.410227999997,0.4825030000029073
RF,5,708,0.5677966101694916,0.5606781373594151,0.5393685796837946,"{'clf__max_depth': None, 'clf__n_estimators': 400}",153.49827240000013,0.3601494999929855
RF,6,583,0.7718696397941681,0.6851253532205592,0.6886669605054981,"{'clf__max_depth': None, 'clf__n_estimators': 500}",232.6528820999993,0.5530780000117375
RF,7,600,0.75,0.696407054938086,0.6894945698565417,"{'clf__max_depth': None, 'clf__n_estimators': 500}",336.5793969000006,0.435755499984225
RF,8,574,0.8048780487804879,0.6848582618931456,0.6807168320978462,"{'clf__max_depth': None, 'clf__n_estimators': 400}",433.7531064999967,0.3943245000118622
RF,9,591,0.8037225042301185,0.7438972809883676,0.753702797291329,"{'clf__max_depth': None, 'clf__n_estimators': 400}",565.5630536999997,0.4653205000067828
RF,10,509,0.7092337917485265,0.614807889478942,0.5679135690260566,"{'clf__max_depth': None, 'clf__n_estimators': 400}",244.65907539999895,0.4175110000142013
RF,11,518,0.8803088803088803,0.8554507400508723,0.8406906072341056,"{'clf__max_depth': None, 'clf__n_estimators': 400}",240.21009199999756,0.4894380000041565
RF,12,507,0.7731755424063116,0.6070804195804196,0.6315036407782175,"{'clf__max_depth': None, 'clf__n_estimators': 400}",162.55174080000145,0.4834615000072517
RF,13,752,0.9042553191489362,0.8297637250606424,0.8340467163903139,"{'clf__max_depth': None, 'clf__n_estimators': 500}",228.2928216,0.4168935000052443
RF,14,775,0.8219354838709677,0.7189879916103513,0.7054458391237454,"{'clf__max_depth': None, 'clf__n_estimators': 500}",157.5905313000003,0.5191439999907743
RF,15,610,0.8540983606557377,0.7670807864890647,0.7548036252373131,"{'clf__max_depth': None, 'clf__n_estimators': 500}",239.7295114999979,0.5392670000037469
RF,16,681,0.8839941262848752,0.8157072094572095,0.8261325013276686,"{'clf__max_depth': None, 'clf__n_estimators': 500}",345.5130582999991,0.5579149999903166
RF,17,703,0.8392603129445235,0.7314248759370711,0.739988955228684,"{'clf__max_depth': None, 'clf__n_estimators': 400}",441.3667778000017,0.9872899999936636
RF,18,640,0.859375,0.767073333643101,0.7708093929910166,"{'clf__max_depth': None, 'clf__n_estimators': 400}",154.95518380000067,0.322962499994901
RF,19,716,0.8365921787709497,0.7567494439754218,0.7604804015956022,"{'clf__max_depth': None, 'clf__n_estimators': 200}",208.6548225000006,0.2154395000070508
RF,20,599,0.8297161936560935,0.7132338367408493,0.7026217244810671,"{'clf__max_depth': None, 'clf__n_estimators': 400}",157.35073030000058,0.4191255000114324
RF,21,607,0.8484349258649094,0.7411195590551003,0.7423600929698025,"{'clf__max_depth': None, 'clf__n_estimators': 500}",236.3255881000005,0.4300030000013066
RF,22,722,0.7825484764542936,0.6761135772062947,0.6768704309976512,"{'clf__max_depth': None, 'clf__n_estimators': 400}",336.11105999999927,0.44720950001647
RF,23,704,0.7982954545454546,0.742906042978173,0.7288172069464451,"{'clf__max_depth': None, 'clf__n_estimators': 200}",432.9450548000023,0.2847230000043055
RF,24,653,0.8560490045941807,0.7914133749352243,0.758198784071641,"{'clf__max_depth': None, 'clf__n_estimators': 500}",155.43438400000014,0.431794500000251
RF,25,616,0.7954545454545454,0.766400655947614,0.7324448794939112,"{'clf__max_depth': None, 'clf__n_estimators': 500}",231.62564830000335,0.4768619999958901
RF,26,789,0.7820025348542459,0.7031651778546126,0.6845272158950113,"{'clf__max_depth': None, 'clf__n_estimators': 400}",317.0239159999983,0.4271704999882786
