model,heldout_subject,n_test,acc,bal_acc,f1_macro,best_params,fit_time_sec,infer_ms_per_window
SVM,1,690,0.2594202898550725,0.3291961568013239,0.21704587811847115,"{'clf__C': 10, 'clf__gamma': 'scale'}",140.78701420000107,1.5272120000008726
SVM,2,520,0.7,0.6693496665117191,0.5838229454373178,"{'clf__C': 10, 'clf__gamma': 'scale'}",147.95167440000114,1.3647279999986495
SVM,3,594,0.7138047138047138,0.5428893889217669,0.5450951044311021,"{'clf__C': 10, 'clf__gamma': 'scale'}",146.28521309999996,1.4053855000020121
SVM,4,556,0.5449640287769785,0.5322067787225092,0.48692503074559945,"{'clf__C': 10, 'clf__gamma': 'scale'}",146.4335284000008,1.517778499992346
SVM,5,708,0.4307909604519774,0.45596533868162215,0.4021589896811426,"{'clf__C': 10, 'clf__gamma': 'scale'}",148.14200060000076,1.3693914999930712
SVM,6,583,0.6518010291595198,0.5978639863941506,0.5701377256260567,"{'clf__C': 10, 'clf__gamma': 'scale'}",150.51781289999963,1.4975509999931091
SVM,7,600,0.6483333333333333,0.5233402241009402,0.5240797696930375,"{'clf__C': 10, 'clf__gamma': 'scale'}",148.65628780000043,1.706834999995408
SVM,8,574,0.6254355400696864,0.5111932641002409,0.4876108647450111,"{'clf__C': 10, 'clf__gamma': 'scale'}",145.70331369999985,1.5378099999998085
SVM,9,591,0.676818950930626,0.6399346712710409,0.6318479386060818,"{'clf__C': 10, 'clf__gamma': 'scale'}",148.24960339999961,1.369809500001793
SVM,10,509,0.47544204322200395,0.4372913270939587,0.371380438256863,"{'clf__C': 10, 'clf__gamma': 'scale'}",204.5389841999986,3.7642994999987422
SVM,11,518,0.6196911196911197,0.6325423529984006,0.5839951877397933,"{'clf__C': 10, 'clf__gamma': 'scale'}",345.44715499999984,1.693725999994058
SVM,12,507,0.727810650887574,0.6653034465534465,0.6440959288343009,"{'clf__C': 10, 'clf__gamma': 'scale'}",152.90839789999882,1.4097270000002027
SVM,13,752,0.7340425531914894,0.6010674215685776,0.5847049168582781,"{'clf__C': 10, 'clf__gamma': 'scale'}",151.73922779999884,1.4761614999952144
SVM,14,775,0.6193548387096774,0.5753324840387288,0.49464111445444375,"{'clf__C': 10, 'clf__gamma': 'scale'}",150.0854689000007,1.9310064999990573
SVM,15,610,0.780327868852459,0.6676917173610779,0.6531636636095906,"{'clf__C': 10, 'clf__gamma': 'scale'}",152.57233390000147,1.3695905000076891
SVM,16,681,0.6754772393538914,0.6208839771339771,0.5475674930733436,"{'clf__C': 10, 'clf__gamma': 'scale'}",136.9311428000001,1.4138335000006919
SVM,17,703,0.7126600284495022,0.6039920106993277,0.5833808970755519,"{'clf__C': 10, 'clf__gamma': 'scale'}",141.73704449999968,1.5325389999998151
SVM,18,640,0.73125,0.6522950160304811,0.6272617882199379,"{'clf__C': 10, 'clf__gamma': 'scale'}",139.53424590000031,1.3861295000060636
SVM,19,716,0.6159217877094972,0.5681490683383076,0.5286370509704125,"{'clf__C': 10, 'clf__gamma': 'scale'}",135.73122859999967,1.5575520000038523
SVM,20,599,0.669449081803005,0.5498243860958649,0.5010659667679102,"{'clf__C': 10, 'clf__gamma': 'scale'}",142.88256480000018,1.8435855000006995
SVM,21,607,0.71499176276771,0.6275046567285254,0.599271285185316,"{'clf__C': 10, 'clf__gamma': 'scale'}",154.3276296999993,1.9964230000005045
SVM,22,722,0.6551246537396122,0.6096597811372803,0.5851883208474877,"{'clf__C': 10, 'clf__gamma': 'scale'}",149.85056690000056,1.320079999995869
SVM,23,704,0.42329545454545453,0.4301459643692449,0.38412888491809644,"{'clf__C': 10, 'clf__gamma': 'scale'}",147.6547473999999,1.783888999998453
SVM,24,653,0.5650842266462481,0.6474527860776758,0.502503231590475,"{'clf__C': 10, 'clf__gamma': 'scale'}",150.00661200000104,1.4361210000060964
SVM,25,616,0.6753246753246753,0.6602033409523597,0.5970205264138077,"{'clf__C': 10, 'clf__gamma': 'scale'}",154.26572229999874,1.5857490000053076
SVM,26,789,0.6083650190114068,0.5743239219746913,0.5286397987687175,"{'clf__C': 10, 'clf__gamma': 'scale'}",151.55075320000105,1.5239375000055588
SVM,27,694,0.7665706051873199,0.61762632669118,0.6026995968655295,"{'clf__C': 10, 'clf__gamma': 'scale'}",152.59643789999973,1.5625055000055
SVM,28,700,0.75,0.6647440081676375,0.6475593930567266,"{'clf__C': 10, 'clf__gamma': 'scale'}",139.23203900000044,1.3657440000042698
SVM,29,736,0.7282608695652174,0.6327371104022016,0.6069847176971892,"{'clf__C': 10, 'clf__gamma': 'scale'}",153.23859850000008,1.36447799999587
SVM,30,654,0.7339449541284404,0.5542900082373766,0.5058170142450462,"{'clf__C': 10, 'clf__gamma': 'scale'}",153.03197189999992,1.4312299999983225
SVM,31,758,0.7493403693931399,0.6698832366128029,0.6217793440897086,"{'clf__C': 10, 'clf__gamma': 'scale'}",139.01586809999935,1.5624394999940705
SVM,32,686,0.6749271137026239,0.5882710496823508,0.5693209217204269,"{'clf__C': 10, 'clf__gamma': 'scale'}",139.11144779999995,1.4098755000031815
SVM,33,692,0.6763005780346821,0.5940612306628641,0.554623172164094,"{'clf__C': 10, 'clf__gamma': 'scale'}",139.4870393000001,1.3649865000024874
SVM,34,632,0.75,0.7068789862098686,0.6524544752764354,"{'clf__C': 10, 'clf__gamma': 'scale'}",139.4286370000009,1.4140285000030417
SVM,35,852,0.7171361502347418,0.6848038045620286,0.6401797635350523,"{'clf__C': 10, 'clf__gamma': 'scale'}",135.62047059999895,1.543538499990973
