model,heldout_subject,n_test,acc,bal_acc,f1_macro,best_params,fit_time_sec,infer_ms_per_window
RF,1,690,0.6072463768115942,0.43924226692611545,0.4446520083360016,"{'clf__max_depth': None, 'clf__n_estimators': 500}",155.98724740000034,0.456726999982493
RF,2,520,0.8711538461538462,0.8003889651926255,0.7985252955510684,"{'clf__max_depth': None, 'clf__n_estimators': 400}",231.527763099999,0.49032049999368615
RF,3,594,0.8434343434343434,0.7185310200893117,0.747725587723855,"{'clf__max_depth': None, 'clf__n_estimators': 500}",324.94086000000243,0.6107549999796902
RF,4,556,0.7158273381294964,0.6713549831831951,0.6410387410508995,"{'clf__max_depth': None, 'clf__n_estimators': 400}",468.219972400002,0.40274199996929383
RF,5,708,0.5635593220338984,0.5604899433313557,0.539089185401696,"{'clf__max_depth': None, 'clf__n_estimators': 500}",156.4003001999954,0.4704389999824343
RF,6,583,0.7667238421955404,0.6788943501810456,0.6811268297475194,"{'clf__max_depth': None, 'clf__n_estimators': 500}",244.99267569999938,1.365503000015451
RF,7,600,0.75,0.6956232369861265,0.6893562325767596,"{'clf__max_depth': None, 'clf__n_estimators': 500}",159.98978319999878,0.5337499999950523
RF,8,574,0.8048780487804879,0.6848582618931456,0.6810278311161861,"{'clf__max_depth': None, 'clf__n_estimators': 400}",248.38317360000656,0.4349634999744012
RF,9,591,0.7986463620981388,0.7334753611168705,0.7461952139556733,"{'clf__max_depth': None, 'clf__n_estimators': 500}",329.70705640000233,1.2133660000108648
RF,10,509,0.7111984282907662,0.6252776828434723,0.5823097292218331,"{'clf__max_depth': None, 'clf__n_estimators': 400}",333.6160588999992,0.4927375000261236
RF,11,518,0.8783783783783784,0.8512068565935056,0.8362823060250102,"{'clf__max_depth': None, 'clf__n_estimators': 400}",341.332493300004,0.3855154999837396
RF,12,507,0.7712031558185405,0.6046453546453546,0.6324407888740172,"{'clf__max_depth': None, 'clf__n_estimators': 400}",158.79608860000008,0.42252600000210805
