model,heldout_subject,n_test,acc,bal_acc,f1_macro,best_params,fit_time_sec,infer_ms_per_window
SVM,1,690,0.5362318840579711,0.48535649769913486,0.4916168192009049,"{'clf__C': 5, 'clf__gamma': 'scale'}",47.92850780000299,0.6709414999932051
SVM,2,520,0.8346153846153846,0.7594764978640804,0.7533797804763421,"{'clf__C': 5, 'clf__gamma': 'scale'}",47.99591829999554,0.7009400000242749
SVM,3,594,0.8872053872053872,0.7937129082281064,0.8161112770469656,"{'clf__C': 5, 'clf__gamma': 'scale'}",46.229042999999365,0.6937604999984615
SVM,4,556,0.6942446043165468,0.6532293354668578,0.6167613429447822,"{'clf__C': 5, 'clf__gamma': 'scale'}",45.657640899997205,0.6633750000037253
SVM,5,708,0.652542372881356,0.6408446075754818,0.6118607314183804,"{'clf__C': 5, 'clf__gamma': 'scale'}",43.63508990000264,0.6755799999882584
SVM,6,583,0.7169811320754716,0.6581989563338877,0.6413060674009357,"{'clf__C': 5, 'clf__gamma': 'scale'}",44.53365940000367,0.6732349999947473
SVM,7,600,0.66,0.6723389763503914,0.6511090880675159,"{'clf__C': 5, 'clf__gamma': 'scale'}",45.27681659999507,0.7078879999971832
SVM,8,574,0.7874564459930313,0.6798871670964695,0.6672200353482436,"{'clf__C': 5, 'clf__gamma': 'scale'}",44.945203700001,0.7148495000001276
SVM,9,591,0.8037225042301185,0.7573471965033448,0.7544018487937688,"{'clf__C': 5, 'clf__gamma': 'scale'}",45.28061539999908,0.6853905000025406
SVM,10,509,0.7328094302554028,0.6623491639939009,0.6321217264753245,"{'clf__C': 5, 'clf__gamma': 'scale'}",46.72866349999822,0.7068995000008726
SVM,11,518,0.8861003861003861,0.8705531855234433,0.8520849648278364,"{'clf__C': 5, 'clf__gamma': 'scale'}",46.313888299999235,0.7055769999715267
SVM,12,507,0.8264299802761341,0.7217157842157842,0.7307152550262022,"{'clf__C': 5, 'clf__gamma': 'scale'}",45.408936100000574,0.6989210000028834
SVM,13,752,0.901595744680851,0.8497597086026567,0.8427887387155354,"{'clf__C': 1, 'clf__gamma': 'scale'}",47.288709300002665,0.8342300000003888
SVM,14,775,0.8425806451612903,0.7649287291699325,0.7448419913449893,"{'clf__C': 5, 'clf__gamma': 'scale'}",45.43354870000621,0.6809179999982007
SVM,15,610,0.8573770491803279,0.794635415908935,0.7659294682879262,"{'clf__C': 1, 'clf__gamma': 'scale'}",50.01815609999903,0.8326990000205114
SVM,16,681,0.8634361233480177,0.8069659507159508,0.7917116038083779,"{'clf__C': 5, 'clf__gamma': 'scale'}",46.308301400000346,0.6903444999989006
SVM,17,703,0.8492176386913229,0.755174567979446,0.7536153517557139,"{'clf__C': 1, 'clf__gamma': 'scale'}",47.53361130000121,0.8465179999984684
SVM,18,640,0.8421875,0.7573961648816301,0.744109426047817,"{'clf__C': 1, 'clf__gamma': 'scale'}",47.56390879999526,0.854357499993057
SVM,19,716,0.8324022346368715,0.7860183782509513,0.7609107775469204,"{'clf__C': 5, 'clf__gamma': 'scale'}",44.49194980000175,0.6775235000168323
SVM,20,599,0.7963272120200334,0.6744228471059664,0.6545828753522054,"{'clf__C': 5, 'clf__gamma': 'scale'}",45.50388849999581,0.72184249998827
SVM,21,607,0.8517298187808896,0.7845315971125537,0.7683092295409848,"{'clf__C': 5, 'clf__gamma': 'scale'}",45.433358100002806,0.7267470000078902
SVM,22,722,0.7451523545706371,0.6583788667331065,0.6570050006513023,"{'clf__C': 5, 'clf__gamma': 'scale'}",44.608242100002826,0.6891550000000279
SVM,23,704,0.7244318181818182,0.687693521027005,0.6585228418360568,"{'clf__C': 1, 'clf__gamma': 'scale'}",46.89727760000096,0.8192414999939501
