model,heldout_subject,n_test,acc,bal_acc,f1_macro,best_params,fit_time_sec,infer_ms_per_window
SVM,1,690,0.7318840579710145,0.6802573564791345,0.6708429792681361,"{'clf__C': 1, 'clf__gamma': 'scale'}",43.75257050000073,0.6975054999929853
SVM,2,520,0.9173076923076923,0.8812819579354967,0.8729166904278644,"{'clf__C': 1, 'clf__gamma': 'scale'}",43.31678950000787,0.7343350000155624
SVM,3,594,0.8838383838383839,0.8406808124660367,0.8123476884987733,"{'clf__C': 1, 'clf__gamma': 'scale'}",44.47303209999518,0.7293860000208952
SVM,4,556,0.8597122302158273,0.7772810769168189,0.7809203568641745,"{'clf__C': 1, 'clf__gamma': 'scale'}",38.68817619999754,0.7656385000154842
SVM,5,708,0.7570621468926554,0.7226378030046962,0.698487429709867,"{'clf__C': 1, 'clf__gamma': 'scale'}",39.69211109999742,0.7242039999982808
SVM,6,583,0.8113207547169812,0.7544841911088882,0.7460078974475345,"{'clf__C': 1, 'clf__gamma': 'scale'}",45.669902999987244,8.300337000036961
SVM,7,600,0.8283333333333334,0.7866963573645421,0.7732346983942175,"{'clf__C': 1, 'clf__gamma': 'scale'}",51.57420119999733,4.122091499957605
SVM,8,574,0.8397212543554007,0.7491808579017881,0.74807780287718,"{'clf__C': 1, 'clf__gamma': 'scale'}",42.43762450000213,0.7500710000022082
SVM,9,591,0.8274111675126904,0.7963274730041158,0.7909824919648527,"{'clf__C': 1, 'clf__gamma': 'scale'}",41.39915250000195,0.7468220000009751
SVM,10,509,0.831041257367387,0.7153225064409274,0.7102313419474202,"{'clf__C': 1, 'clf__gamma': 'scale'}",42.56178259999433,0.7659820000117179
SVM,11,518,0.9073359073359073,0.8765893282747215,0.8682620835916856,"{'clf__C': 1, 'clf__gamma': 'scale'}",40.86693579998973,0.7684664999396773
SVM,12,507,0.8757396449704142,0.8389110889110889,0.8270668452343122,"{'clf__C': 1, 'clf__gamma': 'scale'}",64.94765909999842,1.6940975000034086
SVM,13,752,0.9321808510638298,0.9049237531750098,0.8935695131978626,"{'clf__C': 1, 'clf__gamma': 'scale'}",117.43279310000071,0.7553380000172183
SVM,14,775,0.8709677419354839,0.8178568397510961,0.8058885232414644,"{'clf__C': 1, 'clf__gamma': 'scale'}",40.72755570001027,0.7407100000273203
SVM,15,610,0.8967213114754098,0.8563732418028159,0.834115365692586,"{'clf__C': 1, 'clf__gamma': 'scale'}",44.720880599998054,0.7562039999902481
SVM,16,681,0.869309838472834,0.8449585137085138,0.8171264214191113,"{'clf__C': 1, 'clf__gamma': 'scale'}",41.597916099999566,0.7954235000215704
SVM,17,703,0.8819345661450925,0.8103816914792525,0.8099535441017278,"{'clf__C': 1, 'clf__gamma': 'scale'}",41.90992440000991,0.7350589999987278
SVM,18,640,0.8828125,0.8258821846757893,0.8119286933746366,"{'clf__C': 1, 'clf__gamma': 'scale'}",42.733164100005524,0.735181999989436
SVM,19,716,0.8156424581005587,0.7673968570517483,0.7493323266051085,"{'clf__C': 1, 'clf__gamma': 'scale'}",41.08083910000278,0.7769245000235969
SVM,20,599,0.8263772954924875,0.7457574810952884,0.721121202384184,"{'clf__C': 1, 'clf__gamma': 'scale'}",37.97271049999108,0.7606079999823123
SVM,21,607,0.8467874794069192,0.779032497545951,0.7627346519666744,"{'clf__C': 1, 'clf__gamma': 'scale'}",39.97249810000358,0.7479345000319881
SVM,22,722,0.8102493074792244,0.7520429668667642,0.7409953852292037,"{'clf__C': 1, 'clf__gamma': 'scale'}",38.90221909999673,0.7283550000283867
SVM,23,704,0.7727272727272727,0.6912363015992978,0.6963617112667909,"{'clf__C': 1, 'clf__gamma': 'scale'}",37.512573799991515,0.7213950000004843
SVM,24,653,0.7993874425727412,0.7278892310238867,0.7011497642333242,"{'clf__C': 1, 'clf__gamma': 'scale'}",38.52782980000484,0.7744729999831179
SVM,25,616,0.8116883116883117,0.7847903004991367,0.7520582218447945,"{'clf__C': 1, 'clf__gamma': 'scale'}",39.1034384000086,0.7525524999800837
SVM,26,789,0.8174904942965779,0.7550797033432197,0.7276029762323566,"{'clf__C': 1, 'clf__gamma': 'scale'}",40.602956400005496,0.7325539999874309
SVM,27,694,0.9149855907780979,0.8466518944320451,0.8471334964401774,"{'clf__C': 1, 'clf__gamma': 'scale'}",41.807896600003005,0.7604619999619899
SVM,28,700,0.8671428571428571,0.805626601604082,0.802751648625109,"{'clf__C': 1, 'clf__gamma': 'scale'}",41.91862899999251,0.8023010000033537
SVM,29,736,0.873641304347826,0.8008691114618671,0.8037798587399274,"{'clf__C': 1, 'clf__gamma': 'scale'}",42.017659900011495,0.7625445000303444
SVM,30,654,0.8899082568807339,0.8123890520507061,0.8040059719751332,"{'clf__C': 1, 'clf__gamma': 'scale'}",47.66397770000913,0.8140800000546733
SVM,31,758,0.8390501319261213,0.7546827216023911,0.7340918274538094,"{'clf__C': 1, 'clf__gamma': 'scale'}",45.736201099993195,0.7540445000631735
SVM,32,686,0.8454810495626822,0.7478261188562083,0.7357707426793634,"{'clf__C': 1, 'clf__gamma': 'scale'}",45.22402720000537,0.7434459999785759
SVM,33,692,0.9075144508670521,0.8410774781782041,0.8382067895501709,"{'clf__C': 1, 'clf__gamma': 'scale'}",44.84154180000769,0.7898825000302168
SVM,34,632,0.8955696202531646,0.8650314452704159,0.8423175942747149,"{'clf__C': 1, 'clf__gamma': 'scale'}",46.24710249999771,0.752857999978005
SVM,35,852,0.8075117370892019,0.7612654991214933,0.7309437258400238,"{'clf__C': 1, 'clf__gamma': 'scale'}",43.86015590000898,0.8919630000309553
SVM,36,734,0.8092643051771117,0.733996407318124,0.7040875634942992,"{'clf__C': 1, 'clf__gamma': 'scale'}",50.829360900010215,0.7916670000122394
SVM,37,680,0.8926470588235295,0.8034622084307261,0.7961891858803415,"{'clf__C': 1, 'clf__gamma': 'scale'}",52.45832129998598,0.8418689999962226
SVM,38,671,0.8912071535022354,0.8203058354543659,0.8108652090258592,"{'clf__C': 1, 'clf__gamma': 'scale'}",99.75245759999962,0.8255520000238903
SVM,39,693,0.8643578643578643,0.7684758297258298,0.7478608553780732,"{'clf__C': 1, 'clf__gamma': 'scale'}",44.4174728999933,0.761476500047138
SVM,40,648,0.8595679012345679,0.7609739320627541,0.7466845799121155,"{'clf__C': 1, 'clf__gamma': 'scale'}",44.86033569999563,0.7446024999808287
