model,heldout_subject,n_test,acc,bal_acc,f1_macro,best_params,fit_time_sec,infer_ms_per_window,feat_sel,n_features_used
RF,1,690,0.672463768115942,0.537412311011191,0.550951378483662,"{'clf__max_depth': None, 'clf__n_estimators': 400}",175.7426986000064,0.5921954999939771,rfe,27
RF,2,520,0.8807692307692307,0.806767932506378,0.8081599557258516,"{'clf__max_depth': None, 'clf__n_estimators': 500}",183.6425428999937,0.7083105000492651,rfe,27
RF,3,594,0.8636363636363636,0.7783306968045095,0.7719617317701353,"{'clf__max_depth': None, 'clf__n_estimators': 500}",181.96044779999647,0.6423124999855645,rfe,27
RF,4,556,0.8399280575539568,0.741736486273544,0.751757854412751,"{'clf__max_depth': None, 'clf__n_estimators': 500}",179.91768980000052,0.65133700001752,rfe,27
RF,5,708,0.6822033898305084,0.6207908226578979,0.5962220688755162,"{'clf__max_depth': None, 'clf__n_estimators': 400}",168.51181959999667,0.3989605000242591,rfe,27
RF,6,583,0.7804459691252144,0.7105465282141824,0.7075841079128459,"{'clf__max_depth': None, 'clf__n_estimators': 500}",166.6027078999905,0.5040539999754401,rfe,27
RF,7,600,0.785,0.6929463933969425,0.6913024464452612,"{'clf__max_depth': None, 'clf__n_estimators': 400}",165.62962209999387,0.6111370000144234,rfe,27
RF,8,574,0.837979094076655,0.769363872561547,0.7595335568884715,"{'clf__max_depth': None, 'clf__n_estimators': 500}",162.54778730000544,0.7481420000112848,rfe,27
RF,9,591,0.7918781725888325,0.7414056973172133,0.7419271617075633,"{'clf__max_depth': None, 'clf__n_estimators': 500}",164.0447009000054,0.7078699999692617,rfe,27
RF,10,509,0.8290766208251473,0.6939014932435985,0.6984897089091769,"{'clf__max_depth': None, 'clf__n_estimators': 500}",165.91123159999552,0.7745764999708626,rfe,27
RF,11,518,0.9208494208494209,0.8877106920398394,0.8893587610085627,"{'clf__max_depth': None, 'clf__n_estimators': 400}",161.97004000000015,0.4778124999575084,rfe,27
RF,12,507,0.8599605522682445,0.7846840659340659,0.7991759795735782,"{'clf__max_depth': None, 'clf__n_estimators': 200}",158.88519709999673,0.35498650002409704,rfe,27
