subject,model,config,buffer,n_test,f1_incl,f1_excl
1,SVM,calib25,25,690,0.575489,0.569676
1,SVM,calib50,50,690,0.644039,0.643542
1,SVM,calib100,100,690,0.656682,0.664164
1,SVM,running,16,690,0.644051,0.64637
1,RF,calib25,25,690,0.524004,0.524201
1,RF,calib50,50,690,0.57517,0.590984
1,RF,calib100,100,690,0.555331,0.561872
1,RF,running,16,690,0.535142,0.536994
2,SVM,calib25,25,520,0.766342,0.779128
2,SVM,calib50,50,520,0.762999,0.78072
2,SVM,calib100,100,520,0.751938,0.757341
2,SVM,running,16,520,0.768246,0.769962
2,RF,calib25,25,520,0.707429,0.731045
2,RF,calib50,50,520,0.721305,0.738407
2,RF,calib100,100,520,0.659779,0.65714
2,RF,running,16,520,0.712188,0.723188
