subject,model,config,buffer,n_test,f1_incl,f1_excl
1,SVM,calib25,25,690,0.575489,0.569676
1,SVM,calib50,50,690,0.644039,0.643542
1,SVM,calib100,100,690,0.656682,0.664164
1,SVM,running,16,690,0.644051,0.64637
1,RF,calib25,25,690,0.525579,0.525621
1,RF,calib50,50,690,0.567701,0.58279
1,RF,calib100,100,690,0.548755,0.550285
1,RF,running,16,690,0.54867,0.551011
2,SVM,calib25,25,520,0.766342,0.779128
2,SVM,calib50,50,520,0.762999,0.78072
2,SVM,calib100,100,520,0.751938,0.757341
2,SVM,running,16,520,0.768246,0.769962
2,RF,calib25,25,520,0.707429,0.731045
2,RF,calib50,50,520,0.721305,0.738407
2,RF,calib100,100,520,0.659779,0.65714
2,RF,running,16,520,0.712188,0.723188
3,SVM,calib25,25,594,0.767168,0.754645
3,SVM,calib50,50,594,0.808268,0.802605
3,SVM,calib100,100,594,0.815302,0.801994
3,SVM,running,16,594,0.809703,0.807474
3,RF,calib25,25,594,0.701076,0.698998
3,RF,calib50,50,594,0.737409,0.739524
3,RF,calib100,100,594,0.734306,0.742489
3,RF,running,16,594,0.741914,0.752231
4,SVM,calib25,25,556,0.645173,0.649042
4,SVM,calib50,50,556,0.726012,0.721599
4,SVM,calib100,100,556,0.734848,0.745038
4,SVM,running,16,556,0.709355,0.716695
4,RF,calib25,25,556,0.665767,0.673325
4,RF,calib50,50,556,0.738214,0.75657
4,RF,calib100,100,556,0.714062,0.746675
4,RF,running,16,556,0.714015,0.724116
5,SVM,calib25,25,708,0.668193,0.672428
5,SVM,calib50,50,708,0.657291,0.662089
5,SVM,calib100,100,708,0.707793,0.730337
5,SVM,running,16,708,0.686931,0.687235
5,RF,calib25,25,708,0.660059,0.668038
5,RF,calib50,50,708,0.656787,0.666973
5,RF,calib100,100,708,0.663137,0.684852
5,RF,running,16,708,0.650791,0.651179
6,SVM,calib25,25,583,0.699783,0.694067
6,SVM,calib50,50,583,0.671195,0.669227
6,SVM,calib100,100,583,0.689192,0.697983
6,SVM,running,16,583,0.72367,0.72037
6,RF,calib25,25,583,0.68182,0.674988
6,RF,calib50,50,583,0.659452,0.653071
6,RF,calib100,100,583,0.648544,0.638583
6,RF,running,16,583,0.680964,0.681515
7,SVM,calib25,25,600,0.68903,0.679626
7,SVM,calib50,50,600,0.753041,0.735614
7,SVM,calib100,100,600,0.741789,0.717912
7,SVM,running,16,600,0.752382,0.74865
7,RF,calib25,25,600,0.64639,0.63806
7,RF,calib50,50,600,0.711421,0.70733
7,RF,calib100,100,600,0.645166,0.645087
7,RF,running,16,600,0.654225,0.645985
8,SVM,calib25,25,574,0.694247,0.697592
8,SVM,calib50,50,574,0.738159,0.7454
8,SVM,calib100,100,574,0.726215,0.746396
8,SVM,running,16,574,0.722674,0.722905
8,RF,calib25,25,574,0.717499,0.727436
8,RF,calib50,50,574,0.750851,0.748838
8,RF,calib100,100,574,0.707021,0.715296
8,RF,running,16,574,0.703302,0.709201
9,SVM,calib25,25,591,0.732229,0.727067
9,SVM,calib50,50,591,0.758588,0.757989
9,SVM,calib100,100,591,0.743076,0.740638
9,SVM,running,16,591,0.771499,0.772787
9,RF,calib25,25,591,0.697339,0.698083
9,RF,calib50,50,591,0.675255,0.682029
9,RF,calib100,100,591,0.680025,0.691953
9,RF,running,16,591,0.731748,0.730364
10,SVM,calib25,25,509,0.615795,0.614661
10,SVM,calib50,50,509,0.6467,0.655144
10,SVM,calib100,100,509,0.650245,0.689953
10,SVM,running,16,509,0.671074,0.676714
10,RF,calib25,25,509,0.662917,0.667655
10,RF,calib50,50,509,0.623317,0.646938
10,RF,calib100,100,509,0.668434,0.706944
10,RF,running,16,509,0.654167,0.664929
11,SVM,calib25,25,518,0.841507,0.841769
11,SVM,calib50,50,518,0.857699,0.851159
11,SVM,calib100,100,518,0.848141,0.856588
