config,model,f1_macro_mean,f1_macro_sd,n
transductive,RF,0.7730884734391615,0.059741448993767474,40
transductive,SVM,0.776700141407124,0.0547264767402714,40
calib25,RF,0.6771543040616731,0.07177930534188483,40
calib25,SVM,0.7080391706943638,0.0648885001662295,40
calib50,RF,0.6991186001193436,0.06021818017702088,40
calib50,SVM,0.7344423622858935,0.060938274628910646,40
calib100,RF,0.7066731430206206,0.054530762535608915,40
calib100,SVM,0.7449029899518458,0.055832706452563725,40
running,RF,0.7015004800229645,0.05115138975507685,40
running,SVM,0.7391781434982644,0.05312359797695782,40
