true,pred,count,rate_within_true,rate_overall
DNS,UPS,727,0.17866797739002213,0.027593274376589365
UPS,DNS,718,0.1578021978021978,0.02725167950810339
DNS,STDUP,615,0.15114278692553454,0.023342316013208336
WAK,DNS,513,0.16863905325443787,0.01947090750370061
WAK,UPS,474,0.15581854043392504,0.017990663073594718
STDUP,DNS,435,0.02962004630260112,0.016510418643488824
UPS,WAK,421,0.09252747252747252,0.015979048848066193
DNS,WAK,369,0.09068567215532072,0.014005389607925
UPS,STDUP,293,0.06439560439560439,0.011120810718487873
STDUP,WAK,169,0.011507558218711697,0.006414392530458876
WAK,STDUP,137,0.04503616042077581,0.005199832998064296
STDUP,UPS,137,0.009328612283807708,0.005199832998064296
