true,pred,count,rate_within_true,rate_overall
UPS,DNS,807,0.17736263736263735,0.030629673207575814
DNS,UPS,780,0.19169329073482427,0.02960488860211789
STDUP,DNS,609,0.041468064823641564,0.023114586100884352
UPS,WAK,605,0.13296703296703297,0.02296276615933503
DNS,WAK,573,0.14082084050135169,0.02174820662694045
WAK,UPS,426,0.14003944773175542,0.016168823775002845
STDUP,WAK,415,0.028258205093286123,0.01575131893574221
WAK,DNS,398,0.13083497698882315,0.015106084184157589
STDUP,UPS,334,0.022742748195560398,0.012676965119368428
DNS,STDUP,283,0.06955025804866061,0.010741260864614566
UPS,STDUP,121,0.026593406593406595,0.004592553231867006
WAK,STDUP,43,0.01413543721236029,0.001632064371655217
