subject,model,f1_sd,bal_acc_sd,acc_sd,f1_loso,bal_acc_loso,acc_loso,delta_f1,delta_bal_acc,delta_acc
1,RF,0.9156496131869464,0.9055464848252016,0.9318840579710144,0.4244719302484797,0.4193844570178091,0.5942028985507246,0.4911776829384667,0.48616202780739254,0.33768115942028976
2,RF,0.9024414646552074,0.9001293151936034,0.9365384615384617,0.7888253638319952,0.7877462801301559,0.8673076923076923,0.11361610082321216,0.11238303506344749,0.06923076923076932
3,RF,0.8108461677209935,0.7863892872550049,0.8787878787878788,0.7293101411536833,0.7057288933972274,0.835016835016835,0.08153602656731018,0.08066039385777746,0.043771043771043794
4,RF,0.8312001548370394,0.8229495678165417,0.8830935251798561,0.6360772198395307,0.6659637638897133,0.710431654676259,0.19512293499750866,0.15698580392682837,0.17266187050359705
5,RF,0.7594439508312556,0.7659577866268092,0.807909604519774,0.5250138663256095,0.5461028586976533,0.5353107344632768,0.23443008450564606,0.21985492792915595,0.2725988700564972
6,RF,0.7798181548680785,0.7725158245660535,0.8319039451114922,0.699018829547103,0.695039967538621,0.7787307032590052,0.08079932532097545,0.07747585702743254,0.05317324185248706
7,RF,0.9148679046809888,0.9138634420070528,0.935,0.6784551137528183,0.690616764880695,0.7483333333333333,0.23641279092817047,0.22324667712635782,0.18666666666666676
8,RF,0.7772572015857421,0.7725630958189098,0.8658536585365854,0.6651032270972994,0.6745607106072222,0.794425087108014,0.11215397448844266,0.09800238521168758,0.0714285714285714
9,RF,0.835294319532571,0.823076327272814,0.8629441624365483,0.734867379721895,0.7248639969876144,0.7901861252115059,0.10042693981067607,0.0982123302851996,0.07275803722504237
10,RF,0.78213592100104,0.7833827356853673,0.8722986247544204,0.5506051572212768,0.6050166938324834,0.6856581532416502,0.23153076377976323,0.17836604185288396,0.1866404715127702
11,RF,0.9210807111551198,0.9259178032806584,0.944015444015444,0.8257828021228495,0.8486320575216808,0.862934362934363,0.09529790903227031,0.07728574575897762,0.08108108108108103
12,RF,0.7851471793340074,0.7495941558441559,0.8500986193293886,0.6485721536922777,0.6168831168831168,0.7790927021696252,0.13657502564172963,0.13271103896103909,0.07100591715976334
