model,subject,n_test,acc,bal_acc,f1_macro,best_params,fit_time_sec,infer_ms_per_window
SVM,1,690,0.6521739130434783,0.5555841348284978,0.5707287163538226,"{'clf__C': 1, 'clf__gamma': 'scale'}",56.07059760001721,0.9808679998968728
SVM,2,520,0.8134615384615385,0.7346708885281803,0.7174299353076767,"{'clf__C': 5, 'clf__gamma': 'scale'}",47.96857299999101,0.9535739998682402
SVM,3,594,0.8703703703703703,0.7639487083940486,0.7900020681804211,"{'clf__C': 1, 'clf__gamma': 'scale'}",61.95131809997838,1.697812500060536
SVM,4,556,0.6924460431654677,0.659900905355359,0.6210204411719984,"{'clf__C': 1, 'clf__gamma': 'scale'}",193.797664200014,1.0718200000701472
SVM,5,708,0.6581920903954802,0.6589171927892126,0.6265527779045328,"{'clf__C': 1, 'clf__gamma': 'scale'}",204.49188059999145,1.1555030001909472
SVM,6,583,0.7221269296740995,0.6681441011632232,0.654848474228193,"{'clf__C': 1, 'clf__gamma': 'scale'}",243.3667734999908,1.705255999986548
SVM,7,600,0.7333333333333333,0.7162933160926878,0.7045708929457513,"{'clf__C': 1, 'clf__gamma': 'scale'}",269.5875148999621,2.0223510000505485
SVM,8,574,0.7770034843205574,0.6769245289594127,0.6683085514781051,"{'clf__C': 1, 'clf__gamma': 'scale'}",228.26346469996497,1.2954914997681044
SVM,9,591,0.7631133671742809,0.72809259510821,0.7214513261959759,"{'clf__C': 1, 'clf__gamma': 'scale'}",586.4650014999788,6.414616000256501
SVM,10,509,0.7465618860510805,0.6626186313686314,0.6303188451788809,"{'clf__C': 1, 'clf__gamma': 'scale'}",172.54302110000026,1.048029999999471
SVM,11,518,0.7876447876447876,0.8066485838462045,0.7618901818665134,"{'clf__C': 1, 'clf__gamma': 'scale'}",189.8377093000004,1.9401790000006256
SVM,12,507,0.8165680473372781,0.7229645354645355,0.7267812218269535,"{'clf__C': 1, 'clf__gamma': 'scale'}",246.31490609999943,1.5851999999995314
SVM,13,752,0.898936170212766,0.8417967163064071,0.8347520415106737,"{'clf__C': 1, 'clf__gamma': 'scale'}",287.9196541000001,1.8572045000018989
SVM,14,775,0.8270967741935484,0.7515400260462571,0.7174024767611928,"{'clf__C': 1, 'clf__gamma': 'scale'}",238.01960899999995,1.718235500002265
SVM,15,610,0.839344262295082,0.7622915242131194,0.7338132651218405,"{'clf__C': 1, 'clf__gamma': 'scale'}",265.7311818999997,2.1784664999995584
SVM,16,681,0.8458149779735683,0.7796959984459985,0.7625690490412669,"{'clf__C': 1, 'clf__gamma': 'scale'}",289.90141420000054,2.367229999999836
SVM,17,703,0.8477951635846372,0.7535388730510681,0.7507655025440478,"{'clf__C': 1, 'clf__gamma': 'scale'}",313.0903698000002,2.63698249999834
SVM,18,640,0.8234375,0.7237019521176498,0.7057180268748326,"{'clf__C': 1, 'clf__gamma': 'scale'}",339.5524635999991,2.8502954999930807
SVM,19,716,0.7849162011173184,0.7474425267867848,0.7146522180222579,"{'clf__C': 1, 'clf__gamma': 'scale'}",357.2403507000017,3.033689000003505
SVM,20,599,0.7879799666110183,0.6653805527640101,0.6484884622437158,"{'clf__C': 1, 'clf__gamma': 'scale'}",399.6198586999999,4.608982499994454
SVM,21,607,0.8319604612850082,0.7645012145270615,0.7387310513412639,"{'clf__C': 1, 'clf__gamma': 'scale'}",388.7067840999989,3.282027499990363
SVM,22,722,0.724376731301939,0.6372991545044648,0.6277176958730973,"{'clf__C': 1, 'clf__gamma': 'scale'}",150.04448660000003,0.9010180000001357
SVM,23,704,0.7471590909090909,0.7153552335094934,0.6844347884526456,"{'clf__C': 1, 'clf__gamma': 'scale'}",167.51355949999993,1.0019214999999804
SVM,24,653,0.8131699846860643,0.7621848708287959,0.7100034612643716,"{'clf__C': 1, 'clf__gamma': 'scale'}",179.56240550000007,1.458495499999799
SVM,25,616,0.7094155844155844,0.692302069117859,0.6444066174035437,"{'clf__C': 1, 'clf__gamma': 'scale'}",193.1035813999997,1.4894019999997
SVM,26,789,0.6831432192648923,0.6891061322100018,0.6326016040801323,"{'clf__C': 1, 'clf__gamma': 'scale'}",223.8060286,1.672544000000471
SVM,27,694,0.899135446685879,0.8159425060346719,0.824314155210103,"{'clf__C': 5, 'clf__gamma': 'scale'}",245.5414164000004,1.2223730000005162
SVM,28,700,0.7957142857142857,0.6915085838878268,0.6820636706359846,"{'clf__C': 1, 'clf__gamma': 'scale'}",269.99582180000016,2.238881000002948
SVM,29,736,0.8519021739130435,0.7674077116796625,0.7665294779906677,"{'clf__C': 1, 'clf__gamma': 'scale'}",284.77242320000005,2.4446119999993243
SVM,30,654,0.8333333333333334,0.6828196865790851,0.6709890717353404,"{'clf__C': 1, 'clf__gamma': 'scale'}",302.2376628999991,2.570049000000836
SVM,31,758,0.7823218997361477,0.6948481790223062,0.6370231826871574,"{'clf__C': 1, 'clf__gamma': 'scale'}",321.61472929999945,3.634837499994319
SVM,32,686,0.8454810495626822,0.7594821480616631,0.7590755160054381,"{'clf__C': 5, 'clf__gamma': 'scale'}",350.8713490000009,1.83255250000002
SVM,33,692,0.8251445086705202,0.7372772448362285,0.7290783645435871,"{'clf__C': 1, 'clf__gamma': 'scale'}",120.45081680000112,0.7402115000058984
