model,heldout_subject,n_test,acc,bal_acc,f1_macro,best_params,fit_time_sec,infer_ms_per_window
RF,1,690,0.5942028985507246,0.41938445701780913,0.42447193024847973,"{'clf__max_depth': None, 'clf__n_estimators': 500}",578.1207703999244,1.432578000240028
RF,2,520,0.8673076923076923,0.7877462801301559,0.7888253638319952,"{'clf__max_depth': None, 'clf__n_estimators': 500}",896.051131599932,1.0344440001063049
RF,3,594,0.835016835016835,0.7057288933972274,0.7293101411536833,"{'clf__max_depth': None, 'clf__n_estimators': 500}",1224.8170293000294,0.9817885002121329
RF,4,556,0.710431654676259,0.6659637638897133,0.6360772198395307,"{'clf__max_depth': None, 'clf__n_estimators': 500}",150.96607840000024,0.40691349999860904
RF,5,708,0.5353107344632768,0.5461028586976533,0.5250138663256095,"{'clf__max_depth': None, 'clf__n_estimators': 500}",251.4705481000001,0.5873695000013868
RF,6,583,0.7787307032590052,0.695039967538621,0.699018829547103,"{'clf__max_depth': None, 'clf__n_estimators': 500}",376.5291222000001,0.4896774999997433
RF,7,600,0.7483333333333333,0.690616764880695,0.6784551137528183,"{'clf__max_depth': None, 'clf__n_estimators': 500}",449.64464599999974,0.37926700000298297
RF,8,574,0.794425087108014,0.6745607106072222,0.6651032270972994,"{'clf__max_depth': None, 'clf__n_estimators': 500}",546.1502276000001,0.3849965000017619
RF,9,591,0.7901861252115059,0.7248639969876144,0.734867379721895,"{'clf__max_depth': None, 'clf__n_estimators': 200}",159.97125120000055,0.19744750000427302
RF,10,509,0.6856581532416502,0.6050166938324834,0.5506051572212768,"{'clf__max_depth': None, 'clf__n_estimators': 500}",258.6132763000005,0.43599799999810784
RF,11,518,0.862934362934363,0.8486320575216808,0.8257828021228495,"{'clf__max_depth': None, 'clf__n_estimators': 500}",178.63211349999983,0.5195210000010775
RF,12,507,0.7790927021696252,0.6168831168831168,0.6485721536922777,"{'clf__max_depth': None, 'clf__n_estimators': 400}",269.84667810000064,0.42189799999960087
RF,13,752,0.8949468085106383,0.8156858774613501,0.8198306335963698,"{'clf__max_depth': None, 'clf__n_estimators': 500}",380.7136107000006,0.4451699999981429
RF,14,775,0.8270967741935484,0.7244380109489996,0.7151039692328178,"{'clf__max_depth': None, 'clf__n_estimators': 400}",170.4426994000005,0.5976234999980079
RF,15,610,0.8295081967213115,0.7275932520837187,0.7169230990126512,"{'clf__max_depth': None, 'clf__n_estimators': 200}",255.6744377999994,0.20302149999679386
RF,16,681,0.8839941262848752,0.8086420523920523,0.8274899851876842,"{'clf__max_depth': None, 'clf__n_estimators': 500}",178.56255130000045,0.5163314999981594
RF,17,703,0.8406827880512091,0.7328089254918523,0.7418135713974416,"{'clf__max_depth': None, 'clf__n_estimators': 400}",246.57208779999928,0.4193230000055337
RF,18,640,0.8546875,0.7595220912808122,0.7672428207487914,"{'clf__max_depth': None, 'clf__n_estimators': 400}",175.93399119999958,0.41362699999808683
RF,19,716,0.8226256983240223,0.7364027888613999,0.7398205196354635,"{'clf__max_depth': None, 'clf__n_estimators': 500}",242.2405347999993,0.5441019999943819
RF,20,599,0.8163606010016694,0.7039933391543919,0.6888198048192545,"{'clf__max_depth': None, 'clf__n_estimators': 400}",160.12585789999866,0.30929000000469387
RF,21,607,0.8451400329489291,0.7377722129311723,0.7353950684232352,"{'clf__max_depth': None, 'clf__n_estimators': 500}",248.04304270000102,0.46815300000162097
RF,22,722,0.7867036011080333,0.673643754678505,0.6796865945850759,"{'clf__max_depth': None, 'clf__n_estimators': 400}",342.5766550999997,0.3614960000049905
RF,23,704,0.7997159090909091,0.7484741801608705,0.7290606198132801,"{'clf__max_depth': None, 'clf__n_estimators': 400}",426.8925885999997,0.31955999999809137
RF,24,653,0.8392036753445635,0.7630326755933686,0.7308889040153079,"{'clf__max_depth': None, 'clf__n_estimators': 500}",548.6920265999997,0.6740244999946299
RF,25,616,0.7435064935064936,0.7427100551802203,0.696560892015101,"{'clf__max_depth': None, 'clf__n_estimators': 400}",707.2237051000011,0.4968624999946769
RF,26,789,0.7782002534854245,0.6989946103555631,0.6820463112938842,"{'clf__max_depth': None, 'clf__n_estimators': 500}",172.00428900000043,0.46584249999796157
RF,27,694,0.8717579250720461,0.76637590520079,0.7717689026708487,"{'clf__max_depth': None, 'clf__n_estimators': 400}",324.90128340000047,0.42829499999243126
RF,28,700,0.8357142857142857,0.7230517569535193,0.7354245292418042,"{'clf__max_depth': None, 'clf__n_estimators': 400}",166.29842840000128,0.3019959999983257
RF,29,736,0.8383152173913043,0.7264309382164171,0.7353123566026012,"{'clf__max_depth': None, 'clf__n_estimators': 400}",266.64707479999925,0.8270900000024994
RF,30,654,0.8425076452599388,0.6999917375857226,0.6954600071736012,"{'clf__max_depth': None, 'clf__n_estimators': 500}",399.4252484999997,0.47905599999467086
RF,31,758,0.7783641160949868,0.6454173486088379,0.6289474009175632,"{'clf__max_depth': None, 'clf__n_estimators': 500}",185.09244699999908,0.6333825000001525
RF,32,686,0.8440233236151603,0.7585234320515177,0.7595207950259852,"{'clf__max_depth': None, 'clf__n_estimators': 400}",269.3232881999993,0.4272304999994958
RF,33,692,0.8815028901734104,0.7960016420361248,0.8009433980336332,"{'clf__max_depth': None, 'clf__n_estimators': 500}",168.72563869999976,0.4621580000002723
RF,34,632,0.8670886075949367,0.7973953552574876,0.7892103918850752,"{'clf__max_depth': None, 'clf__n_estimators': 500}",290.67309360000036,0.5243255000004865
RF,35,852,0.7664319248826291,0.690182334984885,0.6689460392475081,"{'clf__max_depth': None, 'clf__n_estimators': 500}",364.7541609,0.4753485000037472
RF,36,734,0.8147138964577657,0.7205378250591017,0.7025865184783591,"{'clf__max_depth': None, 'clf__n_estimators': 500}",443.54091139999946,0.4298595000000205
RF,37,680,0.8955882352941177,0.8022980581587522,0.812952474022901,"{'clf__max_depth': None, 'clf__n_estimators': 500}",610.0145793000011,0.491838000007192
RF,38,671,0.8584202682563339,0.7221428529921086,0.7346218941336603,"{'clf__max_depth': None, 'clf__n_estimators': 500}",1095.1987631999982,0.6620649999968009
RF,39,693,0.8744588744588745,0.7219534632034631,0.721654205873116,"{'clf__max_depth': None, 'clf__n_estimators': 500}",744.7749068000012,0.391780000009021
RF,40,648,0.8672839506172839,0.7411490951166578,0.7435841400115946,"{'clf__max_depth': None, 'clf__n_estimators': 400}",857.7193240000015,0.35365850000744103
