model,heldout_subject,n_test,acc,bal_acc,f1_macro,best_params,fit_time_sec,infer_ms_per_window
SVM,1,690,0.5362318840579711,0.42813185514210955,0.45647976987125993,"{'clf__C': 10, 'clf__gamma': 'scale'}",143.12742290005554,1.2309584999457002
SVM,2,520,0.5461538461538461,0.60153678901507,0.5199543575822283,"{'clf__C': 10, 'clf__gamma': 'scale'}",102.89440509991255,1.2525315000675619
SVM,3,594,0.7575757575757576,0.5989085835525219,0.6175621651693151,"{'clf__C': 10, 'clf__gamma': 'scale'}",101.62320120004006,1.1737514997366816
SVM,4,556,0.6223021582733813,0.602942304140474,0.5588261254455442,"{'clf__C': 10, 'clf__gamma': 'scale'}",101.43174009991344,1.2048254994442686
SVM,5,708,0.4392655367231638,0.486206452903201,0.4277311158966793,"{'clf__C': 10, 'clf__gamma': 'scale'}",96.5548875000095,1.1844539997400716
SVM,6,583,0.6981132075471698,0.6481854117593412,0.6223129143810933,"{'clf__C': 10, 'clf__gamma': 'scale'}",112.49578590004239,1.3255899999057874
SVM,7,600,0.68,0.5719927358680926,0.5911055598645186,"{'clf__C': 10, 'clf__gamma': 'scale'}",110.61896640004124,1.271074500400573
SVM,8,574,0.6376306620209059,0.5432167638562988,0.538988036253587,"{'clf__C': 10, 'clf__gamma': 'scale'}",119.77856820006855,2.464021999621764
SVM,9,591,0.6057529610829103,0.5887779890896352,0.5889247474793344,"{'clf__C': 10, 'clf__gamma': 'scale'}",115.73372240003664,1.2443770002573729
SVM,10,509,0.7229862475442044,0.6276388085598613,0.6002184019108208,"{'clf__C': 10, 'clf__gamma': 'scale'}",114.49198279995471,1.1937984998803586
SVM,11,518,0.61003861003861,0.6844667999988555,0.6202229889997224,"{'clf__C': 10, 'clf__gamma': 'scale'}",101.08162389998324,1.3098594994517043
SVM,12,507,0.6607495069033531,0.633991008991009,0.5932331219629338,"{'clf__C': 10, 'clf__gamma': 'scale'}",103.98166970000602,1.2372014997527003
SVM,13,752,0.788563829787234,0.6646761677921925,0.6689099981129504,"{'clf__C': 10, 'clf__gamma': 'scale'}",108.51481409999542,1.285816499730572
SVM,14,775,0.6348387096774194,0.5738355958482795,0.4952809298710669,"{'clf__C': 10, 'clf__gamma': 'scale'}",103.11039219994564,1.1618245003046468
SVM,15,610,0.7885245901639344,0.6859520538597377,0.6593640174165097,"{'clf__C': 10, 'clf__gamma': 'scale'}",94.1356281999033,1.3035380002111197
SVM,16,681,0.7121879588839941,0.6451083638583638,0.6068777588162543,"{'clf__C': 10, 'clf__gamma': 'scale'}",103.31273499992676,1.256244499818422
SVM,17,703,0.7311522048364154,0.6301147362122972,0.6125402847767492,"{'clf__C': 10, 'clf__gamma': 'scale'}",108.51697819994297,1.2384384998586029
SVM,18,640,0.7546875,0.6476113276258625,0.6257632495256877,"{'clf__C': 10, 'clf__gamma': 'scale'}",109.02698830002919,1.2479349999921396
SVM,19,716,0.4692737430167598,0.5396057946819963,0.4564342109309548,"{'clf__C': 10, 'clf__gamma': 'scale'}",104.73866820009425,1.2705489998916164
SVM,20,599,0.7161936560934892,0.6152117821944039,0.5840434181703242,"{'clf__C': 10, 'clf__gamma': 'scale'}",105.04337249998935,1.3078030000906438
SVM,21,607,0.7084019769357496,0.6220236974320346,0.563144468957579,"{'clf__C': 10, 'clf__gamma': 'scale'}",101.1246202000184,1.2636274995747954
SVM,22,722,0.5484764542936288,0.5704414631467082,0.5106573748716156,"{'clf__C': 10, 'clf__gamma': 'scale'}",101.02263839996886,1.2068875000113621
SVM,23,704,0.48295454545454547,0.49658175946842725,0.44523289965973273,"{'clf__C': 10, 'clf__gamma': 'scale'}",97.20188770000823,1.2459310004487634
SVM,24,653,0.6569678407350689,0.6562790530112865,0.5401648335735888,"{'clf__C': 10, 'clf__gamma': 'scale'}",102.09287250007037,1.2837355001829565
SVM,25,616,0.6866883116883117,0.7088197482538952,0.6322731927017277,"{'clf__C': 10, 'clf__gamma': 'scale'}",110.32695479993708,1.214676999952644
SVM,26,789,0.6210392902408112,0.6226671254627459,0.5592701672204581,"{'clf__C': 10, 'clf__gamma': 'scale'}",108.1390870999312,1.253249499714002
SVM,27,694,0.7723342939481268,0.5940271466572467,0.5842926930332749,"{'clf__C': 10, 'clf__gamma': 'scale'}",110.00832500006072,1.34430650039576
SVM,28,700,0.7528571428571429,0.6410845962494135,0.6365127479310297,"{'clf__C': 10, 'clf__gamma': 'scale'}",112.56040840002242,1.2996260001091287
SVM,29,736,0.7567934782608695,0.647065096568802,0.6432482096982131,"{'clf__C': 10, 'clf__gamma': 'scale'}",108.48290529998485,1.2410215003183112
SVM,30,654,0.7813455657492355,0.6183741070959116,0.5983775843424162,"{'clf__C': 10, 'clf__gamma': 'scale'}",106.44601340009831,1.2207330000819638
SVM,31,758,0.6820580474934037,0.5854491189499244,0.5154305431144771,"{'clf__C': 10, 'clf__gamma': 'scale'}",97.66364240006078,1.241076499572955
SVM,32,686,0.5641399416909622,0.5623980781441374,0.5132693110982585,"{'clf__C': 10, 'clf__gamma': 'scale'}",93.29297569999471,1.2120629998389632
SVM,33,692,0.7485549132947977,0.6722405150808055,0.6474466628332192,"{'clf__C': 10, 'clf__gamma': 'scale'}",90.73564800003078,1.127132000401616
SVM,34,632,0.7515822784810127,0.6794500848416289,0.6370969881261275,"{'clf__C': 10, 'clf__gamma': 'scale'}",89.66066929989029,1.1727869999594986
SVM,35,852,0.704225352112676,0.6525987676632576,0.5990960995647158,"{'clf__C': 10, 'clf__gamma': 'scale'}",88.83711680001579,1.152932999539189
SVM,36,734,0.7615803814713896,0.6667723509066135,0.6375375875852197,"{'clf__C': 10, 'clf__gamma': 'scale'}",90.42605219990946,1.2081779999425635
SVM,37,680,0.7941176470588235,0.663457005495503,0.6452063844439252,"{'clf__C': 10, 'clf__gamma': 'scale'}",89.05871779995505,1.1190660001011565
SVM,38,671,0.6587183308494784,0.5835827725672048,0.5088149160653234,"{'clf__C': 10, 'clf__gamma': 'scale'}",90.54992479993962,1.185525000328198
SVM,39,693,0.7734487734487735,0.5705339105339106,0.5319467739136202,"{'clf__C': 10, 'clf__gamma': 'scale'}",91.10238629998639,1.175569499609992
SVM,40,648,0.75,0.604833598507502,0.5752130583440227,"{'clf__C': 10, 'clf__gamma': 'scale'}",90.25823459995445,1.2475334998453036
