model,heldout_subject,n_test,acc,bal_acc,f1_macro,best_params,fit_time_sec,infer_ms_per_window
RF,1,690,0.7014492753623188,0.5793458427955606,0.59622286615941,"{'clf__max_depth': None, 'clf__n_estimators': 500}",239.22537659999944,0.5223470000055386
RF,2,520,0.9038461538461539,0.8427252117742098,0.8442533730106478,"{'clf__max_depth': None, 'clf__n_estimators': 500}",376.0948425000024,0.5394415000046138
RF,3,594,0.8720538720538721,0.7956946013365557,0.7900584672412928,"{'clf__max_depth': None, 'clf__n_estimators': 400}",554.7931090999991,0.4123365000123158
RF,4,556,0.8525179856115108,0.7713417494314387,0.7830203897434467,"{'clf__max_depth': None, 'clf__n_estimators': 500}",224.32817780000187,0.3810264999992796
RF,5,708,0.7203389830508474,0.6532215862965727,0.6431081434254795,"{'clf__max_depth': None, 'clf__n_estimators': 500}",299.67868089999683,0.523414999988745
RF,6,583,0.79073756432247,0.7248642158182961,0.7217195200426907,"{'clf__max_depth': None, 'clf__n_estimators': 500}",224.77469060000294,0.6963125000038417
RF,7,600,0.8133333333333334,0.7220001070677038,0.7258268045064993,"{'clf__max_depth': None, 'clf__n_estimators': 500}",318.3363920999982,0.5439040000055684
RF,8,574,0.8414634146341463,0.766441794639469,0.7628854911841823,"{'clf__max_depth': None, 'clf__n_estimators': 500}",511.91264209999645,0.5191340000237687
RF,9,591,0.8071065989847716,0.7619239086656133,0.7640247810158375,"{'clf__max_depth': None, 'clf__n_estimators': 500}",606.7967563999991,0.6159254999874975
RF,10,509,0.8408644400785854,0.7159879594090119,0.7268759373257319,"{'clf__max_depth': None, 'clf__n_estimators': 400}",207.65354820000357,0.5366219999996247
RF,11,518,0.915057915057915,0.8798038929565698,0.8838958327035769,"{'clf__max_depth': None, 'clf__n_estimators': 500}",308.6850454000014,0.534013500000583
RF,12,507,0.8816568047337278,0.8252684815184815,0.8347722237217986,"{'clf__max_depth': None, 'clf__n_estimators': 500}",220.7822066000008,0.48730449998402037
RF,13,752,0.9401595744680851,0.8960615712007728,0.8988833509002547,"{'clf__max_depth': None, 'clf__n_estimators': 500}",318.702059700001,0.5887965000147233
RF,14,775,0.8270967741935484,0.7695722186777562,0.7604130406035675,"{'clf__max_depth': None, 'clf__n_estimators': 500}",221.59681580000324,0.6390454999927897
RF,15,610,0.8770491803278688,0.8091893449249821,0.801823908908057,"{'clf__max_depth': None, 'clf__n_estimators': 500}",361.18984089999867,0.5481994999718154
RF,16,681,0.8663729809104258,0.8431998556998557,0.8167916805167224,"{'clf__max_depth': None, 'clf__n_estimators': 500}",229.75414170000295,0.9772539999903529
RF,17,703,0.8577524893314367,0.7617499032133178,0.7702531211632047,"{'clf__max_depth': None, 'clf__n_estimators': 500}",318.4826092000003,0.6563540000206558
RF,18,640,0.853125,0.765376556582952,0.759131865354352,"{'clf__max_depth': None, 'clf__n_estimators': 500}",205.9861549999987,0.5304485000306158
RF,19,716,0.8519553072625698,0.7912159450655579,0.7836946475645106,"{'clf__max_depth': None, 'clf__n_estimators': 500}",299.76841879999847,0.47471400001086295
RF,20,599,0.8096828046744574,0.7102927553165739,0.6886004071818004,"{'clf__max_depth': None, 'clf__n_estimators': 500}",210.79483959999925,0.572323000014876
RF,21,607,0.8780889621087314,0.7963608000313572,0.7946100177819545,"{'clf__max_depth': None, 'clf__n_estimators': 500}",294.2139185999986,0.4238595000060741
RF,22,722,0.8019390581717452,0.7343125061435772,0.7331388633007268,"{'clf__max_depth': None, 'clf__n_estimators': 500}",390.3564778,0.42371100000309525
RF,23,704,0.7713068181818182,0.7039161769955888,0.6976525350033921,"{'clf__max_depth': None, 'clf__n_estimators': 400}",495.9249087999997,0.3738769999836222
RF,24,653,0.8407350689127105,0.7380685472200866,0.7375715726363499,"{'clf__max_depth': None, 'clf__n_estimators': 500}",587.8671123000022,0.44074400000681635
RF,25,616,0.8409090909090909,0.7911604709818685,0.7751950819500394,"{'clf__max_depth': None, 'clf__n_estimators': 500}",200.59871930000372,0.3575980000096024
RF,26,789,0.8162230671736375,0.7361434390198401,0.7158287357316246,"{'clf__max_depth': None, 'clf__n_estimators': 500}",331.3745437000034,0.581726999989769
RF,27,694,0.8976945244956772,0.813686930318941,0.8229231428707481,"{'clf__max_depth': None, 'clf__n_estimators': 400}",207.84934789999534,0.4222065000067232
RF,28,700,0.8557142857142858,0.7738773275245207,0.7826499235008522,"{'clf__max_depth': None, 'clf__n_estimators': 400}",291.0533697999999,0.718882000001031
RF,29,736,0.84375,0.7399492003649569,0.7483469194129265,"{'clf__max_depth': None, 'clf__n_estimators': 400}",379.3907615999997,0.3329029999804334
RF,30,654,0.9021406727828746,0.8235674100335755,0.8271649500687436,"{'clf__max_depth': None, 'clf__n_estimators': 400}",474.06375500000286,0.37045700002636295
RF,31,758,0.8245382585751979,0.7065539325011718,0.707419712070875,"{'clf__max_depth': None, 'clf__n_estimators': 200}",564.7517047000001,0.2425530000255094
RF,32,686,0.8629737609329446,0.7726116890056243,0.7668641184361891,"{'clf__max_depth': None, 'clf__n_estimators': 500}",688.0265071999966,0.5093650000344496
RF,33,692,0.9219653179190751,0.8604824561403509,0.8625511547164463,"{'clf__max_depth': None, 'clf__n_estimators': 500}",816.6157056999946,0.5384685000171885
RF,34,632,0.8860759493670886,0.8479553840767076,0.8403823627100432,"{'clf__max_depth': None, 'clf__n_estimators': 500}",1032.2791897999996,0.5996705000143265
RF,35,852,0.7852112676056338,0.717655951041585,0.7024048217026617,"{'clf__max_depth': None, 'clf__n_estimators': 200}",184.4582512999914,0.19820150002487935
RF,36,734,0.8283378746594006,0.729683806146572,0.7198390080495976,"{'clf__max_depth': None, 'clf__n_estimators': 500}",267.58729189999576,0.5224865000491263
