model,heldout_subject,n_test,acc,bal_acc,f1_macro,best_params,fit_time_sec,infer_ms_per_window
SVM,1,690,0.6869565217391305,0.580537131522496,0.5921833334544278,"{'clf__C': 5, 'clf__gamma': 'scale'}",46.46171459999459,0.7266170000366401
SVM,2,520,0.8673076923076923,0.8070620738001718,0.8019050037092135,"{'clf__C': 5, 'clf__gamma': 'scale'}",45.91736619999574,0.7186085000284947
SVM,3,594,0.8754208754208754,0.7733350239602644,0.7983931430331768,"{'clf__C': 5, 'clf__gamma': 'scale'}",43.1879334999976,0.7145669999590609
SVM,4,556,0.6996402877697842,0.65200903834554,0.6165131940012478,"{'clf__C': 5, 'clf__gamma': 'scale'}",40.328174200010835,0.712816000013845
SVM,5,708,0.6384180790960452,0.6446522496088716,0.605537488343792,"{'clf__C': 5, 'clf__gamma': 'scale'}",40.97201230000064,0.7172225000249455
SVM,6,583,0.7169811320754716,0.6661435154904047,0.6478703519545203,"{'clf__C': 5, 'clf__gamma': 'scale'}",40.88363460000255,0.7747240000026068
SVM,7,600,0.73,0.7279814306166963,0.7132770960826269,"{'clf__C': 5, 'clf__gamma': 'scale'}",43.983924000000115,0.7471375000022817
SVM,8,574,0.7857142857142857,0.6786441271906388,0.6663048849817415,"{'clf__C': 5, 'clf__gamma': 'scale'}",42.10104389999469,0.8000389999506297
SVM,9,591,0.7986463620981388,0.7675159901906812,0.7578522861861585,"{'clf__C': 5, 'clf__gamma': 'scale'}",41.77197889999661,0.8038849999866216
SVM,10,509,0.7151277013752456,0.6466033966033966,0.6151145443134722,"{'clf__C': 5, 'clf__gamma': 'scale'}",43.29982650000602,0.734821500009275
SVM,11,518,0.8532818532818532,0.842443698623474,0.8156113018329698,"{'clf__C': 5, 'clf__gamma': 'scale'}",43.756666200002655,0.7938764999562409
SVM,12,507,0.8323471400394478,0.731737012987013,0.7420158181497052,"{'clf__C': 5, 'clf__gamma': 'scale'}",42.94671030000609,0.6707730000198353
SVM,13,752,0.8763297872340425,0.8101538321269107,0.8036671974500793,"{'clf__C': 5, 'clf__gamma': 'scale'}",43.92693810000492,0.7953415000520181
SVM,14,775,0.8335483870967741,0.751671285999105,0.7318444666200395,"{'clf__C': 5, 'clf__gamma': 'scale'}",42.40036749999854,0.7630904999678023
SVM,15,610,0.8344262295081967,0.7456111923976741,0.7222474976198909,"{'clf__C': 5, 'clf__gamma': 'scale'}",43.8381447000138,0.8059119999961695
SVM,16,681,0.8590308370044053,0.7984113109113109,0.7833588939529621,"{'clf__C': 5, 'clf__gamma': 'scale'}",43.94842889999563,0.7921890000579879
SVM,17,703,0.8605974395448079,0.7748820962235596,0.7729951147856428,"{'clf__C': 5, 'clf__gamma': 'scale'}",43.38098539999919,0.8462100000178907
SVM,18,640,0.83125,0.7404569993959529,0.7264811557837327,"{'clf__C': 1, 'clf__gamma': 'scale'}",46.34307560000161,0.8998170000268146
SVM,19,716,0.8198324022346368,0.7645476897199723,0.7417416986849052,"{'clf__C': 5, 'clf__gamma': 'scale'}",44.61265439999988,0.820105499951751
SVM,20,599,0.8113522537562604,0.7033678393691966,0.6878317101150843,"{'clf__C': 5, 'clf__gamma': 'scale'}",44.435757100000046,0.7006819999514846
SVM,21,607,0.8220757825370676,0.7283168397471875,0.7160387100064445,"{'clf__C': 5, 'clf__gamma': 'scale'}",44.456411199993454,0.7971465000446187
SVM,22,722,0.7188365650969529,0.630097719106594,0.6245478307439007,"{'clf__C': 5, 'clf__gamma': 'scale'}",44.79513749999751,0.7782949999818811
SVM,23,704,0.7386363636363636,0.6972959094884569,0.6682906720504551,"{'clf__C': 5, 'clf__gamma': 'scale'}",44.86625279999862,0.7855720000225119
SVM,24,653,0.8131699846860643,0.7556526044028804,0.7112045552740598,"{'clf__C': 5, 'clf__gamma': 'scale'}",44.82935909999651,0.7796130000497214
SVM,25,616,0.711038961038961,0.6934113051123604,0.643279481179247,"{'clf__C': 1, 'clf__gamma': 'scale'}",46.64765820000321,0.8872520000295481
SVM,26,789,0.6894803548795945,0.6871538907808885,0.6347928332072763,"{'clf__C': 5, 'clf__gamma': 'scale'}",44.707097500009695,0.8201919999555685
SVM,27,694,0.8933717579250721,0.8096209530232235,0.8166208791208791,"{'clf__C': 5, 'clf__gamma': 'scale'}",45.27027340000495,0.8547969999926863
