rung,name,probe,control_pooled,control_DNS,control_STDUP,control_UPS,control_WAK
0,global_z,forest,0.8499083389723261,0.8327071428571429,0.9202732321362458,0.8440988142292489,0.8025541666666667
0,global_z,linear,0.6788098740056732,0.660695238095238,0.7551982599037393,0.6754584980237154,0.6238875
0,global_z,mlp,0.7357495636279772,0.7129095238095238,0.8489527952610144,0.7236442687747036,0.6574916666666667
1,mean_center,forest,0.9997433380207856,0.999804761904762,0.999918178452425,0.9996462450592887,0.9996041666666666
1,mean_center,linear,0.0995879729106054,0.1019738095238095,0.07980673824509438,0.10622134387351771,0.11034999999999998
1,mean_center,mlp,0.7613442769467245,0.7224,0.9386479081821548,0.758691699604743,0.6256375
2,scale_only,forest,0.9995646115670591,0.999654761904762,0.999891151425398,0.9996916996047431,0.9990208333333334
2,scale_only,linear,0.8403996882443818,0.8276190476190475,0.8946245834875972,0.8370592885375494,0.8022958333333333
2,scale_only,mlp,0.8504999752755373,0.8257738095238094,0.9452898926323584,0.8471778656126482,0.7837583333333333
3,mean_scale,forest,0.9992681956616423,0.9992142857142857,0.9998774527952611,0.9994268774703559,0.9985541666666666
3,mean_scale,linear,0.05706950047056132,0.05848809523809519,0.04890225842280632,0.06361264822134381,0.057274999999999965
3,mean_scale,mlp,0.4061008043766754,0.31575714285714285,0.7190149481673455,0.3441561264822134,0.24547499999999997
4,full_whiten_recolor,forest,0.29122836622716014,0.25924761904761906,0.4012636060718252,0.2700355731225296,0.23436666666666667
4,full_whiten_recolor,linear,0.02217735726599815,0.02414999999999996,0.01711366160681226,0.02311660079051378,0.0243291666666666
4,full_whiten_recolor,mlp,0.037965220093752645,0.0237714285714285,0.0828378378378378,0.020893280632411002,0.02435833333333328
