rung,name,probe,class_idx,class_name,value
0,global_z,linear,0,DNS,0.8517218023285938
0,global_z,linear,2,UPS,0.8584492561579335
0,global_z,linear,3,WAK,0.8487641771068629
0,global_z,forest,0,DNS,0.8925126527814451
0,global_z,forest,2,UPS,0.9094831662033606
0,global_z,forest,3,WAK,0.9395948509479857
0,global_z,forest,1,STDUP,0.983618529807131
0,global_z,linear,1,STDUP,0.886619155159077
0,global_z,mlp,0,DNS,0.8622946060120519
0,global_z,mlp,3,WAK,0.8545568606230372
0,global_z,mlp,2,UPS,0.8834704410604219
1,mean_center,linear,0,DNS,0.6874013150870308
1,mean_center,linear,2,UPS,0.7162717408712982
1,mean_center,linear,3,WAK,0.721361592440927
1,mean_center,forest,0,DNS,0.9997058823529411
1,mean_center,linear,1,STDUP,0.8174497795204069
1,mean_center,forest,2,UPS,0.9994841269841268
0,global_z,mlp,1,STDUP,0.9291064684843786
1,mean_center,forest,1,STDUP,0.9998267622461171
1,mean_center,forest,3,WAK,0.9991883116883116
1,mean_center,mlp,0,DNS,0.826203149711182
1,mean_center,mlp,2,UPS,0.8612954989766622
2,scale_only,linear,0,DNS,0.9153556175848843
1,mean_center,mlp,3,WAK,0.8472480893289717
2,scale_only,linear,1,STDUP,0.986260970445535
2,scale_only,linear,3,WAK,0.9227288920659664
2,scale_only,forest,0,DNS,0.9997826086956522
2,scale_only,linear,2,UPS,0.8982520251428717
2,scale_only,forest,2,UPS,1.0
2,scale_only,forest,3,WAK,0.9996428571428572
2,scale_only,forest,1,STDUP,0.9998030812324931
2,scale_only,mlp,0,DNS,0.9020155467836632
2,scale_only,mlp,2,UPS,0.9035453862608238
2,scale_only,mlp,3,WAK,0.9049682594452332
3,mean_scale,linear,0,DNS,0.6155174061186492
3,mean_scale,linear,1,STDUP,0.6019955531774714
1,mean_center,mlp,1,STDUP,0.9856532591183262
3,mean_scale,linear,2,UPS,0.6117058416107822
3,mean_scale,linear,3,WAK,0.603706951308925
3,mean_scale,forest,0,DNS,0.9997058823529411
3,mean_scale,forest,2,UPS,0.9992209690893901
3,mean_scale,forest,3,WAK,0.9994444444444444
2,scale_only,mlp,1,STDUP,0.9918010387332634
3,mean_scale,forest,1,STDUP,1.0
3,mean_scale,mlp,0,DNS,0.6942142887198216
3,mean_scale,mlp,3,WAK,0.7152375370157877
4,full_whiten_recolor,linear,0,DNS,0.19388614673401847
4,full_whiten_recolor,linear,1,STDUP,0.058899127417435984
4,full_whiten_recolor,linear,2,UPS,0.13908076116506324
4,full_whiten_recolor,linear,3,WAK,0.2684774288104396
3,mean_scale,mlp,2,UPS,0.7550633669433857
4,full_whiten_recolor,forest,0,DNS,0.47682798768856294
4,full_whiten_recolor,forest,2,UPS,0.5213297345532044
4,full_whiten_recolor,forest,3,WAK,0.5240781334248827
4,full_whiten_recolor,forest,1,STDUP,0.5710667909890352
4,full_whiten_recolor,mlp,0,DNS,0.292292661283038
4,full_whiten_recolor,mlp,2,UPS,0.32289243762291175
4,full_whiten_recolor,mlp,3,WAK,0.3515509291405189
3,mean_scale,mlp,1,STDUP,0.9218948454404184
4,full_whiten_recolor,mlp,1,STDUP,0.40589237956927393
