rung,name,probe,bal_acc_mean,bal_acc_sd,chance_floor,elapsed_sec
0,global_z,linear,0.7771288577677138,0.0026578078675073705,0.025,14.7
0,global_z,forest,0.9414184197375084,0.003006973755282639,0.025,98.2
0,global_z,mlp,0.8902328172360938,0.002542929498060369,0.025,130.7
1,mean_center,linear,0.04270982036888747,0.005841144150613027,0.025,17.8
1,mean_center,forest,0.9999509803921569,0.00010961117536763637,0.025,141.9
1,mean_center,mlp,0.9721056284054901,0.003930726377346017,0.025,223.9
2,scale_only,linear,0.9091532065620955,0.004452566121632619,0.025,14.5
2,scale_only,forest,0.9999188607924921,0.0001120338700137058,0.025,84.3
2,scale_only,mlp,0.9718816197818889,0.002234464278579106,0.025,111.9
3,mean_scale,linear,0.024188279681377718,0.00260955170355938,0.025,8.6
3,mean_scale,forest,0.9999306555331605,9.511379844033274e-05,0.025,83.4
3,mean_scale,mlp,0.846544948168987,0.012473512140752612,0.025,394.4
4,full_whiten_recolor,linear,0.01187175635556019,0.0013070158323972942,0.025,3.8
4,full_whiten_recolor,forest,0.4576944594711838,0.0034059228490940932,0.025,244.6
4,full_whiten_recolor,mlp,0.41904761297278104,0.016730883228195884,0.025,874.1
