subject,arch,f1_macro,bal_acc
1,resnet,0.678405274295729,0.6803545313744345
2,resnet,0.8645669018202569,0.872247403291073
3,resnet,0.9171917142554475,0.9308105957995756
4,resnet,0.8293275452630596,0.8637154438295261
5,resnet,0.658951394837171,0.6851381280148798
6,resnet,0.762952087924452,0.7769265928234417
7,resnet,0.768659843876344,0.7808100083595169
8,resnet,0.8433094214908514,0.8562434658364891
9,resnet,0.8158743508083357,0.8110050190538154
10,resnet,0.6987031273373698,0.7162048477837952
11,resnet,0.9027420688337446,0.9281976120376649
12,resnet,0.8740588718107791,0.8858953546453547
13,resnet,0.9184911836984918,0.9261405615691076
14,resnet,0.8179704248069712,0.8248570506965708
15,resnet,0.9369381042737606,0.9527798792201755
16,resnet,0.8693053357921172,0.895995670995671
17,resnet,0.8700836855607414,0.8737400133741597
18,resnet,0.9034462488126583,0.9101046482587181
19,resnet,0.8000227277428018,0.8185367688947307
20,resnet,0.812599813717079,0.8254566341692762
21,resnet,0.8394695933865112,0.8517759440420005
22,resnet,0.8339147805793976,0.841691884851363
23,resnet,0.7524856287451203,0.7725980018988019
24,resnet,0.7718045795415922,0.8243895027579644
25,resnet,0.862853707660721,0.8980733098834557
26,resnet,0.7992697036009833,0.8161802069870302
27,resnet,0.8932476038388354,0.8906078560456441
28,resnet,0.8015058620352737,0.8173087972369957
29,resnet,0.8508457532627275,0.8557036604237318
30,resnet,0.8406209379441295,0.8413078149920254
31,resnet,0.7898028012788856,0.7966942853246045
32,resnet,0.85316270121316,0.8648530648263483
33,resnet,0.8970861432560012,0.914178549822833
34,resnet,0.8858537226051489,0.9064273594053006
35,resnet,0.7242849883787454,0.733940093434509
36,resnet,0.6841402015997009,0.7087212061395848
37,resnet,0.8639138485831914,0.8569398103911383
38,resnet,0.8350232496179485,0.8495458666015829
39,resnet,0.8385902489026964,0.8446897546897547
40,resnet,0.8270827703117707,0.8188207013574661
